t,wt,ql,sd,b3c3_sd
15.0,2.375,0.3125,4.582269817391711,13.89
20.0,5.5,0.3125,2.775437665586869,13.89
25.0,9.0,0.3125,2.900753012754084,13.89
30.0,12.75,0.375,3.8094097411337833,14.281748950411846
35.0,16.625,0.4375,1.8286067332672256,14.247727176221368
40.0,14.0,0.4375,3.856187430492183,13.89
45.0,16.583333333333332,0.3125,6.295406152288927,13.89
50.0,18.666666666666668,0.3125,7.141906223777518,13.89
55.0,20.75,0.3125,6.176996832752178,13.89
60.0,23.166666666666668,0.375,5.253385088973383,13.89
65.0,26.0,0.5,2.9523355866306886,13.89
70.0,29.75,0.5625,2.8655133110322537,13.89
75.0,19.65,0.25,6.180214376458027,13.89
80.0,20.7,0.3125,8.938263489215256,13.89
85.0,22.25,0.4375,7.047244895091959,13.89
90.0,24.25,0.5,5.389555499925082,13.89
95.0,27.15,0.875,2.726244567964071,13.782007449935282
100.0,30.85,1.0,1.4918080087413172,13.376854381803515
105.0,34.2,0.4375,3.842566537451998,13.773557385301775
110.0,29.916666666666668,0.4375,7.433568082258053,6.9527009578870045
115.0,31.416666666666668,0.5,8.620262367557979,6.945
120.0,33.166666666666664,0.5625,6.705635667003367,6.945
125.0,35.666666666666664,0.9375,4.175355293783523,6.945
130.0,38.958333333333336,1.0,3.678347350156906,6.945
135.0,42.166666666666664,0.8125,3.3996055473824565,13.89
140.0,45.208333333333336,0.9375,3.299985217145329,12.103851170740143
145.0,36.6875,1.625,2.2712727406101747,12.28464320802135
150.0,39.46875,1.0625,4.648853371686476,11.849984475465078
155.0,42.53125,1.3125,3.283462984720296,13.89
160.0,45.67741935483871,1.5,2.656372546740534,13.89
165.0,49.096774193548384,1.0,3.8928174307369496,13.89
170.0,51.74193548387097,1.0625,5.574318304905569,13.89
175.0,54.54838709677419,1.125,5.221596536707458,13.89
180.0,57.45161290322581,1.125,3.848071154321524,13.89
185.0,54.0,1.5625,2.407258576916861,13.89
190.0,58.05714285714286,1.8125,1.9766604545421818,13.89
195.0,61.371428571428574,0.6875,4.54762658679313,13.89
200.0,63.0,0.75,7.981855748588321,13.89
205.0,51.476190476190474,0.75,8.26563835240889,13.89
210.0,53.19047619047619,1.0,6.506001132932221,13.89
215.0,55.76190476190476,1.75,3.234116884673417,13.89
220.0,54.04347826086956,1.75,3.1002744721324276,13.89
225.0,56.82222222222222,0.9375,4.952462476086595,13.89
230.0,58.6,1.125,7.307648788261112,13.89
235.0,60.666666666666664,1.25,6.713945713362657,13.89
240.0,53.528301886792455,1.4375,5.74268834585963,13.89
245.0,56.15094339622642,2.0625,3.616051602688829,13.89
250.0,59.60377358490566,2.4375,2.6883186093927582,13.89
255.0,58.69642857142857,2.0625,2.9252036827965098,13.89
260.0,61.285714285714285,1.8125,5.262910764498942,13.89
