t,wt,ql,sd,b3c3_sd,b3c3_ql
15.0,2.375,0.3125,4.582269817391711,13.89,0
20.0,5.5,0.3125,2.775437665586869,13.89,0
25.0,8.0,0.0625,8.064684193228985,13.89,0
30.0,8.625,0.0625,11.851930687671839,14.281748950411846,0
35.0,9.0,0.0,12.62081537499829,14.247727176221368,0
40.0,9.0,0.0,9.399384762905854,13.89,0
45.0,9.5,0.0625,9.127760936229528,13.89,0
50.0,6.833333333333333,0.125,10.035815474945524,13.274672514980285,0
55.0,7.583333333333333,0.125,9.346071061210813,13.322752472176308,0
60.0,8.25,0.0625,10.788783479977852,11.542564209559986,0
65.0,9.166666666666666,0.1875,9.355903270085983,6.945725850773004,1
70.0,10.416666666666666,0.1875,7.982941088740151,13.89,0
75.0,11.5,0.0625,10.076226960948036,13.89,0
80.0,11.916666666666666,0.0625,10.714680044213319,13.89,0
85.0,12.583333333333334,0.125,8.859026994486717,13.89,0
90.0,13.833333333333334,0.1875,8.492519562502181,13.89,0
95.0,8.894736842105264,0.0625,10.966858657066426,13.89,0
100.0,9.368421052631579,0.125,10.427305276900729,13.89,0
105.0,10.421052631578947,0.25,8.798846217615372,13.89,0
110.0,11.666666666666666,0.375,7.806270663939781,13.89,0
115.0,13.294117647058824,0.4375,5.771013327631683,13.89,0
120.0,15.529411764705882,0.4375,7.086939813498926,12.290866773163486,0
125.0,17.823529411764707,0.5,5.484568988162465,12.234584465967544,0
130.0,20.11764705882353,0.4375,6.103384090750722,12.25463348329771,0
135.0,22.125,0.4375,6.834471205040716,13.89,0
140.0,19.35,0.375,7.502903895518249,13.89,0
145.0,21.2,0.5,6.247407840006151,13.89,0
150.0,23.8,0.75,5.254547160088393,13.89,0
155.0,26.7,0.6875,5.133039528932462,13.89,0
160.0,29.35,0.625,4.649655417709498,13.89,0
165.0,32.25,0.6875,5.301376726514124,13.89,0
170.0,34.7,0.5,6.054092642394834,13.89,0
175.0,38.10526315789474,0.625,5.084020234123663,13.89,0
180.0,40.31578947368421,0.375,7.546943990145501,13.89,0
185.0,34.26086956521739,0.125,10.188340383407384,13.89,0
190.0,35.40909090909091,0.3125,8.168503862210736,13.89,0
195.0,37.0,0.4375,7.195607183872912,13.89,0
200.0,38.22727272727273,0.1875,8.679061683177805,13.89,0
205.0,28.6,0.1875,10.12971387237143,13.89,0
210.0,29.137931034482758,0.25,9.284474112415579,13.89,0
215.0,30.0,0.1875,8.421206995884804,13.89,0
220.0,31.06896551724138,0.4375,8.626538649614453,13.89,0
225.0,28.454545454545453,0.375,6.8233066280139605,12.775752975465078,0
230.0,27.64516129032258,0.5625,7.601704424581378,12.763828438508138,0
235.0,29.566666666666666,0.75,7.021369745275167,12.318840881501524,0
240.0,31.4,0.5,7.305302418894371,6.945625356956755,1
245.0,33.41379310344828,0.625,7.902133972025196,6.945,1
250.0,25.72222222222222,0.5625,8.495740824457082,13.89,0
255.0,26.17142857142857,0.5,8.821108137942815,13.89,0
260.0,27.485714285714284,0.4375,7.900878097630227,13.89,0
265.0,28.571428571428573,0.4375,7.868375223043123,13.89,0
270.0,26.871794871794872,0.625,6.941436593724593,13.89,0
275.0,26.54054054054054,0.75,7.021419681931406,13.89,0
280.0,28.135135135135137,0.6875,5.906492788105961,12.116227681565949,0
285.0,29.91891891891892,0.75,7.23011448102297,13.782148995253602,0
290.0,31.43243243243243,0.5,8.085351489865138,14.595041719023948,0
295.0,26.933333333333334,0.625,8.259982356588374,8.374272074124308,0
300.0,28.488888888888887,1.0,7.306808239225946,12.254279280192998,0
305.0,30.266666666666666,0.875,7.336617626972833,9.826434929379532,0
310.0,28.048780487804876,0.6875,8.06914565158779,9.925248023432632,0
315.0,24.976190476190474,0.5625,7.517228661499128,10.0628057121982,1
320.0,24.425,0.6875,7.811245459695561,4.590398452716181,2
325.0,26.0,1.0,6.433682182940703,4.29408249608695,3
330.0,28.2,1.0,4.3693143435062165,6.03120284262449,1
335.0,30.525,1.25,4.445379278829824,7.292922770934459,0
340.0,27.625,1.25,5.696127402377282,13.89,0
345.0,29.833333333333332,1.375,5.937744231591419,13.076920485923875,0
350.0,32.041666666666664,1.1875,6.23347742731842,12.118625316229991,0
355.0,33.59574468085106,1.3125,6.357077284830579,12.743131535403773,0
360.0,33.13725490196079,1.375,5.154036792578281,6.982513316948545,1
365.0,35.42,1.0625,7.031206054737218,9.217685774124464,1
370.0,37.18,1.0625,6.8716472285450125,9.22989140785664,1
375.0,39.1,1.1875,6.514160442446974,5.366163510500436,1
380.0,40.816326530612244,1.4375,5.3250098135956465,4.6303933355886615,2
385.0,37.339285714285715,1.6875,4.750728282153375,3.312322507681911,2
390.0,40.089285714285715,1.9375,4.70574047135067,5.450117282013977,1
395.0,43.50909090909091,2.0625,4.310586981226899,3.7871291668384965,2
400.0,47.0188679245283,1.8125,4.030783981991196,0.19249169583438738,2
