t,wt,ql,sd,b3c3_sd,b3c3_ql
15.0,2.375,0.3125,4.582269817391711,13.89,0
20.0,5.5,0.3125,2.775437665586869,13.89,0
25.0,8.0,0.0625,8.064684193228985,13.89,0
30.0,8.625,0.0625,11.851930687671839,14.281748950411846,0
35.0,9.0,0.0,12.62081537499829,14.247727176221368,0
40.0,9.0,0.0,9.529792432519919,13.89,0
45.0,9.125,0.0,11.029716417727641,13.782007449935282,0
50.0,9.25,0.0625,10.951014943112668,13.376854381803515,0
55.0,9.75,0.0625,9.312441850742504,13.773557385301775,0
60.0,11.25,0.1875,6.83439203922979,6.953182737267003,1
65.0,8.75,0.125,9.554043384466892,13.89,0
70.0,9.416666666666666,0.0625,11.116873603899066,13.89,0
75.0,9.666666666666666,0.0,12.346641900493802,13.89,0
80.0,9.75,0.0625,9.840329093667341,13.89,0
85.0,10.75,0.1875,7.528908105721062,13.89,0
90.0,12.636363636363637,0.125,9.263573958200267,13.89,0
95.0,13.545454545454545,0.125,9.460775323604537,13.89,0
100.0,14.454545454545455,0.125,9.566832337347462,13.89,0
105.0,15.545454545454545,0.125,9.901233566391376,13.89,0
110.0,16.7,0.1875,8.542451931723729,13.89,0
115.0,18.3,0.25,7.58314702068496,13.89,0
120.0,21.333333333333332,0.375,4.429458132795905,13.89,0
125.0,12.4375,0.375,7.698284349752593,13.89,0
130.0,14.0,0.1875,7.529495187519392,13.89,0
135.0,15.5625,0.25,7.994525135047278,13.89,0
140.0,16.9375,0.3125,7.779806416571126,13.89,0
145.0,18.5625,0.25,8.054260653334453,13.89,0
150.0,20.0,0.375,7.013833490564948,13.002654660139285,0
155.0,21.8,0.25,8.122974014319693,11.800909941138286,0
160.0,23.0,0.1875,8.617154525533525,12.861816404964827,0
165.0,24.066666666666666,0.125,8.08020986983208,7.160262532081232,0
170.0,25.133333333333333,0.1875,8.428946803423475,6.945731315181992,1
175.0,26.133333333333333,0.1875,9.945301363274195,6.945,1
180.0,28.428571428571427,0.1875,8.575921299714995,6.945,1
185.0,22.833333333333332,0.125,9.87179047274261,6.945,1
190.0,23.235294117647058,0.1875,9.78513316407626,6.945,1
195.0,24.0,0.125,9.313096207673372,6.945,1
200.0,25.058823529411764,0.1875,9.377484766680606,6.945,1
205.0,17.76,0.25,8.565537013531811,13.89,0
210.0,18.8,0.25,9.104753191056746,13.89,0
215.0,19.84,0.375,9.16950956640207,13.89,0
220.0,21.791666666666668,0.5,7.48022228386039,13.89,0
225.0,23.708333333333332,0.625,4.472701780050686,13.89,0
230.0,26.083333333333332,0.5625,5.998450373681359,13.89,0
235.0,23.892857142857142,0.4375,8.740927525640949,13.89,0
240.0,23.5,0.25,8.947445992230334,13.89,0
245.0,24.76923076923077,0.5625,6.832467968682883,13.89,0
250.0,26.884615384615383,0.75,6.574841487617665,13.89,0
255.0,27.72,0.6875,5.970848369308527,13.89,0
260.0,30.2,0.8125,5.23744261530026,13.89,0
265.0,23.806451612903224,0.5625,7.7057814644521745,13.89,0
270.0,25.129032258064516,0.4375,7.764409377740266,13.89,0
275.0,24.266666666666666,0.5625,7.67416420966146,13.89,0
280.0,25.137931034482758,0.5,7.818290127190087,13.89,0
285.0,26.551724137931036,0.4375,6.883715311713525,13.89,0
290.0,28.06896551724138,0.4375,7.579984630082942,13.89,0
295.0,25.96969696969697,0.5,8.365315150569984,13.89,0
300.0,27.454545454545453,0.6875,7.474290023371339,13.89,0
305.0,29.272727272727273,0.75,7.3969745293161155,13.89,0
310.0,29.96875,0.6875,5.617177952466666,13.89,0
315.0,32.758620689655174,0.875,5.2896572577850804,13.89,0
320.0,35.13793103448276,0.8125,5.913239338578864,13.89,0
325.0,29.27027027027027,0.75,7.030792987283195,13.89,0
330.0,31.35135135135135,0.9375,6.4612018283660095,13.89,0
335.0,33.4054054054054,0.875,5.986351061797014,13.89,0
340.0,35.7027027027027,1.125,6.260375911953061,13.251174351904432,0
345.0,36.888888888888886,1.25,4.386498322361974,13.575637882173417,0
350.0,39.611111111111114,1.0625,5.581415241287878,13.821633517514805,0
355.0,37.9,1.125,6.369699807536965,6.945094067264533,1
360.0,40.41025641025641,0.9375,6.760037462727967,6.945,1
365.0,41.5,0.9375,6.3373091734397455,6.945,1
370.0,43.891891891891895,0.9375,5.888108508266145,6.945,1
375.0,46.72222222222222,1.125,5.546457043111073,6.945,1
380.0,49.361111111111114,1.1875,5.086781842957602,6.945,1
385.0,42.54545454545455,1.125,6.050323842493349,6.945,1
390.0,44.56818181818182,0.9375,5.927392236432191,6.945,1
395.0,46.38636363636363,0.8125,7.4167461838839275,6.945,1
400.0,47.84090909090909,0.8125,7.825141566655713,6.945,1
405.0,42.09803921568628,0.9375,7.544582965162061,6.945,1
410.0,42.46,1.125,6.143031523498466,13.89,0
415.0,44.56,1.375,6.307724022353803,13.89,0
420.0,43.333333333333336,0.875,6.905822700285668,13.89,0
