t,wt,ql,sd,b3c3_sd,b3c3_ql
15.0,2.375,0.3125,4.582269817391711,13.89,0
20.0,5.5,0.3125,2.775437665586869,13.89,0
25.0,8.0,0.0625,8.064684193228985,13.89,0
30.0,8.625,0.0625,11.851930687671839,14.281748950411846,0
35.0,9.0,0.0,12.62081537499829,14.247727176221368,0
40.0,9.0,0.0,9.399384762905854,13.89,0
45.0,9.5,0.0625,9.127760936229528,13.89,0
50.0,10.0,0.0625,10.148935463163813,13.274672514980285,0
55.0,10.375,0.0,10.644177146915624,13.322752472176308,0
60.0,10.875,0.0625,11.562078952996643,13.89,0
65.0,7.5,0.0,12.146706121401252,13.89,0
70.0,7.5,0.0,12.887562979613412,13.89,0
75.0,7.5,0.0,12.868667354602735,13.89,0
80.0,7.583333333333333,0.0625,8.48674836852812,13.89,0
85.0,8.75,0.1875,7.421032181657825,13.89,0
90.0,10.545454545454545,0.0625,8.783865538785712,13.89,0
95.0,11.0,0.0625,11.335245538121795,13.89,0
100.0,11.272727272727273,0.0,9.212120058930537,13.89,0
105.0,12.272727272727273,0.125,9.45313057184899,13.89,0
110.0,12.8,0.0625,10.595815616307382,13.89,0
115.0,13.666666666666666,0.0625,10.79665191010671,13.89,0
120.0,14.777777777777779,0.1875,7.808396855034366,13.89,0
125.0,8.764705882352942,0.25,9.411757368509951,13.89,0
130.0,9.1875,0.375,7.11350645010236,13.89,0
135.0,11.375,0.375,6.183243826870548,13.89,0
140.0,13.5625,0.4375,6.531264750874375,13.89,0
145.0,15.25,0.1875,8.462796113756294,13.89,0
150.0,16.0625,0.125,9.699542382315078,11.985098323547334,0
155.0,16.9375,0.25,7.822453364183783,12.019338986482524,0
160.0,17.9375,0.125,9.65017253789654,12.491364112992358,0
165.0,18.5625,0.125,9.081150612400524,13.89,0
170.0,19.5,0.125,9.900753159342944,13.89,0
175.0,20.125,0.125,10.303562352624796,13.89,0
180.0,21.071428571428573,0.0625,10.744291736256883,13.89,0
185.0,17.11111111111111,0.25,9.207622947091894,13.89,0
190.0,17.8125,0.1875,7.731526193251332,13.89,0
195.0,16.2,0.25,8.112879301460012,13.89,0
200.0,17.6,0.3125,7.558706805863016,13.89,0
205.0,12.434782608695652,0.25,8.326395671257698,13.89,0
210.0,13.608695652173912,0.375,8.05068983138616,13.89,0
215.0,15.26086956521739,0.5,7.6869981963986325,13.89,0
220.0,16.91304347826087,0.4375,6.691573783372266,13.89,0
225.0,18.956521739130434,0.625,5.647545413147765,13.574219803003515,0
230.0,20.545454545454547,0.625,4.303150864286562,13.213040233267392,0
235.0,19.423076923076923,0.5,6.746366151875555,13.89,0
240.0,20.884615384615383,0.375,8.783868884880935,13.89,0
245.0,22.32,0.4375,8.695091681312,13.89,0
250.0,23.88,0.5,6.869390417061445,9.935025581545755,0
255.0,26.391304347826086,0.5625,6.990749232473633,12.246819728781377,0
260.0,28.52173913043478,0.625,7.008667490924339,12.474242874333543,0
265.0,22.64516129032258,0.5,8.04183559375182,12.354324858630855,0
270.0,23.233333333333334,0.625,6.589172743180665,13.89,0
275.0,25.033333333333335,0.5625,6.940532952368002,13.89,0
280.0,26.666666666666668,0.625,7.666192142779732,13.89,0
285.0,27.103448275862068,0.375,8.848815584532282,13.89,0
290.0,28.344827586206897,0.5,8.557689725932226,13.89,0
295.0,25.46875,0.5,8.106864659005325,13.89,0
300.0,26.84375,0.625,7.529127669097483,13.89,0
305.0,28.46875,0.6875,6.371991624584403,13.89,0
310.0,29.193548387096776,0.875,6.445769964854656,13.89,0
315.0,31.233333333333334,0.75,6.005857075697894,13.89,0
320.0,33.3,0.6875,6.934708542472854,13.89,0
325.0,27.92105263157895,0.75,7.504729218796956,13.89,0
330.0,29.86842105263158,0.9375,6.103929621995815,13.89,0
335.0,32.28947368421053,1.25,4.4005058422710475,13.89,0
340.0,34.648648648648646,1.0,4.795405960450907,13.89,0
345.0,36.82857142857143,1.0,5.972802824340156,13.651308176637052,0
350.0,39.0,0.8125,6.453351186982699,13.82144665578928,0
355.0,36.473684210526315,0.8125,7.320118611140498,8.563637052818684,0
360.0,38.28947368421053,0.8125,6.694318508330635,13.89,0
365.0,40.078947368421055,0.6875,7.186173073226362,13.89,0
370.0,41.63157894736842,0.875,7.062760326191994,13.89,0
375.0,43.81578947368421,1.0625,5.651452448770448,13.89,0
380.0,44.54054054054054,1.25,5.421626914836387,13.89,0
385.0,38.45454545454545,1.375,4.947904483549976,13.89,0
390.0,40.093023255813954,1.5625,4.287580537563636,13.89,0
395.0,42.23809523809524,1.5,4.938569219358139,13.89,0
400.0,45.023809523809526,1.4375,4.65950005935809,13.89,0
405.0,40.22,1.5625,6.105394993518032,13.787291864933941,0
410.0,42.38,0.9375,6.902826195189806,14.465466856560234,0
415.0,43.8,0.875,7.709826729026049,7.33702860795106,0
420.0,44.795918367346935,1.125,7.31432897974964,13.89,0
