t,wt,ql,sd,b3c3_sd,b3c3_ql
15.0,2.375,0.3125,4.582269817391711,13.89,0
20.0,5.5,0.3125,2.775437665586869,13.89,0
25.0,8.25,0.125,5.754252312772225,13.89,0
30.0,10.125,0.1875,8.567514733558006,14.281748950411846,0
35.0,11.625,0.125,8.829314383590571,14.247727176221368,0
40.0,8.583333333333334,0.125,8.24293872069912,7.339210938705557,0
45.0,10.0,0.1875,7.805575369347312,13.89,0
50.0,11.25,0.1875,7.750897234309309,13.89,0
55.0,12.333333333333334,0.0625,8.711997391344921,13.89,0
60.0,13.25,0.1875,6.743208239512515,13.376854381803515,0
65.0,15.416666666666666,0.3125,6.546111759297247,13.773557385301775,0
70.0,17.5,0.3125,5.183075645682225,11.584521916592822,0
75.0,11.8,0.1875,6.954858868134062,13.89,0
80.0,12.4,0.125,10.564976282833909,13.89,0
85.0,12.9,0.25,9.411486808084742,13.89,0
90.0,13.8,0.1875,9.47137533663301,13.89,0
95.0,14.75,0.1875,8.752054926670857,13.89,0
100.0,15.8,0.1875,7.921955068174222,12.933551620862033,0
105.0,16.8,0.25,9.1447476711251,11.82335351570049,0
110.0,14.791666666666666,0.25,8.204797503495893,12.103851170740143,0
115.0,15.708333333333334,0.1875,9.39009967341374,13.89,0
120.0,16.791666666666668,0.5,6.645676233943763,13.89,0
125.0,18.333333333333332,0.125,8.68382959814078,13.89,0
130.0,18.217391304347824,0.0625,10.75665427381268,13.89,0
135.0,18.565217391304348,0.1875,10.774863099061132,13.89,0
140.0,18.5,0.25,8.11907151562144,13.89,0
145.0,14.633333333333333,0.875,5.334455890591803,13.89,0
150.0,14.464285714285714,0.5625,8.309108478334236,13.89,0
155.0,15.857142857142858,0.3125,8.377756251010256,13.89,0
160.0,16.928571428571427,0.375,9.294445566374012,13.89,0
165.0,17.40740740740741,0.1875,9.514597826621335,13.89,0
170.0,18.185185185185187,0.25,8.448534601910637,13.89,0
175.0,19.846153846153847,0.5,6.5143114139197715,13.89,0
180.0,21.88,0.625,6.405546155893169,13.89,0
185.0,20.482758620689655,0.375,6.865337718095946,13.89,0
190.0,21.862068965517242,0.5,7.7999264875237335,13.89,0
195.0,23.25,0.375,8.344805423563958,13.89,0
200.0,24.464285714285715,0.375,9.057014318146814,13.89,0
205.0,20.114285714285714,0.375,9.122634156374067,13.89,0
210.0,21.151515151515152,0.4375,8.387877936686637,13.89,0
215.0,22.272727272727273,0.3125,8.544245376547702,13.89,0
220.0,20.25,0.4375,8.243912617411311,13.89,0
225.0,21.36111111111111,0.4375,8.413197353137582,13.89,0
230.0,21.08823529411765,0.4375,8.909441579317015,13.89,0
235.0,22.235294117647058,0.4375,8.846512612210681,13.89,0
240.0,18.976190476190474,0.625,7.490344963852318,13.89,0
245.0,18.256410256410255,0.75,6.8676126871784255,13.89,0
250.0,19.342105263157894,0.875,6.5152859909886836,13.89,0
255.0,19.023809523809526,0.6875,7.004926194819679,13.89,0
260.0,20.05,0.3125,9.341738776635841,13.89,0
265.0,20.95,0.375,9.495769662118306,13.89,0
270.0,21.775,0.3125,9.500667059373182,13.89,0
275.0,18.770833333333332,0.4375,7.314316324631181,13.89,0
280.0,19.08695652173913,0.75,8.069369661646823,13.89,0
285.0,19.377777777777776,0.5625,7.885747745225902,13.89,0
290.0,20.59090909090909,0.75,7.308097165522121,13.89,0
295.0,20.425531914893618,0.75,7.689659563930919,13.89,0
300.0,22.19148936170213,1.1875,6.515102001598497,13.89,0
305.0,23.914893617021278,0.875,6.90530899771049,13.89,0
310.0,21.78181818181818,0.75,7.171452597628439,13.772478229144618,0
315.0,22.132075471698112,0.5,9.015659521933134,14.06656347047494,0
320.0,22.96153846153846,0.875,7.818553785399377,7.34805919700208,0
325.0,24.403846153846153,0.875,7.050726940103781,6.948748555635583,1
330.0,24.0,0.8125,7.664783252611159,14.682516758849061,0
335.0,25.392857142857142,0.9375,7.754591391399548,14.701726931899003,0
340.0,26.785714285714285,0.875,7.510307904767763,8.828830084857616,0
345.0,23.79032258064516,1.125,5.996057680726876,7.715345819024551,1
350.0,24.919354838709676,0.8125,8.287074255787866,12.502966330808395,0
355.0,26.21311475409836,0.625,8.35719970586623,13.89,0
360.0,26.983333333333334,0.6875,8.787099373391126,13.89,0
365.0,25.22222222222222,0.75,7.7903546237560315,13.89,0
370.0,24.57894736842105,0.75,8.638854796184106,13.89,0
375.0,25.0,0.875,7.988055372559443,13.89,0
380.0,26.166666666666668,1.0,7.135933826568422,12.174869419441439,0
385.0,24.112903225806452,0.875,7.858701653336232,9.89997589467304,0
390.0,24.316666666666666,0.75,8.229896206286552,11.270423793235727,0
395.0,25.396551724137932,0.875,7.520721434363471,13.168880600900847,0
400.0,24.983333333333334,0.8125,7.175197339287469,10.628151724033083,0
405.0,22.955223880597014,1.125,6.908883008607891,3.9691876453203925,1
