t,wt,ql,sd,b3c3_sd,b3c3_ql
15.0,2.375,0.3125,4.582269817391711,13.89,0
20.0,5.5,0.3125,2.775437665586869,13.89,0
25.0,8.0,0.0625,8.064684193228985,13.89,0
30.0,8.625,0.0625,11.851930687671839,14.281748950411846,0
35.0,9.0,0.0,12.62081537499829,14.247727176221368,0
40.0,9.0,0.0,9.529792432519919,13.89,0
45.0,9.125,0.0,11.029716417727641,13.782007449935282,0
50.0,9.25,0.0625,10.951014943112668,13.376854381803515,0
55.0,9.75,0.0625,9.312441850742504,13.773557385301775,0
60.0,11.25,0.1875,6.83439203922979,6.953182737267003,1
65.0,8.75,0.125,9.31948287220577,13.89,0
70.0,9.416666666666666,0.0625,11.459170211502785,13.89,0
75.0,9.666666666666666,0.0,12.25495976180595,13.89,0
80.0,9.75,0.0625,9.034822682416383,13.89,0
85.0,10.833333333333334,0.1875,7.777442186545948,13.89,0
90.0,13.181818181818182,0.1875,7.716563299250163,13.89,0
95.0,14.818181818181818,0.25,7.939656582123607,13.89,0
100.0,16.272727272727273,0.125,8.49563106222076,13.89,0
105.0,17.636363636363637,0.1875,9.039262988526962,13.89,0
110.0,19.2,0.125,9.364243806582735,13.89,0
115.0,19.8,0.0,11.621129489946162,13.89,0
120.0,20.444444444444443,0.0625,9.78841955432557,13.89,0
125.0,11.352941176470589,0.125,10.083506318326817,13.89,0
130.0,11.5,0.25,9.061756174233034,13.89,0
135.0,12.875,0.25,7.999216110021955,13.89,0
140.0,14.1875,0.1875,9.113909740154769,13.89,0
145.0,14.9375,0.125,9.14377953314942,13.89,0
150.0,15.5,0.125,10.24847695313514,13.002654660139285,0
155.0,16.125,0.125,10.226002521085835,11.800909941138286,0
160.0,16.75,0.125,9.472946402137563,12.861816404964827,0
165.0,17.066666666666666,0.1875,8.03083054206205,7.186656617948325,0
170.0,18.133333333333333,0.1875,8.50679352693366,6.945820984273602,1
175.0,19.466666666666665,0.25,8.234627328025647,6.945,1
180.0,20.857142857142858,0.1875,9.386553602233501,6.945,1
185.0,17.0,0.1875,9.628579337456754,6.945,1
190.0,18.0,0.1875,9.511047940520871,6.945,1
195.0,19.0,0.25,8.673519568593367,13.89,0
200.0,20.1875,0.1875,8.410259208939717,13.89,0
205.0,14.130434782608695,0.1875,10.224701105823282,13.89,0
210.0,14.826086956521738,0.25,10.163078218529979,13.89,0
215.0,15.73913043478261,0.25,9.380665033488608,13.89,0
220.0,17.681818181818183,0.4375,7.458470042844888,13.89,0
225.0,16.761904761904763,0.3125,6.870342696719978,13.89,0
230.0,18.38095238095238,0.375,8.032228456527813,13.89,0
235.0,16.8,0.4375,8.891771095669842,13.89,0
240.0,17.88,0.1875,8.591722885136779,13.89,0
245.0,18.92,0.4375,8.700720440607284,13.89,0
250.0,19.791666666666668,0.375,8.559976436791203,13.89,0
255.0,21.166666666666668,0.375,6.81479771982156,13.89,0
260.0,22.136363636363637,0.625,5.94003553351756,13.89,0
265.0,17.20689655172414,0.4375,8.048827753628,13.89,0
270.0,18.413793103448278,0.3125,8.815810228735792,13.89,0
275.0,19.310344827586206,0.25,8.913338590929595,13.89,0
280.0,20.275862068965516,0.4375,8.76642986224622,12.372500726295158,0
285.0,21.107142857142858,0.3125,7.792698845529668,12.924588390841137,0
290.0,22.178571428571427,0.3125,9.259170251578453,12.775805125519156,0
295.0,20.25,0.3125,9.249731284569796,7.441946005889895,0
300.0,21.28125,0.3125,9.413075693685732,5.307384234384219,1
305.0,22.774193548387096,0.4375,8.53572727221041,11.501770645838896,0
310.0,23.870967741935484,0.3125,8.8312213307728,12.066342643222505,0
315.0,23.9,0.375,8.255560009631013,9.534314316295957,0
320.0,25.3,0.5625,8.002381506932768,6.94519960418533,1
325.0,21.342105263157894,0.625,7.965706876749666,6.945,1
330.0,22.08108108108108,0.6875,8.028760471847518,6.945,1
335.0,23.22222222222222,0.6875,6.851301914857145,6.945,1
340.0,25.083333333333332,0.75,7.4431103886857635,9.372418476466327,1
345.0,24.705882352941178,0.625,7.6738442804488445,9.264718955774407,1
350.0,25.181818181818183,0.8125,6.725507847580981,13.833212828568321,0
355.0,23.82857142857143,0.875,5.807858025278999,13.89,0
360.0,26.114285714285714,0.9375,6.303656953498182,13.89,0
365.0,28.2,0.75,6.376977376364319,13.89,0
370.0,30.058823529411764,0.8125,6.5487890639597985,13.89,0
375.0,32.0,0.625,7.295242211244393,13.89,0
380.0,33.09090909090909,0.75,6.6480033045550755,13.89,0
385.0,27.307692307692307,0.6875,7.2815508470786385,13.943361385387398,0
390.0,28.157894736842106,0.8125,7.20729889521635,14.449234987038217,0
395.0,29.27027027027027,0.5625,8.115791010430083,13.574896454880509,0
400.0,30.486486486486488,0.5625,8.39806031748688,7.047930563442857,0
405.0,26.4,0.75,8.733626624377978,6.945181332417924,1
410.0,27.767441860465116,0.6875,7.842206277800022,6.945,1
