t,wt,ql,sd,b3c3_sd,b3c3_ql
15.0,2.375,0.3125,4.582269817391711,13.89,0
20.0,5.5,0.3125,2.775437665586869,13.89,0
25.0,8.25,0.125,5.754252312772225,13.89,0
30.0,10.125,0.1875,8.567514733558006,14.281748950411846,0
35.0,11.5,0.0625,9.919457763380407,14.247727176221368,0
40.0,12.125,0.0625,8.704328547482199,7.339210938705557,0
45.0,13.5,0.125,7.733923591975465,13.89,0
50.0,9.833333333333334,0.125,10.206283455432361,13.89,0
55.0,10.416666666666666,0.0625,10.588849342299405,13.89,0
60.0,10.833333333333334,0.0625,9.414782336030987,13.376854381803515,0
65.0,12.0,0.25,7.1507900696618405,13.773557385301775,0
70.0,13.916666666666666,0.375,5.758502704021706,13.89,0
75.0,16.083333333333332,0.1875,7.0921521423622975,13.89,0
80.0,17.0,0.0625,10.85276268161673,13.89,0
85.0,17.25,0.0,11.774296673727427,13.89,0
90.0,19.181818181818183,0.0625,9.526807287484264,13.89,0
95.0,11.68421052631579,0.1875,8.94652762039031,13.89,0
100.0,13.263157894736842,0.375,7.21819083126662,13.89,0
105.0,15.105263157894736,0.4375,5.142707659455509,13.89,0
110.0,17.31578947368421,0.4375,6.277513333125645,13.89,0
115.0,18.894736842105264,0.25,7.684130075137504,13.89,0
120.0,20.0,0.25,9.02431173750032,13.89,0
125.0,21.210526315789473,0.3125,7.598653989794376,12.290866773163486,0
130.0,22.63157894736842,0.375,5.718667138456059,12.234584465967544,0
135.0,24.055555555555557,0.25,8.06417842442199,12.25463348329771,0
140.0,20.545454545454547,0.25,9.549373345136003,7.207920382149523,0
145.0,21.5,0.1875,9.577165666568304,13.89,0
150.0,21.476190476190474,0.25,8.430546085985714,13.89,0
155.0,21.6,0.3125,7.7314424187435815,13.89,0
160.0,22.7,0.25,8.530025472072165,13.89,0
165.0,24.15,0.4375,7.514505150851198,13.89,0
170.0,25.95,0.375,8.28490775615794,13.89,0
175.0,27.45,0.375,7.371266861055636,13.89,0
180.0,28.9,0.25,7.4163984876186975,13.89,0
185.0,25.083333333333332,0.1875,10.015210844356185,13.89,0
190.0,25.791666666666668,0.25,9.579450480234001,13.89,0
195.0,25.52173913043478,0.3125,7.794148172625629,13.89,0
200.0,27.0,0.5,6.577259296535322,13.89,0
205.0,21.482758620689655,0.3125,8.775744749163191,13.89,0
210.0,22.20689655172414,0.1875,10.429796411452365,13.89,0
215.0,22.689655172413794,0.1875,10.08939167422515,13.89,0
220.0,22.428571428571427,0.3125,7.643013587123213,13.89,0
225.0,21.0625,0.6875,5.78942944658489,13.89,0
230.0,22.71875,0.5625,8.433004766323993,13.89,0
235.0,22.483870967741936,0.1875,9.48679667389283,13.89,0
240.0,21.866666666666667,0.1875,8.918798100339263,13.89,0
245.0,20.357142857142858,0.4375,8.006333770728663,13.89,0
250.0,17.166666666666668,0.6875,7.246200897322236,13.89,0
255.0,18.694444444444443,0.4375,7.926072786900103,13.89,0
260.0,19.228571428571428,0.1875,9.986032625185487,13.89,0
265.0,19.59375,0.125,10.343858938452048,13.89,0
270.0,16.08823529411765,0.3125,8.915025899794209,13.89,0
275.0,15.93939393939394,0.3125,9.154252242681373,13.89,0
280.0,15.59375,0.3125,9.959409423964553,13.89,0
285.0,14.419354838709678,0.25,8.456842243920134,13.89,0
290.0,15.9,0.375,7.986204667914248,13.89,0
295.0,13.35135135135135,0.5625,7.481295517685545,13.89,0
300.0,14.891891891891891,0.75,7.266454290343782,13.89,0
305.0,16.405405405405407,0.4375,7.890024024795503,13.89,0
310.0,17.324324324324323,0.375,8.836739588462992,13.89,0
315.0,16.125,0.125,8.827459065616658,13.89,0
320.0,16.0,0.25,10.266306036672015,12.0563164952536,0
325.0,16.68421052631579,0.3125,9.150691438954725,11.87019261731523,0
330.0,17.57894736842105,0.4375,6.500791316015945,12.925170109337092,0
335.0,19.05263157894737,0.6875,7.77254270968686,13.89,0
340.0,16.891304347826086,0.625,8.512905424108038,13.89,0
345.0,17.76086956521739,0.375,8.795004351248723,13.89,0
350.0,18.377777777777776,0.625,8.542133047909525,13.89,0
355.0,19.5,0.875,7.306914818743737,13.89,0
360.0,19.47826086956522,0.875,6.434270399590995,13.511179798763127,0
365.0,20.717391304347824,0.5625,7.234641795433473,13.336183130988733,0
370.0,22.22222222222222,0.9375,7.683575762238588,13.89,0
375.0,22.930232558139537,0.625,7.9255819476745195,13.89,0
380.0,24.38095238095238,0.6875,7.391858848025622,13.89,0
385.0,21.86,0.875,7.4202036421097635,13.89,0
390.0,22.604166666666668,0.8125,7.5425020529206295,13.89,0
395.0,24.166666666666668,0.6875,7.566513614716378,13.89,0
400.0,25.065217391304348,0.5625,7.762347175793797,13.643019664717167,0
405.0,22.40740740740741,0.5625,8.672278440715601,13.723360372217167,0
410.0,22.867924528301888,0.5,9.066760281973805,13.862060064988762,0
