step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,correlation_obs,correlation_wait,diff_reward,total_stop_signal1,total_stop_signal2,total_stop_signal3,total_stop_signal4,total_wait_time_signal1,total_wait_time_signal2,total_wait_time_signal3,total_wait_time_signal4,total_energy_consumption_signal1,total_energy_consumption_signal2,total_energy_consumption_signal3,total_energy_consumption_signal4,avg_speed_signal1,avg_speed_signal2,avg_speed_signal3,avg_speed_signal4
15.0,0.0,3,0.0,0.0,7.263219877257133,0.9921033748253264,1.0,0.25,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.532481132103133,0.0,10.763507004126495,0.0
20.0,0.0,4,0.0,0.0,3.981415258678568,0.9845595576657716,1.0,0.375,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006201897095079,0.0,9.579127209258788,1.0208607732784003
25.0,0.0,4,0.0,0.0,7.374625682600102,0.990573722558585,1.0,0.5,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.155514975658209,6.261839987829105
30.0,0.0,5,0.0,0.0,7.167814747158093,0.989948569957844,1.0,0.625,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.46282404032793
35.0,0.0,4,0.0,0.0,8.109198305385371,0.9922587970910636,1.0,0.625,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.747484367695192
40.0,0.0,5,0.24,0.015,8.113824128534326,0.990160029697536,1.0,0.418103448275862,1,1,0,0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.364422129292507,5.210273443080951,10.97529055608902,12.599707563906229
45.0,-0.12,10,0.01,0.000625,5.5808114870199645,0.9824005530390788,1.0,0.75,1,2,1,0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031470250283603,0.0232704519547833,11.252951082899967
50.0,0.1149999999999999,10,0.05,0.003125,4.741185846540694,0.980106108612456,1.0,0.875,1,2,0,2,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001083118530328,3.5537497104749707,0.0,2.960867617901597
55.0,-0.02,12,0.08,0.005,4.748313430290862,0.9815571830548324,0.9181180894028952,0.65,1,2,0,2,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.112769763502615,0.0,3.2705384894430267
60.0,-0.0049999999999999,9,0.16,0.01,7.593652205174732,0.98717861949763,0.9769468384825049,0.75,1,2,0,1,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.598345027967912,0.0,7.681710403687947
65.0,-0.025,8,0.15,0.009375,6.311383264308172,0.9850751158872388,1.0,0.7279411764705882,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0358438984953441,12.345642998460308,6.752304209064104
70.0,0.055,12,0.37,0.023125,6.007117427137845,0.98245026235151,1.0,0.75,0,3,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.395691405161845,7.0393434613532095
75.0,-0.0075,15,0.5700000000000001,0.035625,4.97937853398941,0.9750129974970216,1.0,0.75,0,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.886822940548882,2.133801774034509,9.167409935497956,4.088588747841314
80.0,0.0,16,0.77,0.048125,5.810470134319758,0.9742331277292656,1.0,1.0,0,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.605827160071977,3.0238592848593986,5.9638289053573805,7.209708959891959
85.0,0.0,16,0.94,0.05875,5.139146272059863,0.972533140635252,1.0,1.0,0,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.991615117652737,2.906139376410764,0.0,6.18390372594083
90.0,0.0075,17,1.18,0.07375,4.356931543401094,0.9726655900986858,1.0,1.0,0,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.376182426590868,2.823785224155771,14.217596024745452,3.555132730849598
95.0,0.0,16,0.43,0.026875,4.88943603124376,0.9715362227053992,0.999999526463863,0.8741379310344828,0,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.264651777580776,0.1500819174544699,13.712340710107544,4.557014995916879
100.0,0.0,17,0.06,0.00375,6.130046263841287,0.973120773115241,0.8432075327778339,0.9207422324510932,0,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53379606735839,0.0002159013821438,0.0,2.528037565029023
105.0,0.0,19,0.06,0.00375,5.672003243938779,0.9743252856294632,0.9091028765130448,0.925,1,4,0,4,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012154353892816,2.6404454622660447,0.0,2.604157008691174
110.0,-0.015,20,1.31,0.081875,4.373735340261801,0.9704156917486766,1.0,0.7681159420289856,0,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.744974097586237,2.840865790747779,4.33666322438512,2.8394956239794813
115.0,0.015,24,2.75,0.1718749999999999,4.407154960410704,0.97834029435215,0.8604720945687593,0.7633835758835759,0,4,0,5,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,14.30354600849776,1.5158629071893748,13.386592449454078,4.18433496037204
120.0,-0.0075,27,2.76,0.1725,3.6840733009377775,0.9724194492828712,0.8631419735823564,0.9811830196013104,0,6,0,5,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,10.00673366648839,1.387514751721762,12.60738046089788,3.763363471402165
125.0,0.0075,29,0.01,0.000625,3.7573939858246193,0.9551458149271208,0.8229153319594008,0.9350862863366004,1,5,1,6,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0019528522989986,1.9638905577026968,2.6808741818374213,1.9844806116898712
130.0,0.0,30,4.16,0.26,4.182528979821887,0.9696064496454296,0.8503993897164394,0.9215539788408657,1,5,0,6,0.0,3.22,0.0,0.9,0.0,0.0,0.0,0.0,6.599952159917602,0.0,15.719459004126495,3.2675019014363857
135.0,-0.805,30,4.65,0.290625,3.948862484568085,0.9739065487454952,1.0,0.5424201760862377,1,4,0,7,0.0,0.0,0.0,2.68,0.0,0.0,0.0,0.0,7.530992973947586,0.0,13.633113667086434,1.5269488386852823
140.0,0.805,25,2.93,0.1831249999999999,3.992463805663266,0.9712186765980252,0.9998522649727428,1.1238738738738738,1,4,1,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.864738517575866,4.552872061442827
145.0,0.0,33,0.95,0.059375,4.457783146267836,0.9555395365914812,0.9999000883245114,1.1211042593431182,2,3,2,3,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.6230858311375582,9.778397184907016,6.157341480276039
150.0,0.0,22,1.09,0.0681249999999999,6.249987430055916,0.9744936268722892,0.999929267514998,1.0678571428571428,1,1,1,0,0.0,0.0,0.12,0.03,0.0,0.0,0.0,0.0,6.193913616349909,6.600630586182583,9.605811488549262,10.675188826922422
155.0,0.0,24,0.9,0.05625,5.878386090638098,0.969591275674003,1.0,1.1447368421052633,1,1,0,0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,5.642722184181202,0.0,10.473845289367157,10.471085712318722
160.0,0.0,28,0.04,0.0025,4.61791608582883,0.9636945823257662,0.919705566456957,1.1500672043010751,1,1,1,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,6.568932092101767,0.0,6.411426662066995,7.241145339245212
165.0,0.0,31,0.12,0.0075,4.586902219618414,0.9607474068383016,0.9060657263684342,1.3461538461538465,1,1,2,1,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,5.4813135578738414,0.0,5.966641087476126,6.674948396295231
170.0,0.0,35,0.2,0.0125,3.976165605729488,0.9543935941228008,0.8982344959728992,1.2234848484848486,2,1,1,3,0.0,0.03,0.0,0.14,0.0,0.0,0.0,0.0,0.0142112326461386,11.428981096423977,8.32364054869115,0.2801251721599804
175.0,-0.0075,42,0.47,0.029375,3.129126453846213,0.9539316444243692,0.8974595420997133,1.375,2,1,2,4,0.0,0.03,0.0,0.34,0.0,0.0,0.0,0.0,0.0,11.651355131236071,0.2609105524813697,9.17959876877422e-05
180.0,0.0,41,1.71,0.106875,3.0790805000302326,0.9585582403618728,1.0,1.1160081053698074,2,1,4,1,0.0,1.39,0.0,0.1,0.0,0.0,0.0,0.0,4.951491680523748,8.895612025069822,0.0224669911719792,0.0
185.0,-0.3399999999999999,44,0.42,0.02625,3.719111015134526,0.9555387480402788,0.882451507640521,1.0303542178542178,2,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.253626735293471,2.292124626166268,7.676921719967187,8.381855843869742
190.0,0.3475,46,0.35,0.021875,3.042928611394208,0.9524038389430788,0.8753460022494378,1.5,2,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.515997146447264,5.832241379423732,7.524300593788896,13.67083522550774
195.0,0.0,48,1.1,0.06875,3.091574625311561,0.9546751885269796,0.8604912772856151,1.065151862026862,3,4,2,0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.509812939251265,5.716286531974513,4.691276433256159,11.763501417015435
200.0,-0.505,48,3.26,0.20375,2.881975323241305,0.9561441987628496,0.9999587841955806,0.9317118226600984,2,5,4,0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09746777872478,2.6319773747263286,1.8370711956039785,2.633455242612399
205.0,-0.045,48,1.66,0.10375,4.424128463125735,0.9560265981161432,0.9929667183205272,0.8733656741385077,3,6,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.519238576885767,3.225068145122962,3.880886414047247,11.597963017608716
210.0,0.55,52,0.89,0.055625,4.069549309217558,0.9552163786759696,1.0,1.1680198486064115,3,6,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.60290134562594,1.9318621946597825,3.987474175982714,8.587549640152433
215.0,0.0,50,1.13,0.070625,4.328432000948858,0.9544397645114542,1.0,1.375,3,6,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.199577883671897,1.6212058918017715,2.3467875603494086,8.867468172593506
220.0,0.0,52,1.31,0.081875,3.9247788529084793,0.9513619232933545,0.9999841098797108,1.006578947368421,4,7,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.341268564638909,0.5461182287288633,2.364461059011357,7.225874933382651
225.0,0.0,58,1.39,0.086875,3.924771077403432,0.9501763130699672,0.9941991820851372,1.375,6,7,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.823612215301884,1.8024123960276897,1.929521160394036,9.21010814935947
230.0,0.0,57,1.6900000000000002,0.105625,3.314065059342114,0.950791939818968,0.979580448410484,1.2339089481946623,6,7,5,1,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,1.955317246498635,2.6199241115209264,1.8813087791083083,7.483822838402935
235.0,0.0,60,1.96,0.1225,3.388428494362661,0.9522556365642174,0.9999478740125646,1.2062908496732023,6,8,4,0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.3790716083647957,1.0361601744795843,0.5745348030938332,9.802314610074166
240.0,0.0,62,2.35,0.1468749999999999,3.870058126080774,0.9555952854318974,0.9059845800654508,1.0251017639077342,7,8,4,1,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.9278414005526826,2.03267945114306,2.0264369727810845,7.1839978649190375
245.0,0.0,69,2.07,0.129375,2.8422853639946988,0.9475844180040086,0.9044495307947238,1.2624212421242125,8,8,4,1,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0038683560278341,1.507520122443309,2.6189162146104605,6.9963539191084125
250.0,0.0,70,2.31,0.144375,2.853441577582436,0.94085183005377,0.8892083370929927,1.2282701443660349,8,8,4,1,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,2.157534405211037,2.932810072138916,8.469144218263976
255.0,0.0,82,4.78,0.2987499999999999,2.5757388269492094,0.9322589358081792,0.9656977277307404,1.1202945402298847,9,10,5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9276974992618592,0.0045504963664597,2.2027721828812203,3.0335630302121745
260.0,0.0,71,1.8,0.1125,3.136520257996336,0.9362228178512813,0.9321158528225416,1.3190201192250373,8,9,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9956867229200952,1.2077206826799514,2.415085501479074,0.5847786145254334
265.0,0.0,72,3.13,0.195625,3.300143779338552,0.939566314437982,0.9425766149091171,1.3454251732534184,8,9,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9634709747632089,1.1956098509401047,2.292800702130512,1.7907883773835642
270.0,0.0,79,7.180000000000001,0.44875,3.231806110219789,0.9504692449282204,0.9421365664210916,1.205475078329948,8,10,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.023689995928021,0.0062526825698539,4.330826685808678,10.700509199950352
275.0,0.0,77,4.21,0.263125,2.8647232577949,0.9374905939970184,0.9288178110130868,1.0181483983395991,8,10,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3443175597535404,0.7104797675004259,4.167964861633591,5.691288747035735
280.0,0.0,81,2.58,0.16125,3.4245196941137155,0.9384518854213024,0.9082652157095552,1.34946875,10,10,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9544831129775108,1.188167473104368,4.009094721963974,11.559588172541917
285.0,0.0,85,9.52,0.595,2.834827320476875,0.9389854806529838,0.999868513032084,1.2919061302681991,10,10,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0124900750035462,1.1320683574557224,0.0654478473363565,7.384632837501083
290.0,0.0,85,11.64,0.7275,2.5461476830618266,0.938432367827653,0.9991054185274948,1.4124122407888546,10,10,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1888281068336532,0.0243786250328307,2.765234082772193e-05,4.522894300916195
295.0,0.0,86,11.65,0.7281249999999999,3.347385843580047,0.9442721712739348,0.999962359212196,1.5523367885070012,12,11,5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030119983900454,0.0442908586723263,1.8741713430966325,8.081000560177088
300.0,0.0,100,10.5,0.65625,2.7319680744656707,0.93515508648304,0.9999027910223572,1.2992675251265131,12,12,5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.951897828802508e-05,0.0,0.0,4.104512861847538
305.0,0.0,98,11.23,0.701875,3.000616750351025,0.93776748076841,0.9991926619403932,1.4835341365461847,12,12,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0266206175070685
310.0,0.0,98,10.76,0.6725,2.6280290945479554,0.9352659855619638,0.9998821461019934,1.6178985507246375,12,12,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3208508870850962,0.3144647042678956,0.6363851301527271,2.418304042058466
315.0,0.0,101,8.46,0.5287499999999999,2.59193430481603,0.9343279462324644,0.9999458207564595,1.4000973867878592,12,12,5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525646367713296,1.0408395714430123,2.211720893848741,3.0213371745747564
320.0,0.0,108,9.03,0.564375,2.381741560452116,0.9298985170407824,0.999885103425486,1.638059701492537,13,12,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.730361669435089e-05,0.937983998610724,2.198561774344081,3.582701226509679
