arch,path,avg_wait_time,total_stopped,avg_speed,method,pr,category
ppo,1.0,1.7829899497487434,4.73178391959799,5.464014465294073,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1.7290672110552765,4.277324120603015,5.76650040979125,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1.542372801507538,4.281564070351759,5.7136593759151175,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,2.8410097361809044,4.895257537688442,5.337193482199912,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1.3022393216080401,4.170697236180905,5.822574123517211,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1.9138316582914574,4.869346733668341,5.525475129788476,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1.4698335427135678,4.2272298994974875,5.8480723438522615,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1.6584265075376885,4.37233040201005,5.736128476835398,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1.6761871859296484,4.262405778894473,5.639411103989842,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,1.212446608040201,4.019786432160804,5.989394385545838,MAPO-PPO,100%,MAPO-PPO/100%
a3c,1.0,1.8334092336683416,5.19786432160804,5.092277348290689,MAPO-A3C,100%,MAPO-A3C/100%
a3c,1.0,1.3643168969849249,4.4853957286432165,5.426248927258245,MAPO-A3C,100%,MAPO-A3C/100%
a3c,1.0,3.218475188442212,5.489007537688442,4.97321098992216,MAPO-A3C,100%,MAPO-A3C/100%
a3c,1.0,1.5330276381909547,4.742619346733668,5.357014117280518,MAPO-A3C,100%,MAPO-A3C/100%
a3c,1.0,1.683506595477387,4.631752512562814,5.368461086519712,MAPO-A3C,100%,MAPO-A3C/100%
a3c,1.0,1.6050769472361808,4.665829145728643,5.52344408597128,MAPO-A3C,100%,MAPO-A3C/100%
a3c,1.0,1.6421466708542714,4.806375628140704,5.306800615640996,MAPO-A3C,100%,MAPO-A3C/100%
a3c,1.0,8.035196293969848,6.037374371859296,4.8403046285800455,MAPO-A3C,100%,MAPO-A3C/100%
a3c,1.0,1.343965138190955,4.434516331658291,5.5650467504946795,MAPO-A3C,100%,MAPO-A3C/100%
a3c,1.0,1.3610599874371858,4.5186871859296485,5.487048509926494,MAPO-A3C,100%,MAPO-A3C/100%
sac,1.0,27.814921482412064,8.045069095477388,4.723510558182621,MAPO-SAC,100%,MAPO-SAC/100%
sac,1.0,2.4160207286432156,4.564698492462312,5.959413933446704,MAPO-SAC,100%,MAPO-SAC/100%
sac,1.0,1.8792870603015075,4.154993718592965,5.987013854016703,MAPO-SAC,100%,MAPO-SAC/100%
sac,1.0,2.713428077889447,4.821765075376884,5.71213797742986,MAPO-SAC,100%,MAPO-SAC/100%
sac,1.0,2.3255229271356783,4.564541457286432,5.828697123363482,MAPO-SAC,100%,MAPO-SAC/100%
sac,1.0,2.3645461683417084,4.378297738693467,5.788042480329914,MAPO-SAC,100%,MAPO-SAC/100%
sac,1.0,1.3106359924623117,3.415201005025126,6.433117583785184,MAPO-SAC,100%,MAPO-SAC/100%
sac,1.0,1.4652685301507538,3.7716708542713566,6.047355456976243,MAPO-SAC,100%,MAPO-SAC/100%
sac,1.0,2.656600188442211,5.091708542713568,5.612090038908886,MAPO-SAC,100%,MAPO-SAC/100%
sac,1.0,1.6180543341708544,3.741991206030151,6.154583671659757,MAPO-SAC,100%,MAPO-SAC/100%
uniform,uniform,4.071703831658292,20.339824120603016,2.2174329165149507,Fixed time,FO,Fixed time
uniform,uniform,3.575383165829146,19.414729899497488,2.2667456988261727,Fixed time,FO,Fixed time
uniform,uniform,3.886568781407035,20.551036432160803,2.1775242567333515,Fixed time,FO,Fixed time
uniform,uniform,3.6491080402010043,19.393844221105528,2.2742265662265373,Fixed time,FO,Fixed time
uniform,uniform,3.228877198492462,19.123429648241206,2.302746552810877,Fixed time,FO,Fixed time
uniform,uniform,3.541264133165829,20.038473618090453,2.20789422779966,Fixed time,FO,Fixed time
uniform,uniform,3.744919912060301,18.571293969849247,2.3248514460773464,Fixed time,FO,Fixed time
uniform,uniform,3.805213567839196,19.129239949748744,2.280257779825337,Fixed time,FO,Fixed time
uniform,uniform,2.8281359924623115,19.52606783919598,2.335814910981284,Fixed time,FO,Fixed time
uniform,uniform,2.6818922738693467,18.12264447236181,2.3962073272105857,Fixed time,FO,Fixed time
maxpressure,maxpressure,2.622763819095477,12.916143216080402,3.3157125028747534,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,2.0983621231155776,10.942054020100503,3.6548984228199006,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,2.3397550251256285,12.103015075376884,3.4555198906717055,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,2.451526381909548,12.926821608040202,3.305675281065539,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,4.562441896984925,16.099874371859297,3.068417717255614,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,1.5083134422110556,11.309202261306533,3.4521140417500327,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,2.8972094849246233,13.92697864321608,3.1905475408049884,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,3.215114635678391,14.165672110552764,3.228635507755157,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,4.126846733668342,17.96309673366834,2.7579941319242924,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,4.598055904522614,17.334641959798994,2.84712447641085,MaxPressure,FO,MaxPressure
websters,websters,1.8805606155778893,15.835113065326633,2.649883828734469,Websters,FO,Websters
websters,websters,3.3678203517587937,16.059673366834172,2.6437490901810694,Websters,FO,Websters
websters,websters,2.2561180904522615,14.912217336683417,2.805029134828022,Websters,FO,Websters
websters,websters,1.8293278894472362,15.25015703517588,2.797875987928683,Websters,FO,Websters
websters,websters,2.0130496231155774,17.08809673366834,2.5593430248296385,Websters,FO,Websters
websters,websters,3.685609296482412,16.85678391959799,2.5768798244703155,Websters,FO,Websters
websters,websters,2.41486966080402,16.324277638190956,2.7160892300098007,Websters,FO,Websters
websters,websters,2.754751884422111,15.513819095477388,2.7709521413950995,Websters,FO,Websters
websters,websters,3.320946922110553,16.543184673366834,2.645867226447069,Websters,FO,Websters
websters,websters,3.60942682160804,18.07537688442211,2.4823046015234373,Websters,FO,Websters
