arch,path,step_time,avg_wait_time,total_stopped,avg_speed,method,pr,category
ppo,1.0,15.0,0.00375,0.125,6.1274679157218,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,20.0,0.016875,0.3125,4.185420469996554,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,25.0,0.008125,0.0625,8.9778321504338,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,30.0,0.02375,0.1875,8.445664303273798,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,35.0,0.015,0.125,9.318473110699257,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,40.0,0.0075,0.0,10.205480868694789,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,45.0,0.009375,0.125,9.831716267137,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,50.0,0.01125,0.1875,9.892587254879071,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,55.0,0.020625,0.5625,6.7576704818914175,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,60.0,0.021875,0.1875,9.502836409815185,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,65.0,0.0125,0.1875,9.474686632558226,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,70.0,0.030625,0.3125,8.586483641854874,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,75.0,0.043125,0.3125,7.312212490313901,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,80.0,0.045625,0.375,8.43994600878807,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,85.0,0.028125,0.25,9.16820277692898,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,90.0,0.03,0.25,9.51798906501293,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,95.0,0.048125,0.4375,9.238658236781008,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,100.0,0.054375,0.625,8.099917795221693,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,105.0,0.05125,0.5,7.461548200409126,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,110.0,0.053125,0.6875,7.04840206957814,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,115.0,0.065625,0.5625,9.075008836868802,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,120.0,0.083125,0.5625,7.922407662387402,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,125.0,0.036875,0.25,8.2891482759391,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,130.0,0.06,0.5,9.204769841187078,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,135.0,0.055,0.375,9.197748610252884,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,140.0,0.06125,0.375,9.637304453146085,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,145.0,0.07875,1.1875,7.144186808489416,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,150.0,0.12,0.8125,8.133223586146045,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,155.0,0.086875,0.625,7.545946738562193,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,160.0,0.09125,0.625,8.63276516266049,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,165.0,0.088125,0.625,8.242207637373559,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,170.0,0.10125,0.5625,8.730943418595896,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,175.0,0.114375,0.5625,7.646971025687154,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,180.0,0.12875,0.75,8.263211341373584,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,185.0,0.101875,0.625,8.547253303349613,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,190.0,0.0925,0.5625,8.789355464640165,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,195.0,0.10125,0.6875,9.032104636782732,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,200.0,0.08125,0.4375,7.987172399626456,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,205.0,0.07125,0.75,8.488506766289607,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,210.0,0.07875,0.9375,8.12514876918064,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,215.0,0.07875,0.5625,8.81289392404733,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,220.0,0.0825,0.875,7.821203878642795,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,225.0,0.088125,1.0,6.793117661219671,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,230.0,0.106875,1.25,6.5082893312273615,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,235.0,0.12875,1.3125,6.862234878964409,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,240.0,0.156875,1.0,7.253124503927075,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,245.0,0.1387499999999999,1.25,7.62017709228467,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,250.0,0.1425,1.0625,7.504979620475042,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,255.0,0.1775,1.75,6.92622796044345,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,260.0,0.221875,1.375,7.288786060949867,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,265.0,0.24125,1.6875,6.210907064803074,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,270.0,0.274375,1.75,5.8785235746391775,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,275.0,0.294375,1.625,5.804231337513021,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,280.0,0.259375,1.75,6.26168611031306,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,285.0,0.1887499999999999,1.0,7.371181640343849,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,290.0,0.223125,1.625,6.999129071763102,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,295.0,0.215,1.5625,7.190093010977654,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,300.0,0.2493749999999999,1.875,6.373764512072018,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,305.0,0.258125,1.75,6.746749646589548,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,310.0,0.3225,1.9375,6.365051463520201,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,315.0,0.385625,2.375,6.302965043745052,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,320.0,0.39375,2.0,7.056618059743035,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,325.0,0.369375,2.1875,6.368456373828737,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,330.0,0.4175,2.1875,6.617864147361742,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,335.0,0.44125,2.3125,6.049544322709475,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,340.0,0.450625,2.5,6.676444591657345,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,345.0,0.4149999999999999,2.625,6.110979927777338,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,350.0,0.42125,1.875,7.623669036641671,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,355.0,0.3725,1.6875,6.280043887071139,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,360.0,0.4375,2.25,6.209946768567667,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,365.0,0.47,2.4375,6.324718866134945,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,370.0,0.47,2.1875,6.7093856009401325,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,375.0,0.4874999999999999,2.3125,6.357434634684787,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,380.0,0.5331250000000001,3.0,5.855682109391648,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,385.0,0.4724999999999999,2.1875,6.061611058420961,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,390.0,0.489375,2.5,6.982024347716398,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,395.0,0.501875,2.1875,6.561060161028496,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,400.0,0.5375000000000001,2.3125,6.75962312202758,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,405.0,0.526875,2.1875,6.533754636242597,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,410.0,0.453125,2.1875,7.278381920014807,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,415.0,0.44625,2.375,7.192298028724002,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,420.0,0.520625,3.125,6.578656211670984,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,425.0,0.5131249999999999,2.625,6.134417857860029,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,430.0,0.5406249999999999,3.0,6.266660993489165,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,435.0,0.526875,2.4375,6.784104700748293,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,440.0,0.495,3.0,6.616136754061931,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,445.0,0.6018749999999999,3.375,5.83694772170468,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,450.0,0.6331250000000002,3.1875,5.952259622448924,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,455.0,0.58875,3.1875,5.883937519417944,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,460.0,0.648125,3.4375,6.046100971089627,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,465.0,0.601875,2.25,6.298666080169686,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,470.0,0.5756249999999999,2.875,6.7370512335878345,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,475.0,0.5756249999999999,2.75,6.263226430150427,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,480.0,0.569375,2.9375,7.031916597753444,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,485.0,0.538125,2.875,6.256294303317015,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,490.0,0.5406249999999999,3.4375,5.762756214259359,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,495.0,0.555,3.875,5.016072786494632,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,500.0,0.528125,3.0625,6.32005139064405,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,505.0,0.495625,3.125,5.895442064193683,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,510.0,0.481875,3.3125,6.483002674804097,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,515.0,0.501875,3.0625,6.083285931634613,MAPO-PPO,100%,MAPO-PPO/100%
