step_time,total_stopped,avg_wait_time,avg_speed
15,3,0.011875,5.915283353020287
20,4,0.023125,4.939551681987742
25,4,0.0325,7.994190069219034
30,6,0.04625,4.807978660980629
35,7,0.035,4.063282834926716
40,10,0.059375,4.693039604879358
45,6,0.03625,7.744523747003197
50,8,0.0574999999999999,6.296051676770203
55,11,0.046875,5.15005965197068
60,13,0.07625,4.334742251871043
65,11,0.06,6.483781325775621
70,12,0.095,5.012905387011866
75,14,0.129375,5.281439610145137
80,17,0.1775,2.8770241015524767
85,15,0.095,5.856520872930732
90,18,0.148125,5.0975269505873175
95,16,0.12875,6.322702090720417
100,26,0.189375,2.916202155600745
105,16,0.091875,5.865075469890192
110,20,0.135625,5.143424996876584
115,21,0.17125,5.99972649214716
120,29,0.23875,2.3375621547117658
125,17,0.064375,6.619359916281623
130,20,0.091875,6.583009440720809
135,23,0.133125,6.3904789602718735
140,29,0.1868749999999999,1.7957913097271334
145,33,0.07375,4.7311532845321285
150,26,0.125625,6.104766336056135
155,24,0.12875,6.043316601427362
160,37,0.18875,2.6921623119237807
165,20,0.031875,7.472198472530574
170,23,0.0643749999999999,7.046421392253035
175,26,0.074375,6.689934743391804
180,39,0.125625,2.211178363182748
185,34,0.07625,5.606588735056759
190,37,0.136875,5.036394556839093
195,37,0.158125,5.227555114621612
200,49,0.2425,1.748771062229891
205,23,0.08875,7.884764708742857
210,37,0.12375,6.410867825602031
215,29,0.0993749999999999,7.370933695382333
220,42,0.145625,3.569747567964582
225,45,0.090625,5.433964049732589
230,54,0.206875,4.033075707236679
235,56,0.25,4.33499356369773
240,67,0.36875,2.822694258402432
245,41,0.260625,6.180782244586504
250,46,0.33,5.2116679492750935
255,55,0.31875,4.817857214582137
260,65,0.42625,3.334190938823586
265,58,0.341875,5.052370670567008
270,65,0.484375,4.230839117906753
275,65,0.5856250000000001,4.226719626051368
280,87,0.75,2.154550181141469
285,54,0.56,5.481505575287224
290,60,0.655625,4.48901325991833
295,56,0.5718749999999999,4.664390476409004
300,78,0.681875,2.707064130081868
305,64,0.5525,4.738179297819021
310,75,0.715,3.899807677570934
315,75,0.8062499999999999,4.588469131361502
320,92,1.0025,2.419326047901406
325,56,0.6881250000000001,5.058384171413293
330,62,0.784375,4.9177677473892505
335,65,0.7537499999999999,4.447108135051851
340,79,0.8475,2.216858381878084
345,77,0.6656249999999999,4.103757598061417
350,82,0.8174999999999999,4.092857470423472
355,87,0.944375,3.7402968831558354
360,107,1.1175000000000002,2.2143948210509943
365,69,0.75875,4.529578650103412
370,71,0.84375,4.142240491118086
375,75,0.775625,4.223869602237714
380,91,0.8531249999999999,2.249554977924644
385,87,0.68375,4.042809764947429
390,102,0.8612500000000001,3.116221719600164
395,100,0.985625,3.8744488079418735
400,120,1.160625,2.127391023477126
405,76,0.8225000000000001,5.3122747700046125
410,83,0.8887500000000002,4.073528338200133
415,90,0.739375,3.98248904618972
420,115,0.84,2.431042305722176
425,104,0.818125,3.561675405295717
430,133,1.0481250000000002,2.6020320979133422
435,130,1.2525000000000002,3.273076184781184
440,144,1.525,2.4913334515009526
445,99,1.108125,4.321603654472023
450,89,1.18625,4.060780811174808
455,95,0.8812500000000001,4.486685745821267
460,119,0.95375,2.3049183671721742
465,119,0.77,3.6006202746314107
470,130,0.99,3.051435203445671
475,143,1.2,2.945720827943004
480,168,1.47875,1.5479621237148389
485,109,1.054375,3.792228186361128
490,118,1.15875,3.451180502724311
495,123,1.034375,3.608438995935099
500,156,1.1793749999999998,1.933557084233928
505,133,1.100625,3.56266070513732
510,156,1.376875,2.8242177605204453
515,157,1.598125,2.6957374806318284
520,186,1.868125,1.615449105579042
525,124,1.3493749999999998,3.374817034338636
530,109,1.41,3.3976484371418514
535,129,1.234375,3.40718543887255
540,169,1.34125,1.7490000309255176
545,157,1.1956250000000002,3.0591169729494667
550,167,1.4675,2.870072003919883
555,168,1.6525,2.863388782527599
560,207,1.95125,1.554918221433875
565,143,1.4418749999999998,3.2003180464151497
570,153,1.579375,2.9100073526565056
575,156,1.489375,2.690031828943138
580,177,1.5981249999999998,1.8885376903909463
585,158,1.4812499999999995,3.0206115929263246
590,177,1.704375,2.617641546627272
595,184,1.893125,2.741905379588882
600,217,2.168125,1.6465440886063052
605,155,1.615,3.549299235499005
610,160,1.6956249999999995,3.156053475619752
615,169,1.618125,2.871687416233492
620,192,1.736875,1.743432848494129
625,177,1.5881249999999998,2.7457044240494413
630,188,1.876875,2.545531029609533
635,201,2.0962500000000004,2.0861515240529624
640,243,2.425625,1.2569125301351949
645,179,1.93375,3.130243400250059
650,181,2.09,2.921046693634964
655,184,2.13,2.6221541341036025
660,222,2.258125,1.255049939970969
665,187,2.061875,2.690781566139519
670,197,2.30875,2.399322929731561
675,209,2.4725,2.4098871202405503
680,252,2.75375,1.3099039805116128
685,200,2.3925,2.93402907321978
690,193,2.5431250000000003,2.6921986807715768
695,202,2.5875,2.5658988649603898
700,251,2.724375,1.226564184027228
705,218,2.636875,2.579437461335545
710,204,2.743125,2.9055603031353425
715,219,2.8812500000000005,2.592547201958451
720,258,3.1100000000000003,1.5061419900804098
725,259,3.3325000000000005,1.6989485182464463
730,225,2.75875,2.793042739605589
735,193,2.239375,3.522687255718884
740,187,1.976875,3.3349445900703785
745,223,1.99625,2.1025237745705887
750,249,2.099375,1.817225519926739
755,245,2.188125,2.1198829576036258
760,234,2.288125,2.678115278703659
765,259,2.44,2.413517931355303
770,285,2.80125,2.142709501601744
775,291,3.075,1.850242948926996
780,264,2.776875,2.284244771213499
785,237,2.71375,2.881486922768908
