step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,correlation_obs,correlation_wait,diff_reward,total_stop_signal1,total_stop_signal2,total_stop_signal3,total_stop_signal4,total_wait_time_signal1,total_wait_time_signal2,total_wait_time_signal3,total_wait_time_signal4,total_energy_consumption_signal1,total_energy_consumption_signal2,total_energy_consumption_signal3,total_energy_consumption_signal4,avg_speed_signal1,avg_speed_signal2,avg_speed_signal3,avg_speed_signal4
15.0,-1.887500000000074,2,0.16,0.0064,7.791993588764822,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,1,0,1,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,14.034790612348235,0.0,0.9871423440327074,0.0
20.0,-0.02,4,0.33,0.0132,5.626131806220053,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,1,1,1,0.0,0.13,0.04,0.13,0.0,0.0,0.0,0.0,0.6210751769958442,0.0,0.0,0.0
25.0,-0.0125,5,0.58,0.0232,8.389473990274018,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,1,1,1,0.05,0.18,0.09,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,-0.0375,6,0.8500000000000001,0.034,7.553766594876969,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,1,1,1,0.1,0.23,0.14,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2586185839179205
35.0,-0.0375,7,1.1800000000000002,0.0472,6.239588700086283,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,1,1,1,0.15,0.28,0.19,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7062601486838656
40.0,-0.0375,8,1.26,0.0504,7.389446154329639,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,0,1,1,0.2,0.0,0.24,0.33,0.0,0.0,0.0,0.0,4.80048871220788,10.826469879181689,4.80048871220788,9.745204217691168
45.0,0.045,8,1.48,0.0592,8.08469369774588,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,0,1,1,0.25,0.0,0.29,0.41,0.0,0.0,0.0,0.0,5.882786579580553,0.0,6.887033579580552,9.899943488973395
50.0,-0.0249999999999999,10,1.96,0.0784,7.092788387751728,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,0,1,1,0.3,0.0,0.34,0.46,0.0,0.0,0.0,0.0,0.3655294910861806,0.0,5.819873832399558,11.189374654610145
55.0,-0.0249999999999999,16,2.27,0.0908,4.487517480319808,COMPARE OFF,COMPARE OFF,COMPARE OFF,2,0,1,2,0.38,0.0,0.39,0.52,0.0,0.0,0.0,0.0,0.0043804802619626,0.0,6.24963202676789,5.841069851219188
60.0,-0.04,14,2.96,0.1183999999999999,6.178847345240963,COMPARE OFF,COMPARE OFF,COMPARE OFF,2,0,1,4,0.48,0.0,0.44,0.68,0.0,0.0,0.0,0.0,0.0,0.0,6.757988886850021,2.6401542255599786
