step_time,total_stopped,avg_wait_time,avg_speed
15,3,0.0,8.26301544594559
20,3,0.0,5.081746127790411
25,4,0.0,9.304795662927772
30,5,0.0,7.151669692870541
35,3,0.0,9.816554113509548
40,2,0.0,10.285062111786372
45,3,0.0,9.171131520740047
50,6,0.0,7.482204954134229
55,13,0.0,5.654452697158236
60,8,0.0,8.592541925382168
65,8,0.0,8.587092328311115
70,8,0.0,9.116357873387
75,5,0.0,8.915027110477888
80,8,0.0,8.748531748539971
85,14,0.0,7.174102041413096
90,16,0.0,6.395287349874491
95,21,0.0,5.7324063607583895
100,23,0.0,4.926940950557124
105,25,0.0,5.562603970188627
110,15,0.0,6.972370206213982
115,16,0.0,7.777522651831211
120,15,0.0,7.515650651552358
125,15,0.0,8.086472880954458
130,18,0.0,8.362519782100934
135,19,0.0,7.870639703892477
140,23,0.0,6.688375360210154
145,35,0.0,5.182911333347448
150,31,0.0,6.660155736770752
155,20,0.0,8.062949187448346
160,25,0.0,7.353083364760792
165,30,0.0,6.471205435229342
170,38,0.0,5.584277452685252
175,35,0.0,6.127184862753436
180,36,0.0,6.03123392156144
185,36,0.0,6.522998118678174
190,35,0.0,6.942494218724391
195,25,0.0,7.306750050519518
200,31,0.0,6.576713406330056
205,34,0.0,7.340353134043654
210,36,0.0,7.451880422616909
215,29,0.0,7.43324584822146
220,41,0.0,5.838450688664112
225,54,0.0,5.565635359608017
230,60,0.0,5.468240947629394
235,42,0.0,6.5619719963371095
240,40,0.0,6.778095886951376
245,52,0.0,6.690755597585364
250,61,0.0,5.816982479752876
255,62,0.0,5.634996105827238
260,68,0.0,5.032520302734458
265,60,0.0,5.979028150763595
270,56,0.0,5.824383232359164
275,54,0.0,6.580599461253957
280,63,0.0,6.035481265776582
285,55,0.0,6.614092366636687
290,62,0.0,6.33863665430677
295,57,0.0,6.779783443374488
300,68,0.0,6.249378265038117
305,78,0.0,5.55735043986992
310,85,0.0,4.654134054388732
315,93,0.0,4.501529766152194
320,97,0.0,4.597868915488371
325,97,0.0,4.675103390179029
330,94,0.0,4.935741715733486
335,77,0.0,5.782401826666018
340,93,0.0,4.967633785623299
345,100,0.0,5.197338705268434
350,95,0.0,5.070280651506493
355,94,0.0,5.286514661221842
360,98,0.0074349442379182,5.016985232107567
365,99,0.0483271375464684,4.897183663635594
370,87,0.104089219330855,5.338348549230435
375,100,0.1003717472118959,5.414049446212483
380,106,0.1784386617100371,5.13737374024084
385,121,0.1226765799256505,4.703502012736958
390,143,0.1078066914498141,3.7287736749393634
395,134,0.1189591078066914,3.7423576443814848
400,144,0.2230483271375464,3.719339450589874
405,140,0.3345724907063197,4.27007800642467
410,145,0.1784386617100371,4.107105357015481
415,129,0.2639405204460966,4.464043025859576
420,132,0.3085501858736059,3.9893031454154606
425,131,0.3159851301115242,4.412404783224179
430,138,0.3643122676579926,4.307134096404114
435,133,0.587360594795539,4.487162657144067
440,144,0.7657992565055762,4.551214229402428
445,174,0.9553903345724908,3.561395032231428
450,177,1.2342007434944238,3.49964084966992
455,192,1.4684014869888475,3.2088964401542137
460,188,1.0074349442379182,3.172064967044052
465,182,1.0408921933085502,3.759018472825029
470,163,0.7843866171003717,4.063679931643178
475,163,0.6505576208178439,3.944876891613721
480,153,0.8921933085501859,3.914652409075524
485,166,0.7955390334572491,3.80042089396864
490,177,0.8364312267657993,3.63104589894756
495,193,0.9219330855018588,3.593913723846884
500,194,1.3903345724907064,3.441742952233241
505,195,1.0446096654275092,3.527263061585878
510,185,1.2007434944237918,3.762287261240594
515,173,1.37546468401487,3.5395595776878386
520,172,1.9219330855018588,3.767434731533184
525,183,2.353159851301115,3.660249917914258
530,186,2.4646840148698885,3.697912738684215
535,185,2.5390334572490705,3.814392713209657
540,194,2.245353159851301,3.447223579520428
545,209,1.951672862453532,3.138845695599004
550,212,1.7026022304832713,3.069651310275181
555,206,1.5687732342007434,3.1944869369195845
560,221,1.6356877323420074,2.9150043005481607
565,208,1.8438661710037167,3.399167552566655
570,205,2.345724907063197,3.538917615935513
575,212,2.687732342007435,3.2829468618217623
580,211,3.20817843866171,3.3041774488158184
585,217,2.9851301115241635,3.135301464154207
590,217,3.20817843866171,3.092240083929424
595,244,3.7769516728624537,2.814487514256763
600,238,4.4646840148698885,2.972744114637754
605,253,3.903345724907063,2.833990774997029
610,236,4.594795539033457,2.8155533482692467
615,216,4.41635687732342,3.0836158404112632
620,212,4.739776951672862,3.525128165033796
625,236,4.598513011152416,3.2534372534274616
630,233,5.230483271375465,3.207037711497009
635,231,4.401486988847584,2.844550824201688
640,265,4.855018587360595,2.379846970028938
645,273,4.312267657992565,2.5027852675348994
650,279,4.758364312267658,2.5328350018134733
655,283,5.802973977695167,2.452675755184294
660,291,6.215613382899628,2.188524868874474
665,257,6.743494423791821,2.795912717585196
670,265,7.5390334572490705,2.4555282951770763
675,288,7.884758364312268,2.426351982287553
680,317,8.189591078066915,1.992923360662605
685,298,7.973977695167286,2.294338589035027
690,290,8.37918215613383,2.548608002363047
695,283,8.026022304832713,2.6358428138988748
700,292,8.79182156133829,2.3650863201679284
705,280,9.405204460966544,2.4059049651892828
710,300,9.907063197026025,2.237070123225008
715,329,9.394052044609666,1.9762981371374229
720,344,8.858736059479554,2.059053703115947
725,333,9.17100371747212,2.1864226195961134
730,322,9.702602230483272,2.2396692608018056
735,306,9.940520446096654,2.250667870496243
740,302,10.631970260223047,2.4916364944507654
745,311,11.00371747211896,2.4553317641144283
750,316,10.888475836431226,2.153317789090449
755,335,11.431226765799256,1.9854812059900333
760,350,11.817843866171003,1.896209115120624
765,351,11.327137546468402,1.8652400345580635
770,355,11.62081784386617,2.0437130589828705
775,364,12.144981412639403,1.9839341261061856
780,360,11.565055762081784,1.8322527207619488
785,373,12.356877323420074,1.5956512194522725
790,372,12.486988847583644,1.535744982287026
795,377,13.568773234200744,1.6097169592824327
800,367,14.308550185873608,1.5731472714285273
805,366,16.171003717472118,1.869194768459506
810,372,15.75092936802974,1.6852069797600844
815,370,16.360594795539033,2.015416684946224
820,358,16.814126394052046,2.082108530704387
825,380,17.278810408921935,1.948004576221036
830,387,16.7546468401487,1.757132687827628
835,393,18.04089219330855,1.3805973208965263
840,399,18.2007434944238,1.5441925482509895
845,385,18.50185873605948,1.6721044820501487
850,378,19.12639405204461,1.8942476746020391
855,390,20.04089219330855,1.7586750385600889
860,384,20.133828996282528,1.809758503733842
865,392,20.5910780669145,1.854515675320151
870,388,20.561338289962823,1.7955781422174364
875,398,20.03717472118959,1.9465998115069816
880,397,20.44237918215613,1.97859430237377
885,402,21.130111524163567,1.8682777717307029
890,436,20.84386617100372,1.427342282164734
895,448,20.297397769516728,1.486983082837565
900,454,21.50185873605948,1.5787974479248494
905,459,21.315985130111525,1.387414811951474
910,426,22.17100371747212,1.7744963676297676
915,430,22.11152416356877,1.828846743988002
920,414,21.44609665427509,1.967336606780013
925,414,22.37174721189591,2.024218724694875
930,422,22.550185873605948,1.9410706045950867
935,415,23.49814126394052,2.0118493354693894
940,425,23.91078066914498,1.9817417939530817
945,440,25.25278810408922,1.7744548951968186
950,414,25.401486988847584,2.1294355985296867
955,439,25.91449814126394,1.847262347119306
960,462,24.78438661710037,1.6526994843101457
965,465,24.49442379182156,1.7441629443120898
970,430,24.724907063197023,1.920694090684629
975,409,24.71747211895911,2.1944515889014227
980,414,24.97769516728625,2.1512500387948204
985,432,24.77323420074349,1.982254662296261
990,421,26.08921933085502,2.1816630403901898
995,409,26.312267657992564,2.276763104323976
1000,402,27.33085501858736,2.302334945654131
1005,426,27.67657992565056,2.3080110634482534
1010,429,28.431226765799256,2.134445871973534
1015,454,29.386617100371748,1.694904009416465
1020,459,31.193308550185872,1.811116216551459
1025,463,31.81412639405205,1.888251368072181
1030,464,32.9182156133829,2.057869624235769
1035,464,32.078066914498145,1.9048188614393984
1040,449,32.18959107806691,1.9941522882886449
1045,445,32.594795539033456,1.9273398054342867
1050,451,33.3457249070632,1.8496933807593297
1055,431,34.42007434944238,2.169105937278299
1060,455,34.82899628252788,2.034509319853726
1065,467,36.83271375464684,1.9067069762445013
1070,473,38.41263940520446,1.8248974467814187
1075,478,39.02973977695167,1.9107166107201068
1080,460,37.92936802973978,2.112515636981873
1085,455,38.28996282527881,1.9038296400791512
1090,451,38.04832713754647,1.9699208557705392
1095,494,38.319702602230485,1.619215544051118
1100,481,39.43494423791822,2.00790492895612
1105,510,39.795539033457246,1.719402071289073
1110,500,40.25278810408922,1.9468641130345168
1115,505,41.66542750929368,1.7916658144088733
1120,521,42.52788104089219,1.763257349340528
1125,537,43.0817843866171,1.6582397691184376
1130,537,43.34944237918216,1.7605964099113378
1135,521,44.45724907063197,1.616374707924996
1140,510,45.226765799256505,1.6795560037446289
1145,517,44.940520446096656,1.611761736858791
1150,481,45.09665427509294,1.938016626794038
1155,515,45.78810408921933,1.664741110956609
1160,524,46.278810408921935,1.6496768555243702
1165,523,45.825278810408925,1.6692574214863791
1170,547,45.33457249070632,1.5139064273048004
1175,577,45.301115241635685,1.3659468388922371
1180,555,45.5910780669145,1.5122185500762693
1185,549,46.80669144981413,1.4707046521327414
1190,552,47.52044609665428,1.5192999362815525
1195,537,47.814126394052046,1.8069518556231552
1200,556,48.99256505576208,1.838391921645516
1205,562,49.69888475836432,1.9517067472867025
1210,553,50.02602230483272,1.9609956226683
1215,532,49.46468401486989,1.9267015131504488
1220,555,49.07063197026022,1.735093603349105
1225,593,49.921933085501855,1.54408897949256
1230,590,50.72490706319702,1.6159897313320732
1235,566,50.67657992565056,1.8043611744230152
1240,588,51.35687732342007,1.6698835697000698
1245,566,51.80669144981413,1.7738853688375955
1250,556,51.82899628252788,1.951411612710586
1255,573,52.48327137546468,1.7102383762929771
1260,586,51.62825278810409,1.5644790587125583
1265,589,52.141263940520446,1.6346067995097324
1270,603,52.34944237918216,1.6141744268742864
1275,609,52.71003717472119,1.5907995929692094
1280,619,52.76951672862454,1.621152879314562
1285,589,51.05576208178439,1.779054228965292
1290,609,50.63568773234201,1.4560899920522754
1295,596,51.19330855018588,1.6054046122064347
