step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,correlation_obs,correlation_wait,diff_reward,total_stop_signal1,total_stop_signal2,total_stop_signal3,total_stop_signal4,total_wait_time_signal1,total_wait_time_signal2,total_wait_time_signal3,total_wait_time_signal4,total_energy_consumption_signal1,total_energy_consumption_signal2,total_energy_consumption_signal3,total_energy_consumption_signal4,avg_speed_signal1,avg_speed_signal2,avg_speed_signal3,avg_speed_signal4
15.0,0.0,0,0.0,0.0,15.333155936351604,0.988395134249239,1.0,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3177034055032024,16.96354177776635,15.44648094743188,0.375
20.0,0.0,2,0.0,0.0,16.29783445552421,0.9864815022975676,1.0,0.5,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7696809055123564,9.58708746391586,8.745579777495198,0.0
25.0,0.0,1,0.0,0.0,16.068131892543335,0.9921202813589822,1.0,0.75,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.82466288512078,0.0,11.500169922544108,0.0
30.0,0.0,1,0.0,0.0,16.338472883634424,0.9894849130597388,0.9999999999999998,0.25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.115523279586361,11.516130487731106,0.0,7.519381234223185
35.0,0.0,2,0.0,0.0,15.65396463798446,0.9810505767489436,1.0,0.5,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.381491824127137,16.04341932753172,16.326007736177516,1.893909649695252
40.0,0.0,3,0.0,0.0,14.617314578375876,0.9715415959568136,1.0,0.75,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5602561915314133,0.0,10.482884046625424,2.338908682052458
45.0,0.0,3,0.0,0.0,13.790324273986844,0.9683293096448122,1.0,0.75,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.089469985276163,17.794347978311567,4.05465484362408,0.9898163334456432
50.0,0.0,9,0.0,0.0,13.124099204084247,0.9636660016578296,1.0,1.0,0,0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.405292110145574,8.669122193135651,4.375676867026957,0.2794312889129571
55.0,0.0,15,0.0,0.0,12.210583314967815,0.9501578280472374,1.0,1.0,0,0,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.865928524329802,6.227571940316454,6.057802778583218,0.1837631066917728
60.0,0.0,17,0.39,0.04875,10.963160023329063,0.9445031280028816,1.0,0.8520408163265306,0,1,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.470201240142148,4.798721089764379,4.357182990906739,0.0143843136950702
65.0,0.0,21,0.0,0.0,9.654678000305884,0.9357387861727122,1.0,0.86,0,1,3,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.295429151563968,2.468442252405369,5.18435822011204,0.0015854517366954
70.0,0.0,23,0.0,0.0,9.026120490548264,0.9303139246447496,1.0,1.25,0,2,3,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.260525318367823,4.361267447808816,1.9830869082832003,0.0010165427896257
75.0,0.0,28,0.0,0.0,7.7783971486752925,0.9228576546930648,1.0,1.25,0,3,5,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.954165716399228,1.713379213825562,1.8834144346074688,1.1422386190338657e-05
80.0,0.0,31,0.01,0.00125,7.490842165194772,0.9175952422367548,1.0,1.25,1,4,6,14,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5605916800338444,2.6289635446662483,0.4440276099167301,0.6117831959417604
85.0,-0.005,31,0.0,0.0,7.027246738484919,0.9108599526684912,1.0,1.25,0,4,7,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.089758413651953,1.9288640083498672,2.3169794985318903,0.3497324744809907
90.0,0.005,36,0.0,0.0,6.17322376491466,0.9082598664455428,1.0,1.25,0,6,8,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.37068243089194,1.874771140329004,1.808249057612121,0.0
95.0,0.0,40,0.0,0.0,6.095128825879509,0.9039199429495643,1.0,1.25,0,8,8,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.294483886893635,1.1408015232487356,0.543338101649888,0.0
100.0,0.0,43,0.0,0.0,6.3221863389809245,0.8935361190690773,1.0,1.25,0,8,11,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.530231152488113,2.575067534006698,2.0239094710927925,0.0
105.0,0.0,47,0.0,0.0,6.002971237448082,0.8944242658759897,1.0,1.25,0,8,13,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.408276387343964,0.7757675872902705,1.878068100055393,0.0
110.0,0.0,48,0.0,0.0,5.993192850886678,0.8899728845493454,1.0,1.25,0,9,13,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7851707753502697,0.250284229897055,0.6116879264963331
115.0,0.0,52,0.83,0.10375,5.467156942206435,0.8870606490962836,0.8038268312635433,0.8983050847457628,0,9,14,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.556729548380774,1.6551284351193916,1.4690500609215875,0.106232395976199
120.0,0.0,57,0.0,0.0,4.765714174760195,0.873067114848151,1.0,0.8983050847457628,0,10,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4008474499018644,0.3639131210979775,1.3533721287138183,0.0
125.0,0.0,57,0.0,0.0,4.647243670429563,0.8755940260779422,1.0,1.25,0,10,15,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.268270874195522,2.1104252979315583,1.0730745497700207,0.0
130.0,0.0,62,0.0,0.0,4.080873175889313,0.8704006275945886,1.0,1.25,0,11,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.255307940507892,0.0989083889022517,1.397320899685339,0.0
135.0,0.0,64,0.0,0.0,3.6085573498927546,0.8637800757807963,1.0,1.25,0,11,16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.829853639780244,0.0848136331241775,0.0453420036390802,1.0123205624311653
140.0,0.0,68,0.0,0.0,3.655516571856333,0.8625543936060781,1.0,1.25,0,13,19,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.974876730867201,1.5949973161666229,1.14039218196729,0.0
145.0,0.0,69,1.14,0.1425,3.4863062480751483,0.8680712058892069,0.9938198256782892,0.7865853658536585,0,13,19,15,0.0,1.14,0.0,0.0,0.0,0.0,0.0,0.0,11.389839149137892,0.0442987837309076,0.8213600720663595,0.0
150.0,0.0,67,3.76,0.47,3.212259022827349,0.8729961211314856,0.9999924666882228,0.9658351409978309,0,8,19,15,0.0,3.76,0.0,0.0,0.0,0.0,0.0,0.0,7.572294180344093,0.252197133302521,1.0644891347883736,0.0
155.0,0.0,64,2.67,0.33375,3.524505759614869,0.867966204031919,0.9998140664764044,0.994131455399061,0,3,20,15,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,11.859475673612325,1.927195137815512,0.9358838230776044,0.0
