step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,correlation_obs,correlation_wait,diff_reward,total_stop_signal1,total_stop_signal2,total_stop_signal3,total_stop_signal4,total_wait_time_signal1,total_wait_time_signal2,total_wait_time_signal3,total_wait_time_signal4,total_energy_consumption_signal1,total_energy_consumption_signal2,total_energy_consumption_signal3,total_energy_consumption_signal4,avg_speed_signal1,avg_speed_signal2,avg_speed_signal3,avg_speed_signal4
15.0,0.0,0,0.01,0.00125,15.661571351270048,0.9914079391075544,1.0,0.25,0,0,0,0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,2.3395604797459453,16.79215994206926,13.195541227660993,0.375
20.0,0.0,3,0.05,0.00625,16.38297007712954,0.9882185974839762,1.0,0.5,1,0,0,1,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2.781834467205209,9.608294322947993,5.001469105413623,0.0
25.0,0.0,1,0.0,0.0,16.402845872685127,0.9909120134718332,1.0,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.888175853712596,0.0,8.888987717041484,0.0
30.0,0.0,1,0.0,0.0,15.823973032914331,0.991995447540957,0.9999999999999998,0.25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.122238991302538,11.770431946275997,8.545551718865182,4.818557304654754
35.0,0.0,0,0.0,0.0,15.303025913700344,0.987404849916017,1.0,0.25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.543211983125996,10.033672986640395,14.429044601184977,7.898504450945211
40.0,0.0,1,0.0,0.0,15.820625432463634,0.9821554527867552,1.0,0.25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.820444567780948,2.278610787231529,5.564398912544979,12.896311338159558
45.0,0.0,1,0.0,0.0,15.793073283909024,0.9860563698654428,1.0,0.5,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.358627559214481,17.166341302264495,10.840941710098566,0.9669168692899638
50.0,0.0,1,0.0,0.0,16.404191540122014,0.9821716155114056,1.0,0.5,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6181553202794285,12.807556625158092,8.680327599232635,8.442050667797885
55.0,0.0,3,0.03,0.00375,16.580833505489625,0.9777046601424724,1.0,0.75,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.726488168465636,3.389252414175369,9.092671978112444
60.0,0.0,4,0.1,0.0125,17.002829360126583,0.9792424060235492,1.0,0.6666666666666667,1,0,1,1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,8.197424829671373,11.404713710606304,7.000886401308804,9.73684231409167
65.0,0.0,4,0.03,0.00375,16.078131835778755,0.9678982083239625,1.0,0.75,1,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.13544829970706,11.327204660974946,6.5295392183681225,7.492329129151589
70.0,0.0,5,0.03,0.00375,14.533534418807598,0.9643102989423992,1.0,0.75,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0078147766391191,20.81125199438929,3.412961624947626,2.741470057562451
75.0,0.0,4,0.0,0.0,12.929974924825016,0.9729548968200424,1.0,0.75,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5729887920177017,7.012472163566144,5.220776382698835,1.9748711321281447
80.0,0.0,6,0.07,0.00875,12.284087947010162,0.9786416320944722,1.0,1.0,2,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.85120024137591,4.94977450860072,2.77939931952756
85.0,0.0,7,0.14,0.0175,11.821116035933514,0.9696113569914128,1.0,1.0,2,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.861882999873069,4.8174565502533895,3.072116972009316,2.8447164211002787
90.0,0.0,7,0.17,0.02125,11.82420476015338,0.9618699395489478,1.0,1.0,2,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.558203643646936,2.45696155814202,5.179331603386719,3.214042972126287
95.0,0.0,8,0.75,0.09375,11.909996403737722,0.9652338115688096,1.0,0.8125,2,1,4,0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5027435674029013,0.8094365787503701,1.6747232121434816,2.0815236830676658
100.0,-0.35,11,0.85,0.10625,12.054645799799705,0.962218323500006,1.0,1.25,0,2,4,1,0.69,0.0,0.0,0.01,0.0,0.0,0.0,0.0,2.869700999401331,4.256004151019055,4.542395177209423,1.118503707400528
105.0,0.005,9,0.21,0.02625,11.876073778413724,0.9681135757361832,1.0,1.0,0,0,4,0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,7.200113908085809,10.692721821357466,4.446064095044623,1.80057588212261
110.0,0.345,7,0.19,0.02375,12.484616141124247,0.9727069053930932,0.997256473628429,0.6547619047619048,0,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.218858996609638,12.80255839390767,1.3211520232252667,6.486739431612002
115.0,0.0,8,0.23,0.02875,11.988072315986074,0.9644479219943272,0.8549475768130166,0.0018181818181818,0,0,5,1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,10.412789959421293,6.999694242266849,2.172971428483908,1.8669375832872688
120.0,0.0,8,0.32,0.04,11.216027867641204,0.9620170378036036,0.9089967382897348,0.75,0,0,5,2,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,4.878914990176058,2.676569806122763,5.144777179169845,2.541163061751548
125.0,0.0,9,0.29,0.03625,11.148865666610048,0.9648670271682136,0.8363820669642082,0.3875668449197861,0,1,5,2,0.0,0.04,0.0,0.17,0.0,0.0,0.0,0.0,7.361222782257035,2.713296425153405,5.352450801116017,3.7119412959525215
130.0,0.0,14,0.6100000000000001,0.07625,11.712582419050957,0.9744019512249686,0.9888148216332696,0.4788359788359788,0,6,5,0,0.0,0.32,0.0,0.09,0.0,0.0,0.0,0.0,9.373354054571116,1.1448412979522116,4.837161015580286,5.040807780562651
135.0,0.0,9,3.08,0.385,11.689651034679953,0.9756964304644494,0.9603961412423832,-0.3004630870484532,1,1,5,0,0.0,0.17,2.62,0.01,0.0,0.0,0.0,0.0,0.0047307247555963,2.828498763187697,5.5265762643843725,5.531472233193259
