arch,path,avg_wait_time,total_stopped,avg_speed,method,pr,category
ppo,1.0,0.6782252440725245,1.838389121338912,6.789245620649532,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,0.5918340306834031,1.8190376569037656,6.856271372393385,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,0.5645519525801953,1.770397489539749,6.929994472275105,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,0.6651847977684798,1.7982914923291493,6.70216080844465,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,0.5855177824267782,1.670676429567643,6.717329395974625,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,0.6898291492329148,1.7377963737796374,6.733389840589418,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,0.5853591352859135,1.719839609483961,6.663184369222047,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,0.6836157601115761,1.6841004184100419,6.484210246447815,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,0.670118549511855,1.8054393305439331,6.747956478206498,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,0.7515864714086471,1.894700139470014,6.599110644129365,MAPO-PPO,100%,MAPO-PPO/100%
ppo,0.2,0.6580805439330544,2.3994072524407253,6.701157008864516,MAPO-PPO,20%,MAPO-PPO/20%
ppo,0.2,0.6131589958158996,2.239539748953975,7.049162348495206,MAPO-PPO,20%,MAPO-PPO/20%
ppo,0.2,0.7181380753138075,2.3155509065550905,6.831836479104551,MAPO-PPO,20%,MAPO-PPO/20%
ppo,0.2,0.6882444211994421,2.450662482566248,6.6650368210607365,MAPO-PPO,20%,MAPO-PPO/20%
ppo,0.2,0.6948587866108786,2.2984658298465828,6.830940774666796,MAPO-PPO,20%,MAPO-PPO/20%
ppo,0.2,0.6138807531380753,2.1942119944211993,7.155720559729517,MAPO-PPO,20%,MAPO-PPO/20%
ppo,0.2,0.83677649930265,2.5495118549511857,6.568291946725669,MAPO-PPO,20%,MAPO-PPO/20%
ppo,0.2,0.590713040446304,2.2418061366806135,7.089316830101197,MAPO-PPO,20%,MAPO-PPO/20%
ppo,0.2,0.702081589958159,2.2533124128312414,6.987776186100791,MAPO-PPO,20%,MAPO-PPO/20%
ppo,0.2,0.6355404463040446,2.2099023709902372,7.046216603599829,MAPO-PPO,20%,MAPO-PPO/20%
ppo,0.1,1.5643828451882844,3.8029986052998606,6.567844755664707,MAPO-PPO,10%,MAPO-PPO/10%
ppo,0.1,1.1119961645746164,3.300557880055788,6.4826817583948335,MAPO-PPO,10%,MAPO-PPO/10%
ppo,0.1,0.6825122036262204,2.7880055788005578,6.603903746408254,MAPO-PPO,10%,MAPO-PPO/10%
ppo,0.1,1.3708559972106,3.6542887029288704,6.606438389626825,MAPO-PPO,10%,MAPO-PPO/10%
ppo,0.1,0.6939156206415621,2.6954323570432357,6.947623677672919,MAPO-PPO,10%,MAPO-PPO/10%
ppo,0.1,0.775284170153417,2.8200836820083683,6.745124168284293,MAPO-PPO,10%,MAPO-PPO/10%
ppo,0.1,0.8041422594142259,2.8783124128312414,6.610456518263875,MAPO-PPO,10%,MAPO-PPO/10%
ppo,0.1,0.8289173640167364,2.912308228730823,6.737588234414096,MAPO-PPO,10%,MAPO-PPO/10%
ppo,0.1,0.820108089260809,2.948047419804742,6.737361238153236,MAPO-PPO,10%,MAPO-PPO/10%
ppo,0.1,0.8926307531380755,2.9295676429567643,6.556925139303823,MAPO-PPO,10%,MAPO-PPO/10%
ppo,0.05,89.26830892608089,24.00784518828452,1.8939080368477372,MAPO-PPO,5%,MAPO-PPO/5%
ppo,0.05,97.92582635983263,19.420676429567642,2.674475897461351,MAPO-PPO,5%,MAPO-PPO/5%
ppo,0.05,73.34035739191074,21.945432357043234,2.349375354744057,MAPO-PPO,5%,MAPO-PPO/5%
ppo,0.05,38.538779637377964,17.326534170153415,3.183592885274563,MAPO-PPO,5%,MAPO-PPO/5%
ppo,0.05,41.34378486750349,22.00244072524407,2.4936074074319046,MAPO-PPO,5%,MAPO-PPO/5%
ppo,0.05,71.19152719665271,22.921896792189678,1.7464800971652414,MAPO-PPO,5%,MAPO-PPO/5%
ppo,0.05,70.58345013947002,20.418061366806135,2.7909141781471742,MAPO-PPO,5%,MAPO-PPO/5%
ppo,0.05,125.93131276150629,25.541143654114364,1.1476654233051795,MAPO-PPO,5%,MAPO-PPO/5%
ppo,0.05,148.7903608786611,26.636506276150627,1.9020907523454473,MAPO-PPO,5%,MAPO-PPO/5%
ppo,0.05,39.56826534170153,19.521617852161786,2.5696042948658335,MAPO-PPO,5%,MAPO-PPO/5%
uniform,uniform,5.254198047419806,13.081938633193863,2.992539134693097,Fixed time,FO,Fixed time
uniform,uniform,5.58068340306834,13.946478382147838,2.9128888018942343,Fixed time,FO,Fixed time
uniform,uniform,5.288068340306834,13.608612273361228,2.9363182311989715,Fixed time,FO,Fixed time
uniform,uniform,5.253155509065551,13.026673640167363,2.9860285313121815,Fixed time,FO,Fixed time
uniform,uniform,5.791997907949791,13.980822873082287,2.8838054121638157,Fixed time,FO,Fixed time
uniform,uniform,5.789100418410042,13.940899581589958,2.9149682002339703,Fixed time,FO,Fixed time
uniform,uniform,4.8934658298465825,12.887377963737796,3.0086131054383323,Fixed time,FO,Fixed time
uniform,uniform,5.638702928870293,13.839435146443515,2.8943813892693435,Fixed time,FO,Fixed time
uniform,uniform,5.702637726638773,14.429741980474198,2.8832006763243148,Fixed time,FO,Fixed time
uniform,uniform,5.478755230125523,13.816248256624826,2.909139054091716,Fixed time,FO,Fixed time
maxpressure,maxpressure,3.44013249651325,6.433926080892608,3.188654072066883,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,2.639335774058577,5.900627615062762,3.4386057867763338,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,1.770108089260809,4.8260111576011155,3.57214363164405,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,3.4754480474198046,7.051255230125523,3.1278876153799633,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,4.106694560669456,7.780857740585774,3.090368895754879,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,1.3736087866108786,4.205020920502092,3.736410484166529,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,1.2983019525801953,3.99860529986053,3.7176237458763284,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,1.6262709205020922,4.247733612273361,3.684523222345078,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,2.28532949790795,5.793061366806136,3.38980554463728,MaxPressure,FO,MaxPressure
maxpressure,maxpressure,2.0022315202231518,4.945258019525802,3.515209795597087,MaxPressure,FO,MaxPressure
websters,websters,4.075983263598326,6.578974895397489,3.3040864395217944,Websters,FO,Websters
websters,websters,3.669260808926081,6.711994421199442,3.2041670518679646,Websters,FO,Websters
websters,websters,3.8031258716875866,6.291143654114365,3.399403033369324,Websters,FO,Websters
websters,websters,4.0161558577405865,7.458856345885635,3.1284218180257644,Websters,FO,Websters
websters,websters,3.8498134588563455,6.753486750348675,3.218633264673462,Websters,FO,Websters
websters,websters,3.8528591352859136,6.676952580195258,3.32636607244987,Websters,FO,Websters
websters,websters,3.6396025104602514,6.514295676429568,3.2570259299648807,Websters,FO,Websters
websters,websters,3.495819386331939,6.525976290097629,3.1850868987717815,Websters,FO,Websters
websters,websters,3.9149721059972102,6.457112970711297,3.2644712143979997,Websters,FO,Websters
websters,websters,4.059687935843794,6.799860529986053,3.371902077817817,Websters,FO,Websters
