arch,path,step_time,avg_wait_time,total_stopped,avg_speed,method,pr,category
ppo,1.0,15.0,0.0025,0.0,15.53866069355509,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,20.0,0.01375,0.25,16.037152058023896,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,25.0,0.0,0.0,16.091532709352503,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,30.0,0.0,0.0,15.668667561103842,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,35.0,0.00125,0.0,15.626188905140523,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,40.0,0.0025,0.125,15.84522843313045,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,45.0,0.0125,0.25,15.071938026745867,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,50.0,0.03375,0.5,15.855195771727317,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,55.0,0.03,0.25,15.95581753295396,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,60.0,0.0225,0.25,16.144430045594163,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,65.0,0.0325,0.25,15.614230354185482,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,70.0,0.04,0.25,15.091650898533596,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,75.0,0.045,0.25,14.057469387211915,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,80.0,0.065,0.375,14.136248445597204,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,85.0,0.09375,0.75,14.480522890051914,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,90.0,0.135,0.875,13.11518155862586,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,95.0,0.19,1.25,12.11686382113539,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,100.0,0.23875,1.25,11.914686984368496,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,105.0,0.29375,1.375,12.868620044567816,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,110.0,0.37,1.75,12.795544659321724,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,115.0,0.4749999999999999,2.25,11.823486517890853,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,120.0,0.4674999999999999,1.75,11.008901520620126,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,125.0,0.47125,1.375,11.464272548620327,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,130.0,0.3925,1.0,11.590175140706942,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,135.0,0.2925,0.875,12.331328985080807,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,140.0,0.26,0.375,12.965537110592292,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,145.0,0.29375,0.75,13.41992699946864,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,150.0,0.2975,1.125,13.046985894261482,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,155.0,0.3725,1.75,12.075025249197168,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,160.0,0.39125,1.5,10.898479247499338,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,165.0,0.4075,1.5,10.7057343897548,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,170.0,0.3249999999999999,1.375,11.41696012503418,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,175.0,0.275,1.125,12.16545022112211,MAPO-PPO,100%,MAPO-PPO/100%
ppo,1.0,180.0,0.26875,0.875,11.974471642509636,MAPO-PPO,100%,MAPO-PPO/100%
