step_time,total_stopped,avg_wait_time,avg_speed
15,0,0.00375,16.144234093896745
20,1,0.02,14.841821238751749
25,0,0.02,15.412962644663224
30,1,0.03875,14.212307279915912
35,1,0.05125,14.529328958267662
40,1,0.07625,13.689323479924733
45,1,0.04375,14.032700687874495
50,2,0.08625,13.448478902015536
55,2,0.12,12.981858739742934
60,4,0.1912499999999999,11.175953638547972
65,3,0.17375,11.50793805079318
70,5,0.25625,10.778235312296614
75,3,0.1775,10.644521042647687
80,3,0.25,9.92877411508234
85,5,0.31125,10.090364237830872
90,8,0.45375,9.457691481739698
95,7,0.50125,9.55093352791048
100,9,0.66875,8.881817187435551
105,6,0.62625,9.30742318051935
110,8,0.7412500000000001,8.333941405176033
115,9,0.73375,7.90474490886132
120,11,0.95,7.131280076289724
125,9,0.86875,7.550891313327547
130,14,1.1175000000000002,6.8624975415022655
135,14,1.23375,6.84282669673852
140,13,1.50625,6.377316125941635
145,8,1.17625,7.365599055029477
150,11,1.3375,7.448128642091218
155,10,1.18125,7.609480995607011
160,11,1.365,7.002375961854519
165,11,1.54,6.656803134607128
170,17,1.795,5.954281318557696
175,15,1.71625,6.227711531141231
180,16,1.985,5.972719124196968
185,9,1.4925000000000002,6.6819557098480855
190,9,1.5824999999999998,6.731609960426344
195,11,1.485,6.953529655165834
200,12,1.6575000000000002,6.315695807555446
205,15,1.74125,5.940729562636176
210,20,1.93125,5.1835048279434455
215,22,2.17875,5.024437962797527
220,23,2.4487499999999995,4.76138694659164
225,12,1.8125,5.615775577145001
230,11,1.8175,5.568975604114615
235,11,1.5775,5.689019564472298
240,16,1.775,5.147957255774639
245,20,1.89,5.104755236872177
250,26,2.185,5.0673750573549885
255,24,2.45875,4.833520210292414
260,26,2.74875,4.352295934916699
265,17,2.53875,4.898308240774039
270,19,2.79375,4.572230378492143
275,15,2.47875,4.93639512183772
280,15,2.61125,4.632471004186936
285,21,2.68375,4.382425514926039
290,28,3.0225000000000004,4.0007987253567565
295,30,3.25375,4.08450031340467
300,32,3.655,3.810819983298949
305,20,3.155,4.4804466678556185
310,17,3.1825,4.528007802058742
315,15,2.98125,4.660755499439216
320,21,3.07125,3.801124969324124
325,22,3.0825,4.027333441157183
330,27,3.3575000000000004,3.822904679026801
335,28,3.7475,3.8270191131024833
340,32,4.105,3.679772584927697
345,25,3.94875,3.9401977969565145
350,22,4.02,3.978959253706406
355,20,3.78375,4.009584131543028
360,23,3.76125,3.603188749390045
365,27,3.9525,3.487770025602494
370,31,4.17,3.3026755099339065
375,31,4.0525,3.46548644485888
380,33,4.465,3.390643190184735
385,27,3.76625,3.787926278194844
390,23,3.60625,3.779725519655987
395,20,3.2837499999999995,3.989579730805563
400,22,3.32625,3.5382233635276177
405,27,3.49125,3.200545708027103
410,34,3.6825,2.793113051754578
415,36,4.0475,2.8748927991796327
420,39,4.5287500000000005,2.7755418649557027
425,26,3.75875,3.3682224886668504
430,22,3.80875,3.569849513833651
435,22,3.5875,3.584313337627341
440,20,3.4975,3.362249287315549
445,26,3.66625,3.1754096274373302
450,34,3.6625,2.827330607518036
455,36,3.83125,2.892993167852884
460,39,4.0075,2.743505864075904
465,30,3.86,3.167775400046484
470,29,4.0175,3.035600624031747
475,26,3.49,3.1000323842948454
480,28,3.65125,2.943383259579963
485,32,3.75125,2.851887075546314
490,40,3.97625,2.596666901022717
495,43,4.3675,2.377476802429689
500,45,4.77625,2.1584970946672724
505,36,4.245,2.562778659915757
510,31,4.3975,2.570187212591589
515,29,4.22375,2.6493032172778466
520,31,4.305,2.680038560904668
525,31,4.20875,2.5724485818837706
530,38,4.45625,2.202362593669065
535,41,4.771249999999999,2.1876795112085645
540,44,4.98125,2.0467333441627504
545,37,4.42875,2.473030195240928
550,35,4.633749999999999,2.3579778529263447
555,31,4.275,2.5223271797816125
560,31,4.29375,2.41702586909402
565,35,4.46,2.353729321748512
570,42,4.5825,2.126283635269631
575,41,4.75375,2.2873828992703142
580,42,4.9125,2.2753037066349284
585,34,4.21125,2.587958837199221
590,31,4.1425,2.559739305793209
595,28,3.58375,2.595169854621467
600,31,3.56875,2.3239087938168503
605,35,3.57625,2.2815998106705067
610,41,3.70125,2.024468559977143
615,43,3.89,2.015116230352186
620,49,4.2575,1.7944447219885769
625,35,3.97375,2.242866278166938
630,31,3.97375,2.5691823865594543
635,28,3.845,2.7125354503381653
640,29,3.96875,2.6231193523327456
645,32,3.74625,2.5898039480142323
650,39,3.87875,2.4341950147460345
655,41,4.205,2.349311512036923
660,45,4.447500000000001,2.113099322675973
665,38,4.28125,2.356891721349758
670,37,4.5025,2.445204045642193
675,31,4.2225,2.6733234061930573
680,30,4.4475,2.502915790420091
685,32,4.37125,2.5942372529356112
690,37,4.4175,2.362619144976156
695,40,4.69625,2.5597549267938384
700,48,5.05625,2.365208995244912
705,41,4.605,2.597585771353108
710,36,4.265,2.720143174237181
715,33,3.78875,2.877009616803828
720,28,3.80375,3.2367564038088297
725,26,3.671250000000001,2.9858481400923265
730,29,3.575,3.081602853953893
735,31,3.6625,3.04914992164825
740,32,3.75625,2.8405948821444813
745,40,4.10875,2.815074574185615
750,36,3.3800000000000003,3.0185933710345894
755,33,3.2575,3.224194527308577
760,29,2.88,3.255474393050992
765,25,2.225,3.509177068524396
770,22,1.8975,3.434238609011382
775,25,1.93375,3.218840219633664
780,32,2.1175,3.020059931183188
785,35,2.14625,2.831569273908327
790,35,2.515,2.9928946475290883
795,37,2.8375,3.3034979581717825
800,35,2.6775,3.509481937076913
805,31,2.39125,3.820685838734615
810,33,2.085,4.078074048048632
815,26,1.93625,3.8887259022825593
820,28,2.025,3.583504967066883
825,33,2.18625,3.1328282438882926
830,41,2.385,2.7816061884578933
835,41,2.76625,2.561513284186681
840,42,3.38125,2.682562430484133
845,41,3.1925,3.045259808563147
850,38,2.80375,3.4646270906668484
855,34,2.785,3.856923554444871
860,29,2.59375,4.110831698913017
865,29,2.6075,3.845671894323245
870,32,2.865,3.457835287785324
875,37,2.84375,3.121706824133665
880,38,3.0737499999999995,2.880831035830452
885,38,3.7125,3.11265978631081
890,41,3.69,3.2387922882116613
895,36,3.4125,3.4328756476993925
900,33,3.315,3.6906721731572514
905,28,2.60875,3.972165359388574
910,27,2.4475,4.023846093306893
915,32,2.4550000000000005,3.385722559800805
920,36,2.74625,3.071170262253011
925,46,3.22875,2.8520137686363425
930,48,3.4262500000000005,2.789602893245732
935,49,3.5112500000000004,3.0081908682595784
940,47,3.6125,2.981419749745755
945,43,3.26125,3.202256768844637
950,39,3.035,3.313086499999192
955,32,2.74,3.6951629292941
960,33,2.9225,3.434259957941697
965,37,3.21875,3.100540096704264
970,40,3.335,2.8148137808927163
975,46,3.5387500000000003,2.6376615712281386
980,48,3.63125,2.659893025500581
985,44,3.49875,2.957259843408379
990,39,3.0075000000000003,3.150734325789027
995,33,3.15625,3.312359401855662
1000,32,2.53375,3.5478297285724665
1005,33,2.35375,3.680016111900332
1010,30,2.49875,3.5290167292069343
1015,35,3.115,3.0182830075066045
1020,41,3.45875,2.856841351034547
1025,45,3.625,2.845228322621087
1030,47,3.5375,2.987383431602685
1035,49,3.49,3.1500806973156275
1040,42,3.24625,3.313099621062712
1045,43,2.81875,3.388495127719796
1050,42,2.375,3.25608667347876
1055,41,2.56125,3.0860154024389934
1060,46,2.8825000000000003,2.922507786634544
1065,48,3.19375,2.519127935350033
1070,52,3.29125,2.311627681510468
1075,50,3.4325,2.4899048756908537
1080,48,3.39125,2.839245949386859
1085,47,3.21125,3.036435511611447
1090,41,3.06875,3.1601966856966675
1095,43,2.85625,3.15853882904644
1100,38,2.91625,3.244168348592484
1105,37,3.23125,3.252768779355491
1110,45,3.4825,2.931428092477488
1115,53,3.81,2.5204833511166336
1120,52,3.85875,2.3587792360358586
1125,52,3.61125,2.5941461609424508
1130,50,3.7375,2.8980429732275383
1135,43,3.40625,3.002630742419304
1140,42,3.26,3.110442747610825
1145,32,2.9525,3.389923091142557
1150,37,2.91625,3.372598874910817
1155,41,3.03125,3.07378696754632
1160,43,3.10375,2.636724845102866
1165,52,3.26375,2.274219195668856
1170,53,3.5162500000000003,2.2087757050965595
1175,47,3.2075,2.564327737310405
1180,49,3.38,2.816430932605608
1185,42,3.19625,2.938539645318171
1190,35,2.6025,3.242512414335453
1195,33,2.25125,3.5550905204851344
1200,36,2.23625,3.546176043897112
1205,43,2.39375,3.278993682744708
1210,47,2.4025,2.745150587056324
1215,52,2.68125,2.320311099377528
1220,53,2.65875,2.193239204642401
1225,57,2.88625,2.325331425678539
1230,56,2.671250000000001,2.4495418459502325
1235,44,2.5375,2.863815541401622
1240,41,2.515,3.112206781035177
1245,38,2.36875,3.4103049136994383
1250,46,2.60375,3.090020672880821
1255,48,2.79375,2.5569884674389844
1260,56,2.9425,2.3048749532796644
1265,58,2.9675,2.281441162249931
1270,60,3.10875,2.332455408652893
1275,60,3.14875,2.3279331312245044
1280,54,3.20125,2.551984843415476
1285,52,3.03875,2.586902229505576
1290,48,2.94375,2.8853091266495405
1295,45,3.2925,3.2500288281038183
1300,46,3.3912500000000003,2.844801312806362
1305,52,3.6475,2.4995492349984687
1310,59,3.86,2.3052034214998613
1315,59,3.69,2.221404501394447
1320,57,3.65,2.3908963197112585
1325,57,3.60875,2.433019253271503
1330,54,3.58,2.493015396981236
1335,56,3.73875,2.685497100163068
1340,53,3.69,2.8035195930744954
1345,51,3.93125,2.8422092954813016
1350,51,4.08875,2.603282798427077
1355,55,4.19875,2.3292056381192423
1360,59,4.085,2.2377232268978084
1365,57,4.04125,2.328273465933377
1370,57,4.07375,2.465037856974694
1375,55,3.82875,2.429749456456167
1380,50,3.79,2.5698964519033183
1385,53,3.4337500000000003,2.6501398552726543
1390,56,3.54125,2.7482158405339088
1395,60,3.92125,2.4840413913016155
1400,59,4.327500000000001,2.098624687331561
1405,62,4.46875,2.0036347395164813
1410,58,4.308750000000001,2.259822119332932
1415,55,4.1537500000000005,2.676648726683688
1420,54,4.2775,2.9386376439389057
1425,47,4.17,3.1341050592200865
1430,49,4.0875,3.433672288885137
1435,49,3.77625,3.4964349608566527
1440,47,3.7675,3.358403397430397
1445,46,3.88625,2.8949017662049124
1450,49,4.225,2.3778716285517567
1455,54,4.43,2.161498783939809
1460,50,4.4675,2.338727131045815
1465,47,4.26375,2.7367210694394126
1470,42,4.16625,3.057410618010836
1475,38,3.92125,3.350783723400123
1480,42,3.825,3.4766495288058485
1485,42,3.48125,3.593815527433557
1490,45,3.45875,3.622262795001297
1495,45,3.3125,3.522997457881133
1500,46,3.1725000000000003,2.933839770191641
1505,47,3.18625,2.569658941337137
1510,48,3.3475,2.6021659946688764
1515,55,3.59125,2.7180181484989405
1520,52,3.8975,2.68724270386882
1525,47,4.145,3.053301536509996
1530,51,4.295,3.206195456912891
1535,47,4.51,3.3841885838025547
1540,46,4.4775,3.5365847515860325
1545,50,4.4037500000000005,3.606488453004929
1550,54,4.375000000000001,3.625865075270872
1555,57,4.25625,3.194827912886944
1560,52,4.21125,2.9054108011082675
1565,50,4.1,2.785107078521735
1570,51,4.67875,2.769889414106779
1575,53,5.19125,2.8043690124867893
1580,53,5.31125,2.8557272093088115
1585,52,5.5912500000000005,2.921356818402112
1590,47,5.78,3.1115419899079293
1595,47,5.80625,3.2922509400095907
1600,50,5.465,3.3874461337362325
1605,50,5.053749999999999,3.4311129730176053
1610,50,4.8925,3.1396376548639298
1615,46,4.7275,2.9152508291985493
1620,45,4.75875,2.865161858200689
1625,43,4.66375,2.7583247303962573
1630,51,4.6525,2.736397847913937
1635,54,4.74375,2.6642322401322933
1640,54,4.81375,2.581508081950114
1645,58,4.8975,2.703338923299875
1650,54,4.963749999999999,2.849515201760215
1655,56,4.88875,2.9720051765105926
1660,49,4.512499999999999,3.1837380393757777
1665,42,4.001250000000001,3.3016964337118164
1670,43,3.8025,3.1884720697667968
1675,42,3.6175,3.0023939801449693
1680,45,3.50625,2.799458003808337
1685,53,3.58375,2.761360584292438
1690,53,3.3925,2.840865014460247
1695,56,3.29875,2.83156458862981
1700,58,3.57125,2.836147770326002
1705,60,3.72125,2.834952776169691
1710,58,3.86625,2.8043613362350706
1715,53,3.6775,3.2324498443179195
1720,52,3.59,3.3428570768100974
1725,46,3.4675,3.2717378052253654
1730,41,3.4925,3.2266280006792973
1735,46,3.6625,2.959507619822732
1740,55,3.98875,2.925713913119016
1745,59,4.19125,2.7313612040625914
1750,62,4.33375,2.5679522068876173
1755,69,4.501250000000001,2.394391207041477
1760,60,4.57375,2.579066292628448
1765,56,4.58125,2.801758267091806
1770,53,4.61125,3.0231372098064893
1775,47,4.311249999999999,3.314615956555518
1780,43,4.35,3.2343264071263267
1785,38,4.54125,3.086486741174112
1790,43,4.32375,2.9471071214108857
1795,46,4.0,2.886236775677512
1800,54,3.6325,2.685581796926874
1805,59,3.5875,2.5478335793318667
1810,57,3.52375,2.725963018083422
1815,54,3.36625,3.0240251793473765
1820,53,3.3375,3.040192762513765
1825,56,3.37125,3.2028684390040216
1830,54,3.39875,3.3092942439399886
1835,53,3.495,3.215932042495344
1840,46,3.67375,3.0386583443986046
