step_time,total_stopped,avg_wait_time,avg_speed
0,0,0.0,
1,0,0.0,16.799184564145758
2,0,0.0,16.529839263883265
3,0,0.0,16.158244647186255
4,0,0.0,16.41891250127374
5,0,0.0,16.07182018404973
6,0,0.0,15.896011029478471
7,0,0.0,16.218544221309376
8,0,0.0,15.924349609786145
9,0,0.0,15.048500841803708
10,0,0.0,15.984292660815886
11,0,0.0,16.121831619875206
12,1,0.00125,15.871798675655686
13,1,0.0025,16.207247842394338
14,1,0.00375,16.13408278392257
15,0,0.00375,16.14418040922412
16,2,0.00625,15.888800865660142
17,3,0.01,14.9941373185106
18,3,0.01375,15.035694809685605
19,2,0.01625,14.660518103581838
20,3,0.02,14.113059417993986
21,2,0.0125,14.407100245630467
22,2,0.015,14.845612143662944
23,2,0.0175,14.796892413884802
24,2,0.02,14.712447869576328
25,2,0.0225,14.804190283752375
26,2,0.025,14.782047942540888
27,2,0.027500000000000004,14.411683877231239
28,2,0.03,14.458795144582897
29,2,0.0325,14.217820978601598
30,4,0.037500000000000006,14.121414743647213
31,2,0.04,14.39455335805269
32,3,0.042499999999999996,14.202745747676648
33,2,0.045,13.979478039615527
34,3,0.04875,14.316458919871161
35,4,0.053750000000000006,14.450626528520495
36,3,0.0575,14.180506965336116
37,3,0.06125,14.15399895976644
38,3,0.065,13.956343708564772
39,4,0.07,13.708682197385862
40,4,0.075,14.012486212050053
41,4,0.02,13.9052151161198
42,3,0.02375,13.92488067447317
43,5,0.03,14.140529014495916
44,5,0.03625,14.026874814468291
45,4,0.04125,14.136119123705493
46,7,0.05,14.163099630621337
47,6,0.057499999999999996,13.91048309977617
48,8,0.0675,13.60621668182932
49,8,0.0775,13.507701850216796
50,10,0.09,13.329715486443277
51,7,0.085,13.170540209181512
52,6,0.09,13.099951842163723
53,7,0.09875,12.81745877723737
54,7,0.10750000000000001,12.533372593440976
55,9,0.11875,12.668678317485368
56,10,0.13125,12.381139180471795
57,11,0.145,11.94932728436127
58,11,0.15875,11.724502462007766
59,12,0.17375,11.587411088637133
60,11,0.1875,11.09964187213548
61,11,0.12625,11.299788734534348
62,12,0.14,11.104271746341311
63,8,0.15,11.013079743328428
64,9,0.16125,11.279792337353745
65,12,0.175,11.149036860000619
66,15,0.18,10.799251565028937
67,14,0.19624999999999998,10.90686087385887
68,15,0.21375,10.693232725221167
69,17,0.23375,10.61221961946239
70,19,0.255,10.477601432283167
71,13,0.15375,10.352868217384508
72,10,0.16125,10.250042992245442
73,9,0.17,10.389123154817636
74,8,0.1775,10.423935582821958
75,9,0.18625,10.284246842046722
76,9,0.20375000000000001,10.23261374065519
77,14,0.2,10.010663948475385
78,10,0.21125,9.79211684534026
79,15,0.22875,9.84407271501257
80,13,0.24375,9.547063626801172
81,14,0.23249999999999998,9.364328245096615
82,15,0.24874999999999997,9.361185370429451
83,16,0.26625,9.334146973490908
84,19,0.3,9.367194659030316
85,20,0.32375,9.232281459785412
86,22,0.35125,9.096578523302924
87,24,0.38,8.997458750487727
88,25,0.41125,9.152727999125297
89,26,0.4425,8.959966914747076
90,30,0.4775,8.738966657883484
91,25,0.38249999999999995,9.054720249347938
92,25,0.41000000000000003,9.066251914231302
93,25,0.43625,9.150160476405516
94,25,0.4625,9.26012074291724
95,25,0.46875,9.244088208979827
96,24,0.5037499999999999,9.055111957084753
97,26,0.5349999999999999,9.132645179951314
98,24,0.56375,9.093766211683295
99,27,0.6000000000000001,8.907591666943446
100,28,0.63375,9.01937424142036
101,21,0.5,9.022199493495068
102,18,0.5275000000000001,9.067153995509807
103,17,0.5475,9.38812484449083
104,17,0.5675,9.410568121650805
105,17,0.5725,9.41973218526483
106,17,0.5925,9.21067180026244
107,22,0.61875,8.997245213242948
108,21,0.64375,8.97815922951361
109,24,0.6725000000000001,9.081881182256426
110,24,0.7012499999999999,8.969863987454183
111,25,0.61625,8.860596523892367
112,21,0.6387499999999999,8.997761506478271
113,26,0.6637500000000001,8.815163229599424
114,24,0.68875,8.671166998798867
115,26,0.69625,8.684337799314308
116,27,0.72875,8.239558178003753
117,30,0.76125,8.189220884240195
118,30,0.8,8.092883006679148
119,32,0.8425,7.837074917907992
120,30,0.87625,7.625096333046969
121,24,0.6975,7.7089252194031825
122,23,0.72625,7.598412639277374
123,23,0.755,7.509563433327441
124,27,0.7887500000000001,7.6445225368530645
125,28,0.82375,7.641311466514075
126,30,0.8612500000000001,7.374907387981626
127,34,0.9025,7.399540651394746
128,31,0.9412500000000001,7.205668453863219
129,38,0.9874999999999999,6.930032751637102
130,37,1.0325,6.887828039938693
131,37,0.9775,6.783931574104931
132,37,1.0212500000000002,6.829580839742723
133,37,1.0625,6.9783396608559265
134,41,1.10625,6.870530639858322
135,45,1.1400000000000001,6.790019947949915
136,40,1.1825,6.913187400439741
137,44,1.23125,6.892043721859287
138,42,1.2850000000000001,6.473834759527115
139,46,1.35,6.331306318921549
140,44,1.40125,6.114680388273621
141,37,1.1199999999999999,6.26451226037881
142,30,1.1525,6.656416218776037
143,28,1.18375,6.818736843352083
144,26,1.2175,6.965027619221526
145,29,1.085,7.281695835504091
146,29,1.1175,7.406194697266875
147,32,1.05125,7.447452979395811
148,30,1.08375,7.473998397470221
149,35,1.1212499999999999,7.345597020558926
150,32,1.1524999999999999,7.408999668145606
151,31,1.05375,7.758298057052738
152,29,1.08,7.720903689591906
153,28,1.03125,7.728691806671194
154,27,1.05375,7.8896684525167915
155,32,1.0525,7.835573226691309
156,30,1.08875,7.751368292132922
157,32,1.0875,7.655266547074529
158,31,1.1275,7.602499777110322
159,37,1.16375,7.384884933531434
160,35,1.185,7.292610169668826
161,30,1.1825,7.159870047338261
162,31,1.22875,7.024487629247535
163,34,1.2675,6.917948175991002
164,36,1.3125,6.695256461047296
165,38,1.35375,6.769211576488162
166,39,1.395,6.638057069653813
167,47,1.44375,6.326186105519818
168,43,1.48875,6.152071140236748
169,54,1.545,6.089385039279879
170,58,1.6025,5.945839618178979
171,53,1.345,5.922352563006766
172,52,1.44,6.003688815253362
173,50,1.4925,5.981103547371841
174,52,1.54875,6.009545815879281
175,51,1.59125,6.232491964403562
176,48,1.6687500000000002,6.1288524107002935
177,51,1.7225000000000001,6.0633058261655055
178,46,1.74125,6.167409346472578
179,50,1.7925000000000002,6.071163462823932
180,46,1.8425000000000002,6.057979726240683
181,35,1.3912499999999999,6.257877543554702
182,29,1.4175,6.249265758255926
183,26,1.4625,6.439493981038723
184,26,1.47625,6.710315866660997
185,25,1.4387500000000002,6.959295916041827
186,25,1.4575,6.9369629968077575
187,30,1.48625,7.040616225952598
188,26,1.50625,6.994231794775853
189,31,1.5325,7.027540933043583
190,33,1.4925000000000002,6.983120252182643
191,31,1.38375,7.039064881283946
192,31,1.33375,7.062786425791167
193,30,1.3512499999999998,7.14378205249453
194,36,1.3875000000000002,7.118013178771908
195,38,1.3900000000000001,7.031685208205572
196,35,1.43125,6.947773583993151
197,40,1.44,6.779354349869085
198,38,1.4675,6.6331982430483984
199,45,1.505,6.497797285773767
200,42,1.5350000000000001,6.146475215078258
201,40,1.4812500000000002,6.05282549817151
202,45,1.52625,6.021743773526741
203,46,1.57625,5.825003129140376
204,49,1.6225,5.782114491921353
205,50,1.6662500000000002,5.699078956394959
206,56,1.6925,5.40115494545432
207,58,1.74375,5.322596656649384
208,60,1.77,5.256646684028569
209,59,1.8412499999999998,5.217102275476293
210,65,1.89375,5.0160638493125695
211,65,1.84875,5.166886289255256
212,67,1.8849999999999998,5.066449122581573
213,66,1.94,4.977112332096851
214,66,1.99875,4.984688999942427
215,65,1.9475,4.897597472604876
216,70,2.0275,4.8502748207585515
217,71,2.09,4.890170663127286
218,72,2.1574999999999998,4.862049536381561
219,73,2.2225,4.729011512426802
220,73,2.29125,4.750024552188038
221,55,1.7162499999999998,4.808050790529203
222,46,1.87375,4.919048962103718
223,36,1.8575000000000002,5.27775119665968
224,33,1.89375,5.534330516750275
225,35,1.84875,5.725217300965571
226,26,1.82,5.736151269267924
227,32,1.8387499999999999,5.773133384213882
228,21,1.84375,5.8080026079008
229,34,1.8425,5.847717783751301
230,24,1.84375,5.806209721614233
231,26,1.65125,5.820106119454865
232,24,1.63875,5.987723061529804
233,26,1.6475,6.018168684792962
234,30,1.665,5.87448156357777
235,35,1.67375,5.882078629947138
236,38,1.705,5.7687592898518885
237,45,1.71875,5.641241346163397
238,44,1.73375,5.689445078340815
239,49,1.65875,5.455095491562612
240,53,1.695,5.298604892790227
241,46,1.6512499999999999,5.489702623462984
242,49,1.71125,5.444663760094381
243,53,1.7537500000000001,5.409394220159906
244,56,1.8025000000000002,5.500009263357283
245,62,1.87625,5.406647633290826
246,66,1.9412500000000001,5.360507944861136
247,66,2.00125,5.487725979242517
248,72,2.065,5.420932746804805
249,75,2.13375,5.43314897175442
250,83,2.21125,5.422282443971262
251,76,2.1449999999999996,5.321921358200142
252,75,2.215,5.306347095998115
253,74,2.28625,5.368100355180015
254,73,2.3575,5.26086531159955
255,75,2.41375,5.119858571419892
256,74,2.395,5.01210438561191
257,79,2.47125,4.955227115550006
258,75,2.4825,4.714453247407102
259,81,2.5212499999999998,4.559643432432026
260,77,2.5725,4.439013613449657
261,70,2.17125,4.410095949622495
262,61,2.2225,4.602213090636654
263,56,2.3724999999999996,4.662238715792917
264,53,2.40125,4.728948463869281
265,56,2.215,4.94325016083541
266,53,2.255,4.849968913818331
267,63,2.3175,4.870218124872129
268,60,2.3625,4.810032830968263
269,67,2.40625,4.6000836863174195
270,63,2.4074999999999998,4.525364916620174
271,55,2.08,4.7209351873714835
272,50,2.11625,4.687952594940804
273,50,2.1174999999999997,4.820540239204844
274,45,2.125,4.911702668741388
275,49,2.1375,4.919213902156365
276,50,2.22625,4.800897388470886
277,57,2.2600000000000002,4.825958603576561
278,51,2.2800000000000002,4.762796571974386
279,55,2.3175,4.603906365491296
280,56,2.3575,4.533854686609673
281,56,2.3525,4.646987201893591
282,57,2.4912500000000004,4.719646543006797
283,59,2.5475000000000003,4.684588855837037
284,65,2.58125,4.660826506148879
285,68,2.62875,4.549631372393348
286,72,2.6837500000000003,4.6515024590482
287,78,2.725,4.620589535782952
288,81,2.8075,4.373798359031305
289,87,2.89375,4.336367024997474
290,92,2.98125,4.256146120916392
291,90,2.97,4.263477198267943
292,88,3.0762500000000004,4.308686466791508
293,90,3.1625000000000005,4.19609508824558
294,92,3.2525000000000004,4.172448945182383
295,94,3.30625,4.2425109652371065
296,92,3.41375,4.157065593789576
297,94,3.4762499999999994,4.076522266546453
298,93,3.57,4.129469973739629
299,98,3.625,4.014852416765816
300,95,3.71375,4.006853343246881
301,83,3.1887499999999998,4.1524333305275025
302,74,3.1950000000000003,4.157975646975382
303,64,3.17875,4.197332022083481
304,60,3.21875,4.3120132676099185
305,59,3.06625,4.473330872849508
306,52,3.0612500000000002,4.460663207527399
307,58,3.1412500000000003,4.556301005835721
308,54,3.16625,4.428681466661335
309,59,3.1475,4.3394497883691345
310,55,3.08125,4.4049030335246036
311,51,2.985,4.3854298796171225
312,49,2.9399999999999995,4.33785282946702
313,48,2.92125,4.411445448221212
314,48,2.92875,4.428401308414274
315,57,2.94625,4.429124386990911
316,55,3.0225000000000004,4.372446618916737
317,61,3.04875,4.194906957391404
318,58,3.07125,4.026353358002653
319,65,3.09875,3.898434486567641
320,67,3.12375,3.827272732749127
321,65,2.82875,3.673746076378371
322,63,2.82625,3.739531399856868
323,70,2.8574999999999995,3.77352016075283
324,73,2.905,3.7033951421384796
325,76,2.885,3.5833488129080027
326,81,2.9562500000000003,3.5113946117203083
327,88,2.9274999999999998,3.472330206060866
328,89,3.06,3.553132067996353
329,94,3.1149999999999998,3.5869359354097705
330,95,3.20125,3.487569268481057
331,94,3.2062500000000003,3.688026294670357
332,95,3.35375,3.6640222707668255
333,93,3.4724999999999997,3.63662561363749
334,97,3.54,3.6958862612750853
335,97,3.59125,3.652686227837591
336,100,3.665,3.595553744899035
337,103,3.7512500000000006,3.6233140513470685
338,97,3.8499999999999996,3.5544458351139196
339,101,3.9375,3.578715562371466
340,102,4.0225,3.580871817614785
341,88,3.5000000000000004,3.6674038719139617
342,78,3.5612500000000002,3.66899366276943
343,71,3.67,3.795577609527945
344,68,3.6937500000000005,3.9293475351889566
345,71,3.6950000000000003,4.022944805418154
346,68,3.73125,4.067691567041587
347,71,3.7725,4.118463241921698
348,62,3.80375,4.099403558716071
349,69,3.8425000000000002,4.115948336726455
350,65,3.83625,4.067100246859836
351,62,3.635,4.0582451723054564
352,62,3.64875,4.0908957647069135
353,58,3.66125,4.143101683032022
354,58,3.6362500000000004,4.099148549933255
355,61,3.60625,4.155947917505142
356,58,3.68875,4.106523311027325
357,69,3.6812500000000004,3.9554713234608
358,62,3.7137499999999997,4.001795732730363
359,71,3.74875,3.88591050838903
360,68,3.7737499999999997,3.71076087908439
361,69,3.7800000000000002,3.724475631493398
362,72,3.9,3.675696813082321
363,79,3.74375,3.674063940950054
364,83,3.8,3.6513846799484955
365,83,3.8499999999999996,3.576599938554087
366,87,3.83,3.4566902256886674
367,96,3.885,3.3566535300106697
368,97,3.90875,3.3583955230885554
369,100,3.9400000000000004,3.253560751962008
370,105,4.005,3.2164146836954424
371,101,3.8687500000000004,3.179111599366415
372,100,3.9749999999999996,3.258175687557635
373,99,4.072500000000001,3.4087316942566224
374,99,4.095,3.357423840372551
375,100,4.123749999999999,3.366652133871026
376,102,4.08375,3.346355947986218
377,101,4.157500000000001,3.353887365413758
378,103,4.2475,3.1406850670018676
379,105,4.364999999999999,3.136256991665153
380,104,4.4025,3.139579187202615
381,97,3.935,3.1480948480771596
382,88,4.04625,3.356201429946955
383,82,3.96875,3.4155724122029114
384,80,3.99125,3.4567082631744532
385,82,3.7925,3.5195105310713335
386,77,3.73125,3.4860461026295795
387,82,3.76875,3.5347998048843157
388,76,3.76875,3.558840984190336
389,83,3.7962499999999997,3.5571888732197694
390,73,3.7787500000000005,3.522159105840956
391,71,3.45,3.6167696930175004
392,69,3.43,3.64786363347854
393,67,3.40125,3.6850565972333147
394,66,3.4112500000000003,3.7618376737961303
395,71,3.375,3.7907807985640316
396,65,3.4899999999999998,3.6794875031536343
397,69,3.49625,3.7409380671796235
398,69,3.51,3.645474894268088
399,73,3.5300000000000002,3.4705862838639012
400,75,3.57125,3.4135232763779904
401,72,3.4,3.3678967679861165
402,73,3.4825000000000004,3.2506359116714
403,78,3.53375,3.2355066815196287
404,84,3.57625,3.163248365034484
405,85,3.545,3.035274120078586
406,88,3.59,3.0305112534858187
407,97,3.6525000000000003,2.9342837822091403
408,100,3.7175000000000002,2.795303226191409
409,103,3.6675000000000004,2.8164128008950495
410,111,3.7037500000000008,2.7142903369129363
411,107,3.6950000000000003,2.7192708689224756
412,111,3.8087500000000003,2.7370785483892726
413,112,4.015000000000001,2.7552426138215047
414,110,4.0975,2.7018148616535975
415,116,4.08,2.7231054993939017
416,119,4.26,2.712106851081225
417,124,4.2975,2.6688739302831395
418,123,4.36125,2.679738447670015
419,123,4.41375,2.6019059481240405
420,125,4.470000000000001,2.5817865446981565
421,106,3.77875,2.790008448286745
422,93,3.8925,2.9243566047081107
423,85,3.9525,3.0513624898653307
424,81,4.00125,3.203416061862346
425,80,3.99125,3.311300285106193
426,77,4.0525,3.3329031567820793
427,82,4.085,3.410975023174357
428,75,4.1075,3.402750437509423
429,78,4.128749999999999,3.3447729994198094
430,64,3.85125,3.459936963138654
431,68,3.6550000000000002,3.4391236250410073
432,60,3.62,3.3926960033350446
433,57,3.59375,3.3827894323948504
434,65,3.5625,3.3557058192646245
435,67,3.5625,3.2914477236392763
436,65,3.7625,3.285476387892489
437,76,3.72375,3.228498094989311
438,70,3.575,3.163108841254838
439,72,3.65125,3.1182851680629384
440,78,3.6162500000000004,2.9548070406178275
441,80,3.5812500000000003,2.9311365028058414
442,81,3.58625,2.9381639313814634
443,84,3.47375,2.9291741877713955
444,92,3.52375,2.864129468528167
445,95,3.5625,2.762136866922258
446,94,3.585,2.738310608172352
447,104,3.6437500000000003,2.6749385136062127
448,105,3.67875,2.588442678057739
449,116,3.50375,2.48546679712378
450,119,3.54625,2.4455988167968457
451,116,3.50875,2.5459002230655248
452,112,3.6237500000000002,2.5279461767241878
453,112,3.75,2.525080060231492
454,115,3.8275,2.5979952977798813
455,116,3.84,2.6436619448202796
456,118,3.84,2.5784855865607335
457,127,3.89625,2.5775910448797723
458,125,3.98625,2.5313473941608606
459,131,4.04375,2.525456138637555
460,128,4.1225,2.5596526391510865
461,121,3.57125,2.6005028821624188
462,112,3.7,2.6495773486136263
463,106,3.7399999999999998,2.8321982589646177
464,101,3.7762499999999997,2.923074402631508
465,102,3.81875,2.9844214886220324
466,98,3.8500000000000005,2.936715177436509
467,101,3.8850000000000002,2.825393470156366
468,96,3.89125,2.738867284203344
469,104,3.9000000000000004,2.745541374022504
470,102,3.8900000000000006,2.680594407117797
471,98,3.4775,2.7428570008440247
472,86,3.4375,2.771811617547553
473,81,3.40125,2.7887131642775964
474,83,3.38875,2.8248274180938258
475,87,3.28875,2.8138668153412323
476,84,3.50125,2.7224551303019564
477,92,3.505,2.734711991450818
478,83,3.52625,2.7472296787231407
479,92,3.54375,2.682194509405272
480,91,3.5575,2.6554605577315016
481,89,3.65875,2.79839293644447
482,87,3.6775,2.82749395105312
483,88,3.6675,2.719933200763916
484,95,3.5774999999999997,2.7707863908778982
485,96,3.6025,2.785992764314121
486,99,3.6325000000000003,2.6879703663380132
487,107,3.6675,2.7482597917602636
488,105,3.7225,2.7073826058783914
489,114,3.7262500000000003,2.6438490742124996
490,116,3.7612500000000004,2.593660927356876
491,119,3.7175000000000002,2.606013435545811
492,119,3.8112500000000002,2.579065012528011
493,124,4.001250000000001,2.5855946274570303
494,129,4.08625,2.5135811028483044
495,137,4.175,2.482241310032533
496,139,4.24875,2.49485745394724
497,143,4.364999999999999,2.348138225907427
498,144,4.46125,2.2762708416171296
499,146,4.5649999999999995,2.209029525273449
500,150,4.661250000000001,2.1337354036933034
501,139,4.1987499999999995,2.1388431198325577
502,127,4.26875,2.1815751373567713
503,118,4.32125,2.25734829844438
504,114,4.3637500000000005,2.442919199865651
505,116,4.23875,2.4463192428407483
506,112,4.29125,2.426720572815237
507,110,4.328749999999999,2.423809883238718
508,108,4.3575,2.386026295695638
509,111,4.35625,2.325640838981292
510,110,4.33,2.3021944863266213
511,104,4.075,2.4147314069049926
512,97,4.16375,2.4185087885220415
513,92,4.1225000000000005,2.4262321235048763
514,96,4.108750000000001,2.461739444289679
515,103,4.0975,2.4721646508473096
516,101,4.25125,2.393189832329962
517,108,4.2675,2.398432095238519
518,99,4.31125,2.4304594682451772
519,106,4.3175,2.40374976567782
520,106,4.34125,2.422831596020455
521,97,4.1475,2.36068957255598
522,94,4.3062499999999995,2.272746577648975
523,93,4.28625,2.3146688989389763
524,97,4.38,2.305913196417296
525,98,4.22,2.3615892059773933
526,101,4.255,2.3607595440203215
527,112,4.305,2.364066092679448
528,110,4.2524999999999995,2.2456098562699816
529,116,4.24625,2.2732726727270616
530,123,4.3175,2.253905770885401
531,124,4.31625,2.264562187038588
532,125,4.4475,2.2847513364345238
533,126,4.6,2.277661726760735
534,127,4.675000000000001,2.306484702516532
535,132,4.705,2.321310951242298
536,132,4.678749999999999,2.3156991605214707
537,133,4.741249999999999,2.363889379235492
538,133,4.87875,2.35872791539926
539,133,4.9312499999999995,2.337613232578532
540,138,5.01125,2.2687345562062897
541,121,4.58375,2.371123582539539
542,115,4.615,2.4208606803472033
543,111,4.6625,2.472190719886391
544,109,4.7225,2.5261618098570175
545,111,4.57875,2.688199587117581
546,106,4.5737499999999995,2.6327328894945072
547,113,4.62,2.628217073626914
548,108,4.6525,2.632814217421207
549,119,4.692500000000001,2.6289528252728696
550,112,4.66125,2.62219770019962
551,111,4.41375,2.65501471499522
552,102,4.47125,2.656382125185546
553,101,4.4825,2.7091916366612687
554,99,4.453749999999999,2.7207692641460444
555,101,4.3149999999999995,2.6855297530979607
556,98,4.4725,2.6779375655104065
557,98,4.4712499999999995,2.6932375350524174
558,89,4.50375,2.726030494499073
559,94,4.492500000000001,2.6157689105607944
560,93,4.4975,2.5389134680117813
561,94,4.41625,2.4295195117450388
562,98,4.449999999999999,2.466123956324836
563,100,4.54,2.449038880530325
564,105,4.54125,2.4122856485229356
565,108,4.5337499999999995,2.310538452575442
566,115,4.578749999999999,2.2570843743540516
567,124,4.63375,2.185662234619481
568,129,4.6762500000000005,2.1371006485048025
569,134,4.7125,2.0573136985731395
570,137,4.74625,2.059104296876422
571,131,4.52375,2.110812879479292
572,129,4.5025,2.170357498405003
573,131,4.61625,2.158767012348786
574,133,4.67875,2.145348872392872
575,131,4.6875,2.1822974685048933
576,131,4.7825,2.174332248804977
577,132,4.77625,2.1843231348825265
578,129,4.8862499999999995,2.2352544625964392
579,133,4.93,2.229074895778067
580,133,4.9925,2.2111975256432235
581,122,4.6725,2.236266487377988
582,113,4.69125,2.2915500966060507
583,106,4.615,2.3697413938401803
584,109,4.65,2.445975320601462
585,112,4.4425,2.541855553340922
586,105,4.49375,2.672000140987405
587,113,4.40625,2.7352004366905303
588,104,4.425000000000001,2.7054743926358054
589,111,4.45,2.7246803482907738
590,107,4.41125,2.732080042736336
591,105,4.28625,2.8024982139596477
592,97,4.335,2.809168126091927
593,94,4.3175,2.8673420311206748
594,94,4.265,2.8053726879208702
595,96,4.3075,2.8866355126223677
596,91,4.342499999999999,2.844814361999724
597,96,4.3975,2.8042628450385467
598,91,4.425,2.7697563035858033
599,101,4.38125,2.7351230678236425
600,93,4.328749999999999,2.672767773886535
601,91,4.09,2.6728762853977246
602,93,4.14,2.5074629548167753
603,96,4.1587499999999995,2.5307802117412908
604,98,4.09125,2.401603048234523
605,103,4.08875,2.3687158800689527
606,108,4.155,2.314952705201219
607,114,4.1175,2.274252046038862
608,116,4.15,2.2379137676563743
609,119,4.105,2.1725942160743617
610,126,4.15625,2.072670794392808
611,123,4.065,2.094324422024943
612,124,4.1275,2.086112990374337
613,129,4.26625,2.1413077322599596
614,132,4.282500000000001,2.1028237772603804
615,133,4.2975,2.1314590787440935
616,135,4.39625,2.061719027318514
617,138,4.46375,2.032812914640218
618,142,4.5525,1.9914356770577173
619,146,4.5825000000000005,1.9868086926934074
620,149,4.659999999999999,1.9653660477272352
621,135,4.20875,1.9945071143669897
622,126,4.28125,2.0529228804120487
623,113,4.2787500000000005,2.1469029583305015
624,112,4.2612499999999995,2.2216247882849003
625,112,4.20625,2.300079453524113
626,102,4.32,2.249668131879901
627,110,4.355,2.2525289627064575
628,99,4.3525,2.2777496566897044
629,111,4.35375,2.2594113924952817
630,99,4.33875,2.261424430717918
631,103,4.18875,2.330665575748382
632,86,4.1475,2.356291827845311
633,83,4.20125,2.425410481651342
634,90,4.1925,2.47942937215771
635,82,4.1025,2.453565131063559
636,88,4.266249999999999,2.5251824371487923
637,94,4.29875,2.558700810508288
638,97,4.3575,2.5568330333625493
639,103,4.33375,2.5043800377258565
640,111,4.208749999999999,2.467441315765158
641,107,3.8749999999999996,2.5137925222625137
642,96,3.8774999999999995,2.4972234108603892
643,100,3.71375,2.51839274298103
644,103,3.7675,2.526436743163189
645,110,3.7175000000000002,2.473678844097287
646,114,3.7375,2.3879657639619256
647,121,3.76125,2.3657793146169723
648,119,3.7575,2.312308749529373
649,130,3.785,2.2508560130238107
650,132,3.8125,2.166497124480309
651,133,3.65375,2.1452332747976603
652,131,3.78625,2.181105762013315
653,136,3.8625,2.172683895346318
654,139,3.9175000000000004,2.162543054225446
655,142,3.9325,2.1287289653410144
656,149,3.96375,2.0705888786463524
657,153,3.9625000000000004,2.0332162065815713
658,148,4.03625,2.0067795979923884
659,155,4.06625,1.9540016128075255
660,158,4.1375,1.9730798775142573
661,146,3.7225,2.0564151562925628
662,134,3.85375,2.077125168847405
663,128,3.9375,2.1334820634249425
664,127,3.87875,2.197362988249799
