step_time,total_stopped,avg_wait_time,avg_speed
0,0,0.0,
1,10,0.0,0.0
2,0,0.0,4.708738696645014
3,0,0.0,7.992502577835694
4,0,0.0,11.645023046046884
5,0,0.0,12.384065508091291
6,1,0.0004,10.831133517502906
7,1,0.0008,10.302855828015687
8,1,0.0012,11.972381965036764
9,1,0.0016,12.075630457688018
10,1,0.002,9.843231796883677
11,1,0.0024,9.099192301016052
12,2,0.0032,8.237418965043005
13,4,0.0048,7.648862423508485
14,4,0.0064,8.337777502689008
15,4,0.008,8.005887834895402
16,4,0.0096,7.606564225312662
17,4,0.0111999999999999,7.805233569628823
18,4,0.0128,6.277844616398449
19,9,0.0144,3.783255061216454
20,4,0.016,4.175582761307477
21,3,0.008,5.572458232605026
22,3,0.0092,7.94353572144777
23,3,0.0104,9.19144191560675
24,3,0.0116,8.845482858191133
25,4,0.0132,8.403525269736033
26,4,0.0148,8.659130924001234
27,5,0.0168,8.600810091747643
28,5,0.0188,7.720068172973586
29,5,0.0208,6.94637094399961
30,5,0.0228,7.110043295873505
31,7,0.0256,6.947712802410893
32,7,0.0283999999999999,6.542755236818634
33,7,0.0312,6.714060422749068
34,7,0.034,6.838864998149687
35,7,0.0368,6.757919973692661
36,7,0.0395999999999999,6.240200106119067
37,17,0.0424,3.312995571432993
38,7,0.0452,4.408809300898796
39,8,0.0484,5.444503847093227
40,9,0.052,6.78017719352506
41,4,0.0108,8.423465570233887
42,0,0.0108,8.98493603374284
43,0,0.0108,8.679088561478947
44,0,0.0008,9.50746657959232
45,0,0.0008,10.023520302349308
46,2,0.0016,9.377111021977957
47,5,0.0036,8.818386246973459
48,5,0.0056,8.480719094893619
49,7,0.0084,7.639526109254072
50,8,0.0116,7.123587585703919
51,9,0.0124,6.662922609118185
52,9,0.016,6.275564554743069
53,11,0.0204,6.318220509568056
54,11,0.0248,6.366233262517459
55,16,0.0292,4.96735714257519
56,12,0.034,5.580336708487152
57,13,0.0392,5.880995914456114
58,13,0.0443999999999999,5.494902234236907
59,14,0.05,5.650999382511126
60,15,0.0559999999999999,5.45386283407299
61,6,0.0264,6.919702722881123
62,6,0.0288,8.143199234455915
63,6,0.0312,9.106550396132366
64,6,0.0336,9.60768448027179
65,6,0.036,8.250408629590535
66,8,0.0392,7.639070318035593
67,8,0.0424,7.461607166042826
68,9,0.046,6.807245314628653
69,9,0.0496,6.784959738090709
70,12,0.0544,6.096086064821429
71,13,0.0596,5.630445607950444
72,15,0.0655999999999999,5.134994634628315
73,25,0.0716,3.972076079991632
74,16,0.078,4.889765516157796
75,17,0.0848,5.866916555211207
76,17,0.0916,6.351746161410323
77,17,0.0984,6.49927126903866
78,17,0.1052,6.116516468118175
79,19,0.1128,5.751170953717103
80,20,0.1208,5.456747001250475
81,12,0.0424,6.515014354480064
82,4,0.044,7.764075727386467
83,4,0.0224,8.413502591353842
84,4,0.0236,8.916459549523093
85,4,0.0252,8.952888335848737
86,7,0.028,8.881306199644623
87,9,0.0316,8.359009120698737
88,10,0.0356,8.305500294862167
89,12,0.0404,7.284126312813254
90,13,0.0455999999999999,6.602533015974053
91,21,0.0408,5.652847757856912
92,17,0.0476,5.929688542689376
93,18,0.0544,5.95745211179479
94,18,0.0616,6.224285291326223
95,20,0.0696,6.104104163430932
96,21,0.078,6.147613725449113
97,23,0.0872,6.270241812757514
98,23,0.0964,6.252492854110804
99,23,0.1056,6.233609058734455
100,23,0.1148,5.8609360485567255
101,11,0.054,6.611928585068022
102,12,0.0588,7.334299762134021
103,12,0.0523999999999999,7.977636832243185
104,13,0.0576,7.956053016998371
105,14,0.0632,7.268153697949315
106,17,0.0696,6.868400001013414
107,17,0.076,6.3428748335163085
108,17,0.0824,5.596787511199813
109,28,0.0892,4.231541047562728
110,23,0.0979999999999999,4.765537610416409
111,21,0.0703999999999999,5.728992910272732
112,22,0.0784,6.517288795709968
113,23,0.086,6.42762835573774
114,23,0.0936,6.616004791712174
115,24,0.1016,6.497113410680528
116,26,0.1104,6.370863913381596
117,27,0.1196,6.089340719294083
118,27,0.1288,6.037497876161225
119,28,0.1384,5.9670868652244975
120,28,0.148,5.959186320467135
121,19,0.0751999999999999,6.63895956495539
122,10,0.0784,7.034349954945619
123,8,0.0664,7.342474655163514
124,11,0.0364,7.907207749602973
125,12,0.0395999999999999,8.20995591847266
126,14,0.0435999999999999,7.63011357116403
127,23,0.0488,6.534271473427028
128,20,0.0548,6.520985194261206
129,22,0.0616,6.20711891139817
130,23,0.0688,6.134628950683038
131,21,0.0412,6.44009170071711
132,21,0.0472,6.50794057749539
133,22,0.0524,6.148221866683499
134,22,0.0579999999999999,6.231782625729448
135,26,0.0656,6.170534191813317
136,27,0.0736,6.2819376572144
137,28,0.082,5.832968899992754
138,28,0.0904,5.5371129429114125
139,32,0.1,5.378002314443089
140,33,0.1096,5.125263398950695
141,17,0.0208,5.984343639783707
142,15,0.0268,7.2228316318042625
143,14,0.0392,8.307215988092182
144,14,0.0363999999999999,8.507547684086985
145,25,0.0352,6.990341431857866
146,16,0.0408,7.432575264609952
147,16,0.0452,7.406414399133286
148,19,0.0508,7.088238886581083
149,23,0.0571999999999999,6.818588201491971
150,27,0.0648,6.647415910010736
151,29,0.0664,6.354977918414021
152,31,0.0751999999999999,6.235897535581848
153,33,0.0839999999999999,6.090252376043999
154,34,0.0932,5.892006941208909
155,35,0.1028,5.7642860998722165
156,37,0.1128,5.371547214256483
157,38,0.1228,5.174316757669599
158,39,0.1331999999999999,4.949542028204255
159,41,0.144,4.7153928801251705
160,41,0.1543999999999999,4.743268474336641
161,24,0.0572,5.497922072188017
162,14,0.0612,6.493338420493341
163,16,0.0292,7.124809188313495
164,12,0.016,7.95193295662201
165,14,0.0187999999999999,7.985729733859186
166,20,0.0235999999999999,7.42450537632503
167,23,0.0296,6.873848703841201
168,28,0.0372,6.50081369053874
169,31,0.046,6.268456834280239
170,32,0.054,6.209850495614001
171,32,0.0424,6.1430537679953
172,31,0.0492,6.296138229913819
173,32,0.0552,6.107945543081779
174,32,0.0564,6.099658523504438
175,34,0.0632,6.062285652092941
176,36,0.0708,6.096130740620136
177,37,0.0788,6.202908946802765
178,37,0.0868,6.152168559378438
179,37,0.094,6.145188071959773
180,38,0.1012,5.854372879812289
181,28,0.0168,5.93091068979051
182,13,0.0208,7.118358195049588
183,13,0.0096,8.419701099302161
184,13,0.0048,8.937408312968323
185,14,0.0039999999999999,9.049667818709702
186,15,0.0075999999999999,8.710892323980849
187,17,0.0111999999999999,7.657996443653242
188,22,0.0163999999999999,7.04097497794275
189,26,0.0224,6.350474027528411
