step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,e3_stopped,e3_accumulated_waiting_time,e3_average_speed,e4_stopped,e4_accumulated_waiting_time,e4_average_speed,e7_stopped,e7_accumulated_waiting_time,e7_average_speed,e8_stopped,e8_accumulated_waiting_time,e8_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0,0.0,0.0,12.210124664136279,0,0.0,0.9393643561294934,0,0.0,0.9523040990335546,0,0.0,0.9340345262898486,0,0.0,0.9364709774697817,0,0.0
10.0,0.0,0,0.0,0.0,12.60889161287293,0,0.0,0.9713717388198967,0,0.0,0.945968520025748,0,0.0,0.9701485123430514,0,0.0,0.970881143082086,0,0.0
15.0,0.0,0,0.0,0.0,12.340512404528274,0,0.0,0.9435615575733219,0,0.0,0.9301504289119696,0,0.0,0.9574979784831469,0,0.0,0.9426234867995141,0,0.0
20.0,0.0,0,0.0,0.0,12.901820704040585,0,0.0,0.9808409379157794,0,0.0,0.9580761627652153,0,0.0,0.9786934343067392,0,0.0,0.9803089404908413,0,0.0
25.0,0.0,0,0.0,0.0,11.812197005852418,0,0.0,0.8418703599396586,0,0.0,0.799384614559356,0,0.0,0.9343148314667395,0,0.0,0.928328927367277,0,0.0
30.0,-0.030000000000000002,4,0.12000000000000001,0.030000000000000002,10.787054591981763,1,3.0,0.820914654047001,1,4.0,0.8246758229104244,1,2.0,0.8001300664013058,1,3.0,0.8196696006000009,4,12.0
35.0,-0.06,7,0.36,0.09,9.335001844207678,2,9.0,0.6796231055646241,1,9.0,0.7847934984494261,2,8.0,0.6845066484789603,2,10.0,0.683265818504901,7,36.0
40.0,-0.095,8,0.74,0.185,8.725056533342858,2,19.0,0.720282369099841,2,17.0,0.6273061745577615,2,18.0,0.6333437296748253,2,20.0,0.6370573895676025,8,74.0
45.0,-0.14500000000000002,14,1.32,0.33,7.269491284381763,3,31.0,0.5450193248705979,4,33.0,0.5776403261932719,4,34.0,0.5542213824721798,3,34.0,0.5574862686419615,14,132.0
50.0,0.26,4,0.27999999999999997,0.06999999999999999,9.319417917996457,1,5.0,0.7940079536436287,1,6.0,0.6857088981405944,1,13.0,0.7065016527389569,1,4.0,0.7853171476738607,4,28.0
55.0,-0.06249999999999999,7,0.53,0.1325,10.439669022791458,2,12.0,0.7784565728746262,2,16.0,0.7856692893387861,2,15.0,0.7747685129343065,1,10.0,0.7869817349863436,7,53.0
60.0,-0.1,8,0.9299999999999999,0.23249999999999998,9.913337494976606,2,22.0,0.7330408387697186,2,26.0,0.7385869986605518,2,25.0,0.7358526706022551,2,20.0,0.7235033102083851,8,93.0
65.0,-0.1325,12,1.4600000000000002,0.36500000000000005,9.5780119768327,3,36.0,0.7217108368148034,3,40.0,0.7369694866807378,3,38.0,0.7023250855347665,3,32.0,0.7190407387140271,12,146.0
70.0,-0.12250000000000001,10,1.95,0.4875,9.8533283415162,3,51.0,0.7361944739038683,3,55.0,0.7327768342932875,2,46.0,0.7130048566094985,2,43.0,0.7597873972723256,10,195.0
75.0,-0.145,13,2.53,0.6325,9.032588081687827,3,66.0,0.67124585449756,3,70.0,0.6430107681907118,4,61.0,0.6044606829114548,3,56.0,0.6693652917161615,13,253.0
80.0,-0.195,17,3.3099999999999996,0.8274999999999999,8.086442351567332,4,85.0,0.6552902864207584,4,89.0,0.5687341243873247,4,81.0,0.5194969210408161,5,76.0,0.5106512846075426,17,331.0
85.0,-0.28,22,4.43,1.1075,7.260688127669788,5,109.0,0.47975508010306694,6,116.0,0.49673781168878334,5,112.0,0.5081093262741294,6,106.0,0.4525649195767608,22,443.0
90.0,-0.3249999999999999,30,5.73,1.4325,6.59302028257336,8,146.0,0.4225072513158257,7,148.0,0.46778012388259477,7,138.0,0.42159876440297567,8,141.0,0.3919233684848953,30,573.0
95.0,1.1974999999999998,14,0.94,0.235,9.05816870264858,4,30.0,0.6535432706380299,4,26.0,0.6284308233765462,3,20.0,0.6506390450711326,3,18.0,0.6886614806650202,14,94.0
100.0,-0.2,18,1.7400000000000002,0.43500000000000005,8.837258144033424,5,56.0,0.6342308072899698,5,49.0,0.5448096743308258,4,40.0,0.6545592104126725,4,29.0,0.6007873645186129,18,174.0
105.0,-0.27249999999999996,23,2.83,0.7075,8.067612346917208,6,85.0,0.6016581810868243,6,77.0,0.49377784725874874,5,63.0,0.5849158673140432,6,58.0,0.5442997080208224,23,283.0
110.0,-0.32000000000000006,27,4.11,1.0275,7.834443265867759,7,116.0,0.5228125332304004,7,112.0,0.4989914764627986,6,92.0,0.5858213773745249,7,91.0,0.5361811465068257,27,411.0
115.0,-0.37749999999999995,30,5.62,1.405,7.566703476492651,7,157.0,0.49787550715628615,8,150.0,0.4598988172708398,7,126.0,0.5549171887280011,8,129.0,0.5091154161197717,30,562.0
120.0,-0.39249999999999996,34,7.19,1.7975,5.994364781200588,9,196.0,0.3547101288261054,8,190.0,0.4389559361785764,8,162.0,0.37556530469305544,9,171.0,0.3937803548405437,34,719.0
125.0,-0.48,39,9.11,2.2775,6.034917353153668,11,251.0,0.32227550819077894,9,234.0,0.3632631668476777,9,206.0,0.2719153647498556,10,220.0,0.36560344979345205,39,911.0
130.0,-0.5225000000000001,42,11.2,2.8,5.930435709999204,12,310.0,0.3296650823891755,10,284.0,0.3465924874430638,10,256.0,0.2911142600884195,10,270.0,0.3381440689147648,42,1120.0
135.0,-0.5574999999999999,49,13.43,3.3575,5.279044063529824,14,373.0,0.2786710421468775,12,338.0,0.32087032789025316,11,307.0,0.23909061699956827,12,325.0,0.30591013674599676,49,1343.0
140.0,2.7799999999999994,4,2.31,0.5775,8.357578224101571,1,80.0,0.5788322353547591,1,68.0,0.545110672904484,1,46.0,0.5734505616083101,1,37.0,0.5956067443815088,4,231.0
145.0,0.42750000000000005,7,0.6,0.15,10.825995644880168,2,14.0,0.7991522003514441,2,25.0,0.7550347223088346,1,11.0,0.86543708066988,2,10.0,0.7953317437224828,7,60.0
150.0,-0.07250000000000001,7,0.8899999999999999,0.22249999999999998,10.942431954859495,2,24.0,0.7759521064131124,2,27.0,0.833108915491697,1,18.0,0.8025040306568952,2,20.0,0.796098788762362,7,89.0
155.0,-0.1175,11,1.36,0.34,10.812935076526232,3,42.0,0.7692243199929191,3,38.0,0.7768886201767768,2,22.0,0.7879683847351814,3,34.0,0.7744623008932715,11,136.0
160.0,-0.1375,11,1.9100000000000001,0.47750000000000004,11.1099905168014,3,57.0,0.8121408163594873,3,53.0,0.7783879523873873,2,32.0,0.8368150594044073,3,49.0,0.7949514127126244,11,191.0
165.0,-0.12000000000000002,11,2.39,0.5975,10.514685318409196,3,67.0,0.7898004772240147,3,67.0,0.7687335640257367,2,42.0,0.8100113560062286,3,63.0,0.7142721973490997,11,239.0
170.0,-0.15499999999999997,15,3.01,0.7525,8.939524673120673,3,81.0,0.6339570124056881,4,84.0,0.6057785860498884,3,54.0,0.665108108950994,5,82.0,0.4961761808006861,15,301.0
175.0,-0.28750000000000003,28,4.16,1.04,8.20467585082873,9,116.0,0.5279631275764104,6,110.0,0.5852654537319946,6,78.0,0.46739655210470343,7,112.0,0.5058656376481557,28,416.0
180.0,-0.38249999999999995,33,5.6899999999999995,1.4224999999999999,7.149014647898729,9,161.0,0.39672436458915944,8,145.0,0.4117360235652303,7,113.0,0.4414891161222375,9,150.0,0.383694287499799,33,569.0
185.0,1.0350000000000001,17,1.5499999999999998,0.38749999999999996,8.793102407618289,6,51.0,0.5285650257062311,5,32.0,0.5830710202256768,3,36.0,0.5914435013297555,3,36.0,0.5930552482289413,17,155.0
190.0,-0.24749999999999997,21,2.54,0.635,9.314355116860137,6,82.0,0.6141082190715609,6,60.0,0.5415623336541825,4,55.0,0.6544391556724759,5,57.0,0.6456268267909326,21,254.0
195.0,-0.2825,25,3.6699999999999995,0.9174999999999999,7.812468108550365,6,113.0,0.5001573532503445,7,92.0,0.4650921443956177,7,80.0,0.4962343416267097,5,82.0,0.5412705908963237,25,367.0
200.0,-0.37749999999999995,33,5.18,1.295,7.535209609498992,8,151.0,0.4724292111208786,8,128.0,0.4415759696986797,9,121.0,0.49919627446419995,8,118.0,0.48868711838502876,33,518.0
205.0,-0.4075,34,6.81,1.7025,7.128709082448352,9,196.0,0.4438997260552594,8,168.0,0.41544534868712896,9,166.0,0.4213600723179695,8,151.0,0.43818355947784315,34,681.0
210.0,-0.47250000000000003,39,8.7,2.175,6.371650611598423,10,243.0,0.4072658510157201,9,213.0,0.37975678185453554,11,219.0,0.4128044141701104,9,195.0,0.42644243956218914,39,870.0
215.0,-0.5274999999999999,46,10.81,2.7025,5.269249102072869,10,292.0,0.3133680928834017,11,265.0,0.2567273623587943,14,282.0,0.28997512744969145,11,242.0,0.2983772189372866,46,1081.0
