step_time,total_stopped,avg_wait_time,avg_speed
0,0,0.0,
1,10,0.0,0.0
2,0,0.0,4.418731140254535
3,1,0.0004,7.615376566438266
4,1,0.0008,10.29027662176098
5,1,0.0012,11.702799099540917
6,1,0.0016,9.894100441509142
7,2,0.0024,9.177515730962654
8,2,0.0032,10.26818812629136
9,2,0.004,8.454571825342644
10,2,0.0048,8.69743067107907
11,0,0.0,9.637402476606168
12,0,0.0,9.527030112134566
13,0,0.0,9.001300420967986
14,3,0.0012,9.021539825604153
15,3,0.0024,9.286212643375524
16,3,0.0036,8.71380814921194
17,3,0.0048,7.7717564061829
18,3,0.006,7.714539841387785
19,8,0.0072,4.967749810595492
20,4,0.0088,6.368112588293025
21,4,0.0104,7.721699284001452
22,4,0.012,9.730791494464148
23,4,0.0136,9.686021363477874
24,4,0.0152,9.3557458169474
25,4,0.0168,9.671715883370442
26,3,0.0156,9.217068214799363
27,3,0.0168,9.197985672933015
28,4,0.0184,9.556303025628347
29,4,0.02,9.39559340746659
30,4,0.0216,9.028477522612052
31,1,0.0072,10.368015516422812
32,1,0.0076,10.966500931478434
33,1,0.008,10.212458278239504
34,1,0.0084,9.507060236364596
35,4,0.01,9.110103992351185
36,3,0.0108,7.56425386814912
37,13,0.012,4.715328907644128
38,3,0.0132,6.544099162136365
39,5,0.0152,8.372998814400663
40,5,0.0172,9.410567976009323
41,5,0.0192,9.229993191060672
42,5,0.0212,9.192180472235613
43,5,0.0232,8.602420542221877
44,7,0.026,7.926189393088355
45,9,0.0296,7.865538242603014
46,6,0.012,8.47288483923779
47,5,0.0139999999999999,9.055340514910736
48,5,0.0148,9.33678277615016
49,5,0.0168,9.021817016531909
50,5,0.0187999999999999,8.75416753866588
51,4,0.0116,9.004124700812726
52,5,0.0136,8.866691269704507
53,5,0.0156,8.789686946853811
54,7,0.0184,8.444706068883857
55,12,0.0212,7.166987746128547
56,7,0.022,7.866312544378352
57,7,0.0248,8.021681199636024
58,8,0.0279999999999999,8.126760932739227
59,9,0.0316,8.018376633935825
60,9,0.0352,7.808652410256243
61,8,0.032,7.622850530036564
62,10,0.036,7.705615739688505
63,10,0.04,7.832771182361555
64,10,0.044,8.08809227930288
65,10,0.048,8.027950242435319
66,8,0.034,8.63529118850843
67,7,0.0368,8.980388803678409
68,7,0.0372,9.075741490208925
69,7,0.04,9.353740406992376
70,7,0.0428,9.291832680828987
71,7,0.042,9.21884664410332
72,7,0.0448,9.188250171916248
73,17,0.0475999999999999,6.665762994349313
74,8,0.0508,7.3380064328618175
75,9,0.0544,8.255474560490196
76,6,0.0424,8.710361952192775
77,7,0.0452,9.068918676340177
78,9,0.0487999999999999,9.05591223571005
79,10,0.0528,9.068079836024314
80,11,0.0572,8.48236304239447
81,10,0.0596,7.979788950472757
82,12,0.0644,7.854712517239614
83,13,0.0696,7.811848955168247
84,15,0.0756,7.462585850541695
85,15,0.0816,7.427068017208252
86,12,0.0803999999999999,7.516129258024111
87,12,0.0852,7.298774329636291
88,13,0.0904,7.646156497470711
89,15,0.0964,7.718354913445833
90,15,0.1024,7.366075415054739
91,20,0.1084,6.016105488670648
92,16,0.1148,6.363348961883682
93,17,0.1216,6.773124781680355
94,18,0.1288,6.805516021150583
95,19,0.1364,6.785263209277458
96,18,0.1364,6.764074424427983
97,18,0.1436,6.852507131775203
98,19,0.1512,6.86491431917045
99,19,0.158,6.926681058829813
100,19,0.1656,6.600600651411923
101,14,0.1244,6.459865317074455
102,16,0.1308,6.042317132110817
103,16,0.1291999999999999,6.408696602540195
104,17,0.1356,6.609694166699478
105,18,0.1424,6.926857391451724
106,17,0.1291999999999999,6.672250867061766
107,19,0.136,6.592121246868564
108,19,0.1428,6.549466357635795
109,30,0.15,5.083839634891388
110,20,0.1571999999999999,5.411115438314769
111,19,0.13,6.030343794058248
112,19,0.1376,6.80520025874447
113,20,0.1456,7.075602341373785
114,22,0.142,7.141961964967504
115,22,0.1495999999999999,7.208504924524047
116,21,0.1364,7.176484252693245
117,20,0.1432,7.379166559058132
118,19,0.142,7.338417480279109
119,20,0.1488,7.41012188846384
120,20,0.1516,7.285584347245403
121,17,0.1192,7.536959094240217
122,16,0.1239999999999999,7.8322885884947935
123,16,0.122,7.814960892704423
124,17,0.1271999999999999,7.789134571771122
125,19,0.1332,7.545861173884732
126,20,0.1412,7.219778703265205
127,25,0.148,6.188048884644874
128,22,0.1552,6.163664736499552
129,24,0.1632,6.126057458383601
130,28,0.1728,6.227954520875612
131,23,0.1424,6.841234888992117
132,20,0.15,7.01873110173212
133,20,0.142,7.259629533497863
134,23,0.1492,7.376104511139688
135,23,0.1656,7.049936499207444
136,21,0.158,6.562275496617311
137,23,0.1648,6.763753845603916
138,24,0.172,6.710966256822719
139,26,0.1804,6.362283565415778
140,28,0.1896,6.399700458643417
141,27,0.1784,6.317281712679915
142,27,0.1871999999999999,6.171606013828504
143,27,0.196,5.921533520149869
144,28,0.2043999999999999,6.1104972615063415
145,39,0.2128,4.979889835506667
146,24,0.1516,5.704580945338089
147,21,0.1628,6.40298962048233
148,18,0.1464,7.281460261332155
149,18,0.122,7.837752745338846
150,20,0.1116,8.18175152506144
151,19,0.1064,8.319297408638699
152,18,0.1116,8.379536544574936
153,19,0.1168,8.186018931999358
154,22,0.1228,7.957687889127146
155,22,0.1288,7.786603374217223
156,21,0.1332,7.685347382294716
157,22,0.1396,7.580798423009042
158,25,0.1456,7.504517002962943
159,25,0.1564,7.330159656479405
160,28,0.1668,7.061320579184521
161,25,0.1556,6.726414250305751
162,26,0.1624,6.580359355126102
163,32,0.1563999999999999,6.296118239075051
164,29,0.1639999999999999,6.614718635656759
165,30,0.1651999999999999,6.601867537731434
166,28,0.1376,6.797202653686967
167,28,0.1451999999999999,6.9449649063884
168,28,0.1536,6.658776050437236
169,30,0.1591999999999999,6.597220831292698
170,32,0.1692,6.5940285225403485
171,32,0.176,6.363842339466056
172,33,0.1868,6.194721383023053
173,34,0.198,5.828707005739197
174,36,0.2096,5.404230930326849
175,39,0.222,5.390872674205508
176,35,0.2091999999999999,5.483590855635455
177,33,0.2203999999999999,5.205139340364398
178,36,0.2228,5.219132393355237
179,38,0.2336,5.216770579926404
180,40,0.2455999999999999,5.26281989501467
181,47,0.1944,4.688326009274245
182,35,0.204,5.313506693458646
183,34,0.2036,6.010261786463667
184,33,0.198,6.619984597516186
185,33,0.2056,6.839139689248448
186,27,0.1616,6.881084508429056
187,23,0.1672,6.985743274027959
188,26,0.1639999999999999,6.844391661340093
189,27,0.1455999999999999,7.05227407824299
190,29,0.1508,6.946620270416472
