step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,gneJ0_stopped,gneJ0_accumulated_waiting_time,gneJ0_average_speed,gneJ6_stopped,gneJ6_accumulated_waiting_time,gneJ6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0,0.0,0.0,9.634867596189007,0,0.0,1.0,0,0.0,0.41255063560140764,0,0.0
10.0,-0.01,1,0.02,0.01,6.410920544086227,0,0.0,1.0,1,2.0,0.48593975932648237,1,2.0
15.0,-0.025,1,0.07,0.035,6.205642006516326,0,0.0,1.0,1,7.0,0.3772125829598098,1,7.0
20.0,-0.08499999999999999,4,0.24,0.12,6.876259709118604,0,0.0,0.9735882833552346,4,24.0,0.2718035815356907,4,24.0
25.0,-0.11499999999999999,5,0.47,0.235,6.488743247568532,0,0.0,1.0,5,47.0,0.2376595411762888,5,47.0
30.0,-0.14,6,0.75,0.375,7.240935722195698,0,0.0,0.8947869889219174,6,75.0,0.37688454179476855,6,75.0
35.0,-0.15000000000000002,6,1.05,0.525,6.137824610417525,0,0.0,0.7964832830829334,6,105.0,0.2773325951739781,6,105.0
40.0,-0.17499999999999993,7,1.4,0.7,7.150100813672773,0,0.0,0.8961033554237551,7,140.0,0.22229829251618885,7,140.0
45.0,-0.15500000000000003,8,1.71,0.855,5.7215901413455,1,1.0,0.5880711493589733,7,170.0,0.24610986534708318,8,171.0
50.0,0.5599999999999999,3,0.59,0.295,6.041087312484582,2,10.0,0.3416563464610949,1,49.0,0.3735245786483472,3,59.0
55.0,0.05499999999999998,3,0.48000000000000004,0.24000000000000002,7.793900305080727,2,20.0,0.4796309591149325,1,28.0,0.44552992380124756,3,48.0
60.0,-0.009999999999999995,4,0.5,0.25,9.416008159385171,2,34.0,0.5252354543728572,2,16.0,0.5064263916711425,4,50.0
65.0,-0.11999999999999998,6,0.74,0.37,8.607318915180711,3,44.0,0.18919786056078672,3,30.0,0.5333351166863207,6,74.0
70.0,-0.14999999999999997,8,1.04,0.52,7.688452526262245,3,57.0,0.23593401524146781,5,47.0,0.32369939187753005,8,104.0
75.0,-0.25500000000000006,11,1.55,0.775,4.836728598276114,4,76.0,4.420541344902885e-06,7,79.0,0.12551623775598314,11,155.0
80.0,-0.2799999999999999,12,2.11,1.055,4.961040505062738,4,96.0,0.0,8,115.0,8.232014451436068e-05,12,211.0
85.0,-0.30000000000000004,12,2.71,1.355,5.318670293114143,4,116.0,0.29900251155484575,8,155.0,0.10182496375748755,12,271.0
90.0,-0.30000000000000004,12,3.31,1.655,5.193243978235571,4,136.0,0.32655172390510173,8,195.0,0.28884908733407455,12,331.0
95.0,0.45500000000000007,10,2.4,1.2,4.27458883497031,2,73.0,0.46744487570599824,8,167.0,0.16618101119239384,10,240.0
