step_time,total_stopped,avg_wait_time,avg_speed
0,0,0.0,
1,2,0.0,0.0
2,0,0.0,1.5545110173290595
3,0,0.0,6.32696044291157
4,0,0.0,7.653680722979876
5,0,0.0,9.618445201704132
6,0,0.0,9.438883977415358
7,0,0.0,9.070963449738306
8,0,0.0,9.543423209547354
9,1,0.005,10.1556991604019
10,1,0.01,10.378254025265832
11,0,0.0,10.538555779966673
12,0,0.0,11.13745034283066
13,0,0.0,10.593449003900872
14,1,0.0,9.656288648652435
15,0,0.0,10.620715465950541
16,0,0.0,10.55847017088139
17,0,0.0,10.512871108338109
18,3,0.005,7.684187852622254
19,3,0.01,6.051952586606648
20,2,0.02,6.660031449784323
21,2,0.03,7.1713122328213394
22,3,0.045,8.278542266875819
23,4,0.06,8.16124893524206
24,4,0.075,8.117803665322494
25,3,0.09,8.72718442139571
26,1,0.035,9.493333749898323
27,0,0.035,10.166541150183102
28,0,0.035,10.709958372326918
29,1,0.0,10.669245720798976
30,0,0.0,11.188374031663773
31,1,0.0,10.47006367534776
32,0,0.0,10.765443666153756
33,1,0.005,10.876462222218327
34,4,0.01,9.963829238113982
35,1,0.015,9.87712271277331
36,1,0.02,9.355416878079186
37,3,0.035,8.689550357748427
38,3,0.05,8.71221801411485
39,6,0.08,8.397393087788032
40,7,0.11499999999999999,7.923760237885891
41,10,0.155,7.178377163035328
42,8,0.195,6.71190337408873
43,10,0.21000000000000002,6.702277574946667
44,12,0.27,6.592344413365053
45,12,0.33,6.4628011423995355
46,9,0.25,6.493845024298642
47,8,0.29,7.049486348423617
48,7,0.28,7.296868277672017
49,5,0.265,7.253999264065706
50,7,0.295,6.801798512976828
51,8,0.325,6.727901244557708
52,8,0.36,6.712306788245609
53,8,0.4,6.5832839490864075
54,11,0.425,6.115247374915355
55,14,0.49,5.616501807224974
56,7,0.21500000000000002,6.189543169544196
57,7,0.25,6.913373444958304
58,6,0.28,7.341599253297034
59,8,0.295,7.660361383808001
60,8,0.32999999999999996,8.126731275928016
61,9,0.365,8.518854661108355
62,10,0.41000000000000003,8.451195510209901
63,8,0.44500000000000006,8.385520509195413
64,8,0.485,8.3347763662539
65,9,0.54,8.04224971537743
66,6,0.31,8.004820638703098
67,6,0.335,7.976748992650775
68,5,0.36,7.9185565575154095
69,9,0.335,7.462100848018421
70,7,0.365,7.784562894629059
71,10,0.40499999999999997,7.82959722288575
72,9,0.44999999999999996,7.302002901899606
73,10,0.495,6.379406354598149
74,11,0.55,5.799381598702217
75,15,0.615,4.8302685328727355
76,11,0.365,5.075273461303741
77,11,0.42000000000000004,5.088347285677027
78,10,0.47,5.163769570470034
79,10,0.32999999999999996,5.522010797694694
80,11,0.385,6.174256157205794
81,10,0.435,7.031969980194098
82,13,0.49,6.693806599843343
83,12,0.55,7.402585114532809
84,13,0.615,7.214242732620905
85,13,0.68,7.062030242625909
86,9,0.47000000000000003,6.549668835402371
87,6,0.5,7.2361378292730905
88,5,0.525,7.701183970127734
89,5,0.45999999999999996,7.9004524415071185
90,6,0.49,8.071001572755812
91,7,0.525,7.981851830542416
92,8,0.565,7.439610791612448
93,8,0.605,7.173078178207426
94,12,0.6649999999999999,6.949061950184982
95,14,0.735,6.605382407069279
96,14,0.68,6.588197416953179
97,13,0.74,6.753870552781615
98,12,0.8,7.2855747383189895
99,11,0.765,7.080962055802027
100,10,0.815,6.908094602250806
101,6,0.63,7.369686680937453
102,7,0.66,7.414351321695703
103,6,0.6900000000000001,7.786974064210688
104,7,0.685,7.816041527369954
105,10,0.72,7.20090755147858
106,5,0.485,7.338050395158762
107,4,0.505,7.3823297727140025
108,5,0.525,7.396067911985696
109,5,0.405,7.400974921201037
110,5,0.43,7.2832267867807285
111,7,0.465,7.521659898782674
112,7,0.5,7.631219191290505
113,9,0.545,7.450437654357107
114,10,0.595,7.292778821058568
115,13,0.6549999999999999,6.894374265329888
116,14,0.58,6.746010435773674
117,12,0.64,6.802714526160175
118,11,0.6950000000000001,6.557571035554066
119,11,0.75,6.121006114123211
120,11,0.685,5.846124739212096
121,9,0.635,5.603323334801601
122,9,0.615,6.0103367991359615
123,8,0.65,6.412225800692955
124,9,0.685,6.744689367750544
125,9,0.68,6.890565072483782
126,9,0.72,7.332548102961618
127,9,0.7649999999999999,7.324382090846653
