step_time,total_stopped,avg_wait_time,avg_speed
0,0,0.0,
1,0,0.0,
2,0,0.0,
3,0,0.0,12.912144
4,0,0.0,12.310955950813979
5,0,0.0,13.941380570837083
6,0,0.0,12.999691997761646
7,0,0.0,10.970817044618116
8,0,0.0,9.303634558579464
9,1,0.005,7.588393448112508
10,1,0.01,7.485725966410333
11,2,0.015,7.125704685551339
12,1,0.02,8.380734287373013
13,1,0.025,8.38094824056319
14,1,0.03,8.620364071526131
15,1,0.035,8.564345790845204
16,2,0.045,7.947238716971659
17,2,0.055,8.4232218341276
18,2,0.065,8.082386918836294
19,3,0.08,6.985740699374186
20,4,0.095,5.573939654642936
21,1,0.015,6.358374123171706
22,1,0.02,7.72377755180285
23,1,0.025,7.204502365943082
24,1,0.03,8.175391041095951
25,3,0.04,8.850852702227497
26,2,0.05,9.249131612876262
27,2,0.06,9.731174852605555
28,2,0.07,9.911699011660593
29,2,0.08,10.190139902173014
30,2,0.09,9.74534179595221
31,2,0.1,9.236578392195089
32,4,0.115,8.952033466189384
33,4,0.13,8.43190461214662
34,5,0.15,7.761012586037473
35,5,0.17,7.354179522113955
36,4,0.19,7.220763169334094
37,5,0.215,7.32964987894643
38,6,0.245,7.830492922947738
39,7,0.28,7.319802849466334
40,8,0.32,6.79577687430323
41,2,0.045,7.144341596761765
42,2,0.055,7.303327444634106
43,3,0.065,7.518216801092419
44,2,0.055,8.269805693885147
45,3,0.025,9.095989173724048
46,2,0.035,9.715170135776292
47,2,0.045,9.360447191080452
48,2,0.05500000000000001,8.848831254335284
49,4,0.07,8.045899687699297
50,5,0.095,7.474132300591667
51,5,0.08499999999999999,7.52369000465947
52,7,0.12000000000000001,7.356585702818182
53,9,0.16,6.88268301802773
54,10,0.2,6.684094452274715
55,9,0.245,6.747323906839938
56,10,0.29500000000000004,6.869115708045256
57,10,0.35,7.091125192306713
58,10,0.39999999999999997,7.228246437424006
59,12,0.455,6.548100740245277
60,12,0.515,6.606422516670738
61,10,0.255,6.290823926830589
62,5,0.28,6.904038523067187
63,6,0.31,6.985740691119131
64,7,0.31,7.281400494758611
65,7,0.3,7.173303457202076
66,10,0.335,7.370587044141707
67,9,0.375,7.794113890147555
68,8,0.41500000000000004,7.789837889305316
69,10,0.46499999999999997,7.571821582739939
70,10,0.515,7.455924279715213
71,12,0.54,7.158871023867687
72,11,0.595,7.032783205744613
73,13,0.655,6.809962247744444
74,14,0.71,6.7948831549428
75,15,0.785,6.506809838589741
76,16,0.865,6.100203177761052
77,16,0.9450000000000001,5.249601282109041
78,16,1.025,4.565851827875321
79,20,1.125,4.118249136023505
80,23,1.24,3.9819161183911995
81,17,0.74,3.6936512970671296
82,16,0.8200000000000001,3.72442510203635
83,15,0.895,4.628504217580652
84,15,0.97,4.948109163043191
85,14,0.7949999999999999,5.745540994953821
86,13,0.86,6.145012157428009
87,15,0.925,6.290769755923194
88,18,0.995,5.769756126618292
89,15,1.07,5.759126015199637
90,15,1.145,5.706323848647222
91,16,1.225,5.895894744023872
92,18,1.315,5.922162102278254
93,20,1.41,6.034986294571761
94,19,1.505,6.027801847424778
95,20,1.605,5.871761270366977
96,21,1.71,5.301368453599711
97,23,1.8250000000000002,4.976293434275208
98,23,1.94,4.495804028785884
99,23,2.0549999999999997,4.436038135297572
100,26,2.185,3.7782989677207617
101,17,1.225,4.061143588128256
102,12,1.285,4.355117829913679
103,10,1.335,4.643371942101302
104,13,1.0350000000000001,4.7697642984716735
105,14,0.99,4.867565655182331
106,13,1.045,5.264158026447939
107,16,1.11,5.584178845518523
108,16,1.18,6.12981694570751
109,18,1.26,6.284907720156624
110,18,1.3399999999999999,6.200891938133153
111,21,1.4349999999999998,6.272109100395993
112,21,1.53,5.872604017879899
