step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,49228579_stopped,49228579_accumulated_waiting_time,49228579_average_speed,cluster_2511020102_2511020103_290051922_298135886_stopped,cluster_2511020102_2511020103_290051922_298135886_accumulated_waiting_time,cluster_2511020102_2511020103_290051922_298135886_average_speed,cluster_2511020106_49297289_stopped,cluster_2511020106_49297289_accumulated_waiting_time,cluster_2511020106_49297289_average_speed,cluster_290051904_49145925_stopped,cluster_290051904_49145925_accumulated_waiting_time,cluster_290051904_49145925_average_speed,cluster_290051912_298136030_648538909_stopped,cluster_290051912_298136030_648538909_accumulated_waiting_time,cluster_290051912_298136030_648538909_average_speed,cluster_298135838_49135231_stopped,cluster_298135838_49135231_accumulated_waiting_time,cluster_298135838_49135231_average_speed,cluster_648538736_648538737_stopped,cluster_648538736_648538737_accumulated_waiting_time,cluster_648538736_648538737_average_speed,cluster_648538756_648538758_stopped,cluster_648538756_648538758_accumulated_waiting_time,cluster_648538756_648538758_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0,0.0,0.0,15.21139189590465,0,0.0,0.5349791123286183,0,0.0,0.4928257965027661,0,0.0,1.0,0,0.0,0.2847038067326823,0,0.0,1.0,0,0.0,0.4189259340883715,0,0.0,0.8272023915082276,0,0.0,1.0,0,0.0
10.0,0.0,0,0.0,0.0,14.950322951654163,0,0.0,0.4818089569261393,0,0.0,0.16355012635585942,0,0.0,1.0,0,0.0,0.09696623489701635,0,0.0,1.0,0,0.0,0.2339821566118621,0,0.0,0.6332002751087288,0,0.0,1.0,0,0.0
15.0,-0.0025,0,0.02,0.0025,15.280824749580063,0,1.0,0.21771468770368255,0,0.0,0.7886833024428818,0,0.0,0.602189060637445,0,1.0,0.02435968616149614,0,0.0,1.0,0,0.0,1.0,0,0.0,0.3169551093182245,0,0.0,1.0,0,2.0
20.0,-0.015,3,0.14,0.0175,15.67245437832102,1,6.0,0.2206020958616949,0,0.0,0.47685534116388323,0,0.0,0.26897151304656464,1,5.0,0.0,0,0.0,1.0,0,0.0,1.0,1,3.0,0.22935583456451203,0,0.0,1.0,3,14.0
25.0,-0.025,4,0.33999999999999997,0.042499999999999996,15.901195443524319,1,12.0,0.2273043462319083,0,0.0,0.1427297643734196,0,0.0,0.3236488216176484,1,10.0,0.0,0,0.0,1.0,0,0.0,1.0,2,12.0,0.26095957427876143,0,0.0,1.0,4,34.0
30.0,-0.01875,4,0.49,0.06125,16.10308085673082,2,21.0,0.07386623884851867,0,0.0,0.6966203313355932,0,0.0,0.24995943221234018,1,15.0,0.4941140506766808,0,0.0,1.0,0,0.0,1.0,1,13.0,0.21588039044974017,0,0.0,1.0,4,49.0
35.0,-0.035,6,0.77,0.09625,15.901066424981671,3,35.0,0.17450394587460427,0,0.0,0.5937826412629175,0,0.0,0.5427026325149812,1,20.0,0.4823210305019348,0,0.0,1.0,0,0.0,0.7679899271760426,2,22.0,0.3277532204199698,0,0.0,1.0,6,77.0
40.0,-0.04375,8,1.12,0.14,15.696696312932927,4,51.0,0.042045801884840896,0,0.0,0.14645187783383506,0,0.0,0.4495315336194636,1,25.0,0.0,0,0.0,0.9960369049143323,0,0.0,0.5392462983503217,3,36.0,0.24461884886902183,0,0.0,1.0,8,112.0
45.0,-0.057499999999999996,12,1.58,0.1975,14.860057801034285,6,73.0,0.032133348509403206,0,1.0,0.2572086048604574,0,0.0,0.37641881744968564,1,30.0,0.038865686490892795,0,0.0,0.5980645181955009,1,2.0,0.5571815291274095,4,52.0,0.1400088461322193,0,0.0,1.0,12,158.0
50.0,-0.07749999999999999,13,2.2,0.275,14.177538607561068,6,100.0,0.08584955659383658,1,5.0,0.08842405636264125,0,0.0,0.33128432196061297,1,36.0,0.005944152765137832,0,0.0,0.3607142540118603,1,7.0,0.4757450912336621,4,72.0,0.20088801985397906,0,0.0,1.0,13,220.0
