step_time,total_stopped,avg_wait_time,avg_speed
0,0,0.0,
1,0,0.0,15.660027909774547
2,0,0.0,15.184147588116025
3,0,0.0,14.558744981992346
4,0,0.0,15.083215136574307
5,0,0.0,14.486433958678061
6,0,0.0,14.586796193696433
7,0,0.0,15.0865191414459
8,0,0.0,14.562047359925023
9,0,0.0,13.71810538346614
10,0,0.0,14.618383953932831
11,0,0.0,14.795067487652009
12,0,0.0,14.732819629946244
13,0,0.0,15.294165536954546
14,0,0.0,15.2338682818075
15,0,0.0,15.543693186888673
16,0,0.0,16.323039314747952
17,0,0.0,16.00098881402642
18,1,0.00125,16.174106363927216
19,0,0.00125,16.443604748469525
20,0,0.00125,16.390228639179025
21,1,0.0025,16.613982067079473
22,1,0.00375,17.196016518201592
23,1,0.005,17.29233099795673
24,1,0.00625,17.42498488370802
25,1,0.0075,17.42158682338898
26,1,0.00875,17.546520062647556
27,1,0.01,17.332763954562882
28,1,0.01125,17.39199456145482
29,1,0.0125,16.950255553443746
30,1,0.01375,16.815237563057437
31,1,0.015,16.494324803568286
32,1,0.01625,16.092370587495544
33,1,0.0175,15.46490250938637
34,1,0.01875,15.31350757530487
35,1,0.02,14.81747278088759
36,1,0.02125,14.684933514025404
37,1,0.0225,14.877726806742885
38,1,0.02375,14.662266322057366
39,1,0.025,14.483836778207253
40,1,0.02625,14.678241260465127
41,1,0.0275,14.357236253833761
42,1,0.02875,14.266343377586319
43,1,0.03,14.399652166495125
44,2,0.0325,14.166947399927734
45,2,0.035,14.058900943263119
46,2,0.0375,14.183233570515863
47,2,0.04,14.107620671089046
48,3,0.04375,14.03545825321604
49,5,0.05,14.16188034500321
50,5,0.056249999999999994,14.185999099408049
51,4,0.055,14.237671088179141
52,5,0.06125,14.3008513835804
53,5,0.0675,14.205370865683001
54,5,0.07375000000000001,14.021828239425634
55,6,0.08125,14.1589626967672
56,3,0.06625,14.20498946399886
57,4,0.07,14.18426952570183
58,4,0.075,14.342120673250264
59,4,0.08,14.514750721723885
60,4,0.085,14.434632558683871
61,6,0.041249999999999995,14.34598729329072
62,3,0.045,14.188053509467585
63,5,0.051250000000000004,13.999592375258333
64,5,0.057499999999999996,14.110975305661892
65,5,0.06375,13.657264760558656
66,3,0.04875,13.503806287500902
67,3,0.052500000000000005,13.692168752365461
68,2,0.055,13.668668080065146
69,4,0.06,13.817396651696466
70,3,0.06375,13.935001832672295
71,3,0.02125,13.969980379444927
72,2,0.02375,14.055691810131707
