step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,gneJ2_stopped,gneJ2_accumulated_waiting_time,gneJ2_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0.0,0,0.0,0.0,12.28019817638947,0,0.0,0.921774331431266,0,0.0
10.0,0.0,0,0.0,0.0,10.200556740341904,0,0.0,0.655815327592287,0,0.0
15.0,-0.06,2,0.06,0.06,7.223597524492085,2,6.0,0.0545056584745939,2,6.0
20.0,-0.13,3,0.19,0.19,8.755189399244014,3,19.0,0.529501251666239,3,19.0
25.0,-0.15000000000000002,3,0.34,0.34,7.522731567711525,3,34.0,0.5045633384527198,3,34.0
30.0,-0.24999999999999994,6,0.59,0.59,7.602261960717224,6,59.0,0.41189520956069,6,59.0
35.0,-0.33000000000000007,7,0.92,0.92,6.798700063717092,7,92.0,0.20770355028291398,7,92.0
40.0,-0.41000000000000003,11,1.33,1.33,5.258752807032254,11,133.0,0.1441017198082073,11,133.0
45.0,-0.54,12,1.87,1.87,3.4413635835508023,12,187.0,0.08407016722370575,12,187.0
50.0,1.58,3,0.29,0.29,5.616833831534676,3,29.0,0.36416945375295834,3,29.0
55.0,-0.040000000000000036,3,0.33,0.33,7.859018536363976,3,33.0,0.16425869028691278,3,33.0
60.0,-0.18,5,0.51,0.51,8.79089223882633,5,51.0,0.27128691621755824,5,51.0
65.0,-0.25,5,0.76,0.76,9.121037612280603,5,76.0,0.06832553180769516,5,76.0
70.0,-0.29000000000000004,6,1.05,1.05,8.171750019901234,6,105.0,0.36703744227132024,6,105.0
75.0,-0.30000000000000004,6,1.35,1.35,5.816057116377686,6,135.0,0.2653587683808922,6,135.0
80.0,-0.34999999999999987,7,1.7,1.7,6.572278778728081,7,170.0,0.12416555075611334,7,170.0
85.0,-0.34999999999999987,7,2.05,2.05,6.62641187929893,7,205.0,0.3422056600564305,7,205.0
90.0,-0.3600000000000003,8,2.41,2.41,6.371216562457483,8,241.0,0.3216908607966445,8,241.0
95.0,2.06,3,0.35,0.35,6.5353863079318675,3,35.0,0.41183116190213087,3,35.0
100.0,0.0,7,0.35,0.35,7.7558494087429946,7,35.0,0.33718122874778406,7,35.0
105.0,-0.35,7,0.7,0.7,6.584324506358179,7,70.0,0.20024609601319374,7,70.0
110.0,-0.3700000000000001,9,1.07,1.07,5.6858921889492855,9,107.0,0.07127988073795545,9,107.0
115.0,-0.45999999999999996,10,1.53,1.53,3.9112006963389834,10,153.0,0.08765901634611957,10,153.0
120.0,-0.5900000000000001,12,2.12,2.12,5.343963649872242,12,212.0,0.19939334142575973,12,212.0
125.0,-0.6299999999999999,14,2.75,2.75,3.6798697510166134,14,275.0,0.22978459058954473,14,275.0
130.0,-0.81,19,3.56,3.56,1.182857075954195,19,356.0,0.05150749433961569,19,356.0
135.0,-1.0799999999999996,23,4.64,4.64,0.976010587483808,23,464.0,0.03886148460190372,23,464.0
140.0,3.0999999999999996,4,1.54,1.54,5.511502970422642,4,154.0,0.3726920437920327,4,154.0
145.0,0.41000000000000014,5,1.13,1.13,6.359734307972674,5,113.0,0.2972939863032299,5,113.0
150.0,-0.040000000000000036,9,1.17,1.17,7.0018846417475595,9,117.0,0.18634387019436963,9,117.0
155.0,0.1399999999999999,8,1.03,1.03,7.9091926901517935,8,103.0,0.3098623441660332,8,103.0
160.0,-0.3699999999999999,8,1.4,1.4,6.807081946599294,8,140.0,0.15233380487472958,8,140.0
165.0,-0.48,10,1.88,1.88,5.242205612118851,10,188.0,0.13598768989289192,10,188.0
170.0,-0.5300000000000002,12,2.41,2.41,4.8737700234908266,12,241.0,0.2076927850084321,12,241.0
175.0,-0.5999999999999996,12,3.01,3.01,2.6536842422052795,12,301.0,0.045222810354772894,12,301.0
180.0,-0.7000000000000002,14,3.71,3.71,3.4874004291267857,14,371.0,0.13081543201483775,14,371.0
185.0,2.86,1,0.85,0.85,6.159479397709399,1,85.0,0.3267821592878475,1,85.0
190.0,0.6699999999999999,2,0.18,0.18,10.440328707544253,2,18.0,0.46752343533261487,2,18.0
195.0,-0.10000000000000003,2,0.28,0.28,11.325231177472492,2,28.0,0.6044396230676143,2,28.0
200.0,-0.10999999999999999,3,0.39,0.39,7.961771878825061,3,39.0,0.3453352486063483,3,39.0
205.0,-0.22999999999999998,5,0.62,0.62,7.461077104457324,5,62.0,0.24880199480976065,5,62.0
210.0,-0.25,5,0.87,0.87,5.748741211373077,5,87.0,0.3424577149893336,5,87.0
215.0,-0.30999999999999994,7,1.18,1.18,3.5561379693747006,7,118.0,0.1745436267086401,7,118.0
220.0,-0.51,12,1.69,1.69,3.3997050738096193,12,169.0,0.1560443311506892,12,169.0
225.0,-0.6299999999999999,13,2.32,2.32,3.00522507865781,13,232.0,0.17695760199431299,13,232.0
230.0,1.9899999999999998,4,0.33,0.33,5.724145031829503,4,33.0,0.26665294296503705,4,33.0
235.0,-0.23000000000000004,5,0.56,0.56,8.949830174185308,5,56.0,0.21227807833656903,5,56.0
240.0,-0.2899999999999999,6,0.85,0.85,9.04817223321896,6,85.0,0.4078069542929053,6,85.0
245.0,-0.29999999999999993,6,1.15,1.15,7.939216079617018,6,115.0,0.3735150434622528,6,115.0
250.0,-0.3900000000000001,9,1.54,1.54,7.619017518334085,9,154.0,0.21160536328680427,9,154.0
255.0,-0.5499999999999998,13,2.09,2.09,4.934928079597693,13,209.0,0.12641429770757273,13,209.0
260.0,-0.6699999999999999,14,2.76,2.76,4.177797759246201,14,276.0,0.07095683405783794,14,276.0
265.0,-0.8000000000000003,17,3.56,3.56,3.236689102464988,17,356.0,0.05250438916060504,17,356.0
270.0,-0.8500000000000001,17,4.41,4.41,4.0232058851664005,17,441.0,0.10174450264510988,17,441.0
275.0,2.9400000000000004,0,1.47,1.47,6.890481085452183,0,147.0,0.3831780577179557,0,147.0
280.0,0.83,1,0.64,0.64,8.616669391651415,1,64.0,0.33830249647305877,1,64.0
285.0,0.37,4,0.27,0.27,8.937312389020908,4,27.0,0.27516499516942344,4,27.0
290.0,-0.25,6,0.52,0.52,8.766674916077314,6,52.0,0.1571951407736812,6,52.0
295.0,-0.19999999999999996,6,0.72,0.72,8.998514199974654,6,72.0,0.3538140382812458,6,72.0
300.0,-0.32000000000000006,7,1.04,1.04,6.080834820691802,7,104.0,0.20225409898637833,7,104.0
305.0,-0.42999999999999994,9,1.47,1.47,5.5828454600434245,9,147.0,0.14216454509604173,9,147.0
310.0,-0.48,10,1.95,1.95,5.700710061618989,10,195.0,0.3464508497363725,10,195.0
315.0,-0.5200000000000002,12,2.47,2.47,3.6139672246038894,12,247.0,0.06860681039774108,12,247.0
320.0,1.9500000000000002,5,0.52,0.52,6.704242209397008,5,52.0,0.26689592919969984,5,52.0
325.0,0.050000000000000044,6,0.47,0.47,7.56166210421591,6,47.0,0.1769300920529132,6,47.0
330.0,-0.35,7,0.82,0.82,7.757943698015845,7,82.0,0.35239154075348106,7,82.0
335.0,-0.4800000000000001,11,1.3,1.3,5.25221040648484,11,130.0,0.1256458710838257,11,130.0
340.0,-0.5899999999999999,12,1.89,1.89,5.2696934923622765,12,189.0,0.2603172248425613,12,189.0
345.0,-0.6399999999999999,13,2.53,2.53,5.039133085129801,13,253.0,0.2667615321075945,13,253.0
350.0,-0.7200000000000002,16,3.25,3.25,5.028741315181372,16,325.0,0.18141024681161935,16,325.0
355.0,-0.8399999999999999,19,4.09,4.09,4.599462696828861,19,409.0,0.14379827076899274,19,409.0
360.0,-1.0099999999999998,23,5.1,5.1,2.0908138141630324,23,510.0,0.10222334531344808,23,510.0
365.0,3.1099999999999994,3,1.99,1.99,4.32044794644615,3,199.0,0.24036677697165623,3,199.0
370.0,1.4100000000000001,6,0.58,0.58,6.200402677146927,6,58.0,0.1218759071161087,6,58.0
375.0,-0.06000000000000005,5,0.64,0.64,7.640345195396731,5,64.0,0.28969109320457126,5,64.0
380.0,-0.13,6,0.77,0.77,8.645979205846036,6,77.0,0.3091135589776377,6,77.0
385.0,-0.3699999999999999,8,1.14,1.14,7.747011523863007,8,114.0,0.18243261700438385,8,114.0
390.0,-0.44000000000000017,9,1.58,1.58,8.006589944253383,9,158.0,0.37939046919101155,9,158.0
395.0,-0.44999999999999973,9,2.03,2.03,6.5285819716155835,9,203.0,0.31397459846180187,9,203.0
400.0,-0.52,12,2.55,2.55,4.425279713552955,12,255.0,0.14265792303803593,12,255.0
405.0,-0.73,17,3.28,3.28,2.6027120894929987,17,328.0,0.06962408121672807,17,328.0
410.0,2.71,5,0.57,0.57,5.641649026964462,5,57.0,0.2162976447489478,5,57.0
415.0,-0.06000000000000005,7,0.63,0.63,7.449532828855325,7,63.0,0.2792704513144835,7,63.0
420.0,-0.31999999999999995,7,0.95,0.95,7.1962999664746645,7,95.0,0.10643836663236188,7,95.0
425.0,-0.43999999999999995,9,1.39,1.39,6.147550375863868,9,139.0,0.19889566254202104,9,139.0
430.0,-0.41000000000000014,9,1.8,1.8,6.115282363600917,9,180.0,0.08093571631443391,9,180.0
435.0,-0.5199999999999998,12,2.32,2.32,4.826515893728446,12,232.0,0.21420318101498168,12,232.0
440.0,-0.6400000000000001,13,2.96,2.96,4.188011784274578,13,296.0,0.18638301849047823,13,296.0
445.0,-0.69,15,3.65,3.65,2.784228855962902,15,365.0,0.10235017752027509,15,365.0
450.0,-0.8500000000000001,17,4.5,4.5,3.6638570585218058,17,450.0,0.15758280245649806,17,450.0
455.0,2.5700000000000003,2,1.93,1.93,6.380773321059808,2,193.0,0.4149719242371814,2,193.0
460.0,1.67,4,0.26,0.26,8.653497734890326,4,26.0,0.4046925758649568,4,26.0
465.0,-0.25,5,0.51,0.51,8.540334747685645,5,51.0,0.2973614312430677,5,51.0
470.0,-0.31999999999999995,8,0.83,0.83,8.904155271360159,8,83.0,0.20599191412591705,8,83.0
475.0,-0.44000000000000006,9,1.27,1.27,7.999878791805264,9,127.0,0.14163488536915853,9,127.0
480.0,-0.45999999999999996,10,1.73,1.73,6.628561215587126,10,173.0,0.2842719165076781,10,173.0
485.0,-0.5800000000000001,14,2.31,2.31,5.145460938364159,14,231.0,0.19253066012852024,14,231.0
490.0,-0.71,15,3.02,3.02,2.363723600182044,15,302.0,0.09274830394267324,15,302.0
495.0,-0.8500000000000001,18,3.87,3.87,1.3178295028797238,18,387.0,1.9910558682743003e-05,18,387.0
500.0,2.6500000000000004,0,1.22,1.22,6.194077184883102,0,122.0,0.25293855138309734,0,122.0
505.0,0.97,0,0.25,0.25,9.749556649335636,0,25.0,0.6025828389946527,0,25.0
510.0,0.21,1,0.04,0.04,9.885806678935364,1,4.0,0.46784743300096204,1,4.0
515.0,-0.13,3,0.17,0.17,9.951055371502386,3,17.0,0.43512945949673787,3,17.0
520.0,-0.17999999999999997,4,0.35,0.35,9.084067294595886,4,35.0,0.38639327022615444,4,35.0
