step_time,total_stopped,avg_wait_time,avg_speed
0,0,0.0,
1,1,0.0,0.0
2,0,0.0,7.819920160988752
3,0,0.0,11.031259353738916
4,0,0.0,11.287823711295399
5,0,0.0,10.413426089560868
6,0,0.0,8.912915494990916
7,0,0.0,8.20339925475294
8,0,0.0,6.52967550818439
9,3,0.02,5.811920121395906
10,3,0.05,5.939896718085076
11,1,0.03,6.628891148014864
12,2,0.04,6.814408873473252
13,1,0.05,8.713272022999707
14,1,0.06,9.565047076389172
15,1,0.07,10.21857327099206
16,1,0.08,10.790430632668212
17,1,0.09,10.8095247240518
18,1,0.1,9.664064315844884
19,1,0.11,9.981782664462052
20,1,0.12,9.393594361781906
21,3,0.15,8.852293958847781
22,3,0.18,8.710585907596084
23,4,0.22,7.196528191082003
24,5,0.27,6.515851706765492
25,6,0.32,6.1960698141989115
26,8,0.38,5.463811424032947
27,7,0.45,6.006235799934553
28,7,0.52,4.7102203951487
29,8,0.59,4.962120878222935
30,9,0.68,5.026115308316841
31,6,0.41,6.622669194332253
32,5,0.46,7.178215830429867
33,4,0.5,7.810892858791463
34,4,0.43,7.950711654857994
35,4,0.47,8.199701752053548
36,4,0.51,8.66720634454828
37,5,0.56,8.773741705261559
38,5,0.61,8.663550616852577
39,6,0.67,8.872890939189904
40,8,0.74,7.862112663233069
41,4,0.24,8.262797992209196
42,3,0.27,7.91577178623715
43,4,0.3,6.940492584827355
44,4,0.19,7.164247433531375
45,8,0.23,6.806746718185504
46,8,0.29,6.949090472734773
47,6,0.35,6.923758180951918
48,9,0.42,6.302870304039831
49,9,0.51,6.649899794064681
50,10,0.61,6.726369725911741
51,8,0.27,6.879812134333101
52,5,0.32,6.98956692045959
53,4,0.36,7.537006608295641
54,4,0.3,7.982463383351428
55,5,0.35,8.876890832084413
56,6,0.41,9.41613312769613
57,7,0.47,9.648466529733227
58,6,0.53,9.748602239996263
59,7,0.6,9.287258666632782
60,8,0.68,9.03399201678568
61,4,0.32,8.746767438616313
62,2,0.34,7.9028198349361025
63,3,0.37,7.576261229571976
64,6,0.35,7.386934419565007
65,6,0.34,7.347491905599247
66,9,0.41,7.090541676520629
67,9,0.48,7.086804700894121
68,8,0.55,6.790132013407273
69,8,0.63,6.914337908285487
70,9,0.72,7.340524348919026
71,7,0.45,7.394010930811534
72,5,0.43,7.640626663020851
73,3,0.46,7.85317767135854
