step_time,total_stopped,avg_wait_time,avg_speed
0,0,0.0,
1,0,0.0,
2,0,0.0,14.451156000000001
3,0,0.0,15.697648519541474
4,0,0.0,14.057426026055296
5,0,0.0,14.052846982372012
6,0,0.0,13.94944398799392
7,0,0.0,13.09481683167303
8,1,0.0,9.897852118864376
9,0,0.0,9.958220590390637
10,0,0.0,9.217486612576748
11,1,0.01,7.824042615251348
12,1,0.02,7.800437640577091
13,2,0.04,9.57549302755189
14,2,0.06,9.666511506661505
15,3,0.08,8.16829577547775
16,2,0.1,7.937295368734622
17,2,0.12,8.41762905355849
18,2,0.14,8.415258017206163
19,2,0.16,8.298084743496577
20,2,0.18,7.687669061095221
21,1,0.01,7.735987541410638
22,1,0.02,8.025810002725969
23,4,0.04,7.4368698457762195
24,2,0.06,8.349250705270048
25,2,0.08,8.673818909594743
26,3,0.1,8.29468554253892
27,3,0.12,8.255658886005206
28,2,0.14,8.338769116223093
29,5,0.19,8.205553094998727
30,6,0.24,7.557194189986158
31,7,0.3,6.663620838946291
32,7,0.34,6.885465541786632
33,8,0.42,6.3277041658026185
34,9,0.51,6.371071233564272
35,10,0.61,6.1083518356987625
36,11,0.72,6.232348835585526
37,11,0.83,6.417067159244706
38,11,0.94,6.234501483239979
39,11,1.05,5.766633339298968
40,11,1.16,5.572640927287802
41,9,0.67,5.553290077912846
42,6,0.73,5.918552165268424
43,5,0.78,5.817507167939674
44,5,0.62,5.34036675139929
45,8,0.63,5.434606583461383
46,9,0.71,5.885534716726553
47,10,0.8,5.606045262079666
48,10,0.9,5.28738872722885
49,13,1.03,4.881170537864261
50,16,1.19,4.400237074418881
51,16,1.35,3.7575035727056343
52,17,1.52,3.5257004218821737
53,18,1.7,3.6129771620071036
54,18,1.88,3.2996991725628235
55,20,2.08,3.6356489637414304
56,23,2.3,3.8136152175739193
57,22,2.52,2.9319145237204025
58,22,2.74,2.1869252199856306
59,22,2.96,2.1570729713705936
60,23,3.18,1.9988989375285087
61,17,2.19,1.637256915830619
62,12,2.31,2.3847717940457085
63,9,2.39,3.262412640231838
64,8,1.7,4.274425793963496
65,9,1.77,5.114679108683848
66,7,1.83,6.006199721594097
67,7,1.88,6.034961531150765
68,7,1.93,6.020572773088853
69,6,1.99,6.441996440897262
70,11,2.09,6.582686359082742
71,10,2.19,6.909194008155903
72,11,2.3,7.075168793227992
73,11,2.41,7.019005989691071
74,12,2.53,6.975868358997914
75,12,2.65,6.927753200377353
76,13,2.78,7.308752579577078
77,14,2.92,7.20594940408758
78,15,3.07,6.883175002080321
79,15,3.22,6.447888976066089
80,15,3.37,6.41640815570458
81,14,2.77,6.743890683723923
82,13,2.9,6.039179491264647
83,12,3.02,5.65237043253725
84,12,2.83,5.279038560972265
85,13,2.94,5.126180432849976
86,11,3.05,5.560774153093306
87,11,3.16,5.195657789856271
88,12,3.28,5.240411433050819
89,12,3.4,5.2558852443013615
90,13,3.53,5.021607298241618
91,14,3.67,4.985925270607185
92,14,3.81,3.7027543810168333
93,16,3.97,3.8448230837244273
94,16,4.13,3.557664397742818
95,16,4.29,3.7210371750156006
96,17,4.46,4.096473283887404
97,18,4.64,3.7695133271022376
98,19,4.83,3.4616749853458857
99,19,5.02,2.7360127485952335
100,20,5.22,2.4679545248191745
101,14,3.4,2.392740270121464
102,10,3.5,3.23087126723676
103,9,3.59,3.62452584443164
104,7,2.84,3.887264360338024
105,9,2.85,3.5432027116417406
106,8,2.92,4.472244666585426
107,9,2.99,4.4985461859654645
108,8,3.06,4.521232648502018
109,9,3.15,5.05080873553807
110,11,3.25,4.745545022427757
111,11,3.36,5.244011436456339
112,14,3.5,5.549384425555353
113,14,3.64,5.93182638442802
114,15,3.79,6.2421778552353935
