step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,correlation_obs,correlation_wait,diff_reward,total_stop_signal1,total_stop_signal2,total_stop_signal3,total_stop_signal4,total_wait_time_signal1,total_wait_time_signal2,total_wait_time_signal3,total_wait_time_signal4,total_energy_consumption_signal1,total_energy_consumption_signal2,total_energy_consumption_signal3,total_energy_consumption_signal4,avg_speed_signal1,avg_speed_signal2,avg_speed_signal3,avg_speed_signal4
15.0,0.0,1,0.0,0.0,10.619101547171493,0.9973317059428292,1.0,0.125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.226852738905883,11.017341481558976,11.4686895267661,11.130281721261056
20.0,0.0,3,0.0,0.0,5.548378704867516,0.9881945815315952,1.0,0.375,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1233993203660373,0.0264248511722658,11.765085136387055,5.561552751149204
25.0,0.0,1,0.0,0.0,9.915434602783684,0.9961894255848268,1.0,0.375,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.868917839391587
30.0,0.0,4,0.0,0.0,8.300521880193054,0.9903406427649856,1.0,0.625,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.43684167247368,0.0,4.757265418673057
35.0,0.0,4,0.0,0.0,7.144095392304304,0.9901466286931012,1.0,0.625,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.91030232052058,0.0,0.0
40.0,0.0,4,0.0,0.0,7.8662645203054655,0.9939086386462213,1.0,0.625,0,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.273471108055674,6.921840566846386,11.45067980761202,5.86222860525595
45.0,0.0,6,0.04,0.0025,7.156975920087483,0.9896121773326404,1.0,0.625,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.334671344947362,0.0303246849302246,14.057141040595802,8.071230186007709
50.0,0.0,7,0.09,0.005625,7.33622821029801,0.9881946949675932,1.0,0.625,0,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.545150373004669,4.358529158238508,10.54793634785688,8.010381978406672
55.0,0.0,14,0.14,0.00875,4.779846074861769,0.9808556307676451,1.0,0.875,0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.959975559021638,4.601948864671898,0.0002340702288064,5.544697524228578
60.0,0.0,11,0.19,0.011875,5.172965346678953,0.9779223128959365,1.0,1.0,0,2,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.851852457916808,0.0,4.450080854515261
