step_time,total_stopped,avg_wait_time,avg_speed
15,4,0.013125,5.791481522264178
20,5,0.0275,4.327260748466373
25,6,0.044375,6.000873671932264
30,6,0.063125,6.009781105486457
35,6,0.081875,4.898584844029172
40,8,0.105,6.62397339465205
45,10,0.126875,3.878170730420573
50,11,0.1175,4.171726134762492
55,20,0.154375,2.243024956869982
60,16,0.201875,2.6703352697059763
65,19,0.25,1.6896429145281389
70,21,0.313125,0.1504483874745645
75,24,0.385,1.856568988040775
80,25,0.46125,2.460933930972547
85,27,0.54375,1.526716037964868
90,28,0.63125,0.8149904874978877
95,16,0.42625,6.426758502456785
100,20,0.4806249999999999,5.724583896741585
105,20,0.54125,4.974068131508782
110,25,0.608125,3.086489546450726
115,30,0.686875,4.228119530219236
120,31,0.766875,3.827002919826424
125,34,0.85,2.35087089297832
130,35,0.9475,2.578426962003371
135,40,1.0456249999999998,1.8543296015648856
140,33,0.87,2.9950615407275225
145,44,0.974375,2.748288393809315
150,36,1.05125,4.04101262152727
155,46,1.134375,1.5788912160102722
160,51,1.241875,0.693990343422825
165,53,1.344375,0.7706991572996585
170,55,1.448125,1.0733806124141347
175,54,1.538125,0.8297146724082223
180,59,1.63875,0.2067794601856992
185,11,0.609375,7.5012463773972575
190,14,0.2987499999999999,8.738171998631037
195,12,0.1856249999999999,9.183312936630612
200,19,0.27125,7.091983144110774
205,28,0.291875,6.551129507632966
210,41,0.330625,5.2191658280141136
215,37,0.3975,5.811892413108499
220,38,0.4575,5.243161959531975
225,56,0.5293749999999999,3.6935018222766383
230,44,0.370625,4.857432907258998
235,55,0.4156250000000001,4.36566258331669
240,60,0.53625,4.317675254576855
245,72,0.6325000000000001,2.580887162680653
250,81,0.765,1.5561709835917872
255,99,0.92125,0.8936382873545171
260,95,1.066875,1.167130354239294
265,104,1.229375,0.8079095757380592
270,107,1.389375,0.6832147123386443
275,59,0.785,5.142174169009154
280,57,0.76375,6.212584200817339
285,61,0.87625,5.804858259916384
290,65,1.19,5.228849934907235
295,76,1.401875,4.613123744538549
300,89,1.6275,4.142017089753281
305,89,1.875,3.886335849850615
310,94,2.09875,3.02775208033672
315,104,2.323125,2.3136562480780203
320,88,2.220625,3.1763936822771024
325,99,2.066875,2.776762667757885
330,106,2.153125,3.0333129520431727
335,117,2.376875,1.918452823112557
340,127,2.604375,1.4107097018972374
345,147,2.854375,0.5309779683352404
350,148,3.10375,0.7302531827724391
355,150,3.3281250000000004,0.5464005345453217
360,158,3.555625,0.2344464958423736
365,78,2.27875,4.107175172819951
370,40,1.181875,6.518581024839395
375,37,0.72,7.354049326157211
380,49,0.6862499999999999,6.433457770548855
385,70,0.843125,5.540339336942861
390,84,0.971875,5.438205266959168
395,81,1.120625,5.52737639140526
400,85,1.295625,5.0126745462937725
405,102,1.35625,4.207633531212786
410,104,0.966875,3.4308723560144374
415,116,1.0074999999999998,3.386746370162009
420,125,1.1525,3.071792109729399
425,145,1.246875,2.039711399199509
430,173,1.3537499999999998,1.2265358381594715
435,179,1.505,1.0740628581384826
440,188,1.655625,1.0942864203141247
445,203,1.8675,0.5871416282369198
450,203,2.060625,0.6896588468784326
455,125,0.7006249999999999,3.805731886036405
460,117,0.495625,4.29488821910129
465,119,0.6387499999999999,4.809657525263828
470,125,0.964375,4.370588419556724
475,135,1.343125,3.8488163339395767
480,145,1.675625,3.2537363281460627
485,155,2.07,3.0758577211086604
490,172,2.413125,2.545778162152578
495,197,2.785,1.4629448218506205
500,184,3.07875,1.6413847132465078
505,194,3.298125,2.08694264881969
510,200,3.60375,1.870341135108556
515,206,3.978125,1.8278139467622585
520,223,4.359999999999999,1.5065084638773794
525,232,4.715,1.1132481115159607
530,240,5.08,0.7471889689646434
535,247,5.385625,0.8392241251299775
540,250,5.688124999999999,0.4532785546488033
545,155,4.19375,3.117031129174165
550,88,2.738125,5.013000318577326
555,81,2.155,5.734049059690673
560,95,1.701875,5.195076522946546
565,103,1.480625,5.105142657006467
570,110,1.4199999999999997,4.888226513363127
575,125,1.5000000000000002,4.243331749292206
580,147,1.574375,3.7895361843454674
585,186,1.74375,2.522775433553453
590,200,1.729375,2.035540769074897
595,220,1.734375,1.9938440246713216
600,221,1.83625,2.153556036205812
605,218,2.07125,1.697456277773057
610,244,2.33875,1.3013131414774404
615,259,2.63875,1.0041810717956186
620,276,2.90125,0.7906518215874833
625,292,3.18,0.5793128225295463
630,304,3.444375,0.4618379814576323
635,205,2.2125,2.793771739080588
640,174,1.638125,4.07807035540733
645,171,1.6912500000000004,4.235253669722623
650,183,1.84125,3.956840996666776
655,204,2.173125,3.4491256649480992
660,223,2.574375,2.84763388213327
665,229,3.069375,2.3880631242642822
670,243,3.613125,2.2166789684403674
675,260,4.130625,1.6557125470829892
680,225,4.418125,2.4490164813476603
685,210,4.50625,2.866831099889943
690,205,4.493124999999999,3.1663570116696023
695,218,4.584375,2.678018489546045
700,257,4.68375,1.6579235970306132
705,282,4.921875,1.2230736610509787
710,304,5.255,0.6946276776460628
715,324,5.57375,0.4908715382596914
720,337,5.905625000000001,0.3959469871184757
725,227,4.83375,2.584550033904522
730,158,3.658125,4.094373327482907
735,127,3.02875,4.469825753300375
