step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,correlation_obs,correlation_wait,diff_reward,total_stop_signal1,total_stop_signal2,total_stop_signal3,total_stop_signal4,total_wait_time_signal1,total_wait_time_signal2,total_wait_time_signal3,total_wait_time_signal4,total_energy_consumption_signal1,total_energy_consumption_signal2,total_energy_consumption_signal3,total_energy_consumption_signal4,avg_speed_signal1,avg_speed_signal2,avg_speed_signal3,avg_speed_signal4
15.0,0.0,3,0.0,0.0,8.452871031050584,0.9904853516303518,1.0,0.24,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.696018817572485,0.0,4.011585708997733,0.0001686177294868
20.0,0.0,4,0.0,0.0,6.083168042638807,0.9846290575845508,1.0,0.32,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3545387538453738,0.0,0.0091759363965545,0.0
25.0,0.0,6,0.0,0.0,7.204651465790764,0.9862173404623752,1.0,0.48,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0,0.0,8,0.0,0.0,5.626319535298923,0.9826907895242856,1.0,0.56,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35.0,0.0,6,0.0,0.0,6.286514051845099,0.986429773996622,1.0,0.56,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,0.0,6,0.27,0.0108,9.183440447026443,0.9941172142587072,1.0,0.425,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.56603079958586,0.0,9.213030810351484,11.910487785407277
45.0,0.0,5,0.19,0.0076,8.84297237903921,0.9925258129731432,0.9546758858853156,0.2066666666666666,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.837399524303943,0.0,13.833410288770384,11.791098411707182
50.0,0.0,6,0.3,0.012,8.534123397325489,0.9909082147272784,0.9893926704148102,0.3130256410256409,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0145130454019841,0.0,0.1910944289092333,10.656977627589342
55.0,0.0,11,0.14,0.0056,7.068062862453587,0.9882831886821511,1.0,0.32,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.12505182209422
60.0,0.0,7,0.29,0.0116,9.45220923877378,0.9917580934580252,1.0,0.48,2,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.488011111726491
65.0,0.0,8,0.21,0.0084,7.932866410002435,0.9825503779352394,1.0,0.56,2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0236581800657702
70.0,0.0,10,0.06,0.0024,7.436947635729593,0.979435470213449,1.0,0.5519191919191919,2,0,1,1,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,6.600187991156284,8.881387434639208
75.0,0.0,5,0.1,0.004,7.565330058405974,0.9889574010017907,1.0,0.8581818181818182,0,0,1,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,4.555345802546171,7.656079900916666,6.162541071452538,11.111934949460922
80.0,0.0,6,0.06,0.0024,10.093131074019729,0.9918119146904733,0.9942809041582062,0.8355555555555556,0,0,1,1,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,12.953281783324242,14.089847562359267,8.714919725068464,9.17795254412708
85.0,0.0,5,0.06,0.0024,10.31635927226419,0.9894093227908424,1.0,0.72,0,0,1,0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,11.661843510286458,13.690078048607887,8.949311833027602,13.307029179372153
90.0,0.0,6,0.07,0.0028,11.019936343459232,0.9935579376985904,1.0,0.56,0,0,1,1,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,10.918717654480174,0.0,9.389500496196533,3.952992049131836
95.0,0.0,6,0.16,0.0064,10.807644196884004,0.99502267527335,0.9047619047619048,0.56,0,0,1,2,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,7.651427993527909,13.200375982312568,9.092667056408215,0.0025833713992023
100.0,0.0,11,0.31,0.0124,8.633074195642767,0.9811389056595652,0.989199023314874,0.64,1,0,2,2,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,11.759981029652142,6.591029672993367,0.0
105.0,0.0,8,0.1999999999999999,0.008,7.4619005275852945,0.9738122491508132,0.9094531042486358,0.7966666666666665,0,0,1,0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,11.512430817572485,5.998587950026688,1.7201504583534402
110.0,0.0,19,0.06,0.0024,6.473011116087446,0.963466559052516,0.9615772971990568,0.865934065934066,0,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.337922479840927,7.511388763836161,1.525188343236371,2.4763443487380714
115.0,0.0,8,0.06,0.0024,8.364069319928191,0.978313050768136,0.9471687836487032,1.04,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7472563982210016,7.874070577131476,12.471586381998964,3.026645939216197
