step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,correlation_obs,correlation_wait,diff_reward,total_stop_signal1,total_stop_signal2,total_stop_signal3,total_stop_signal4,total_wait_time_signal1,total_wait_time_signal2,total_wait_time_signal3,total_wait_time_signal4,total_energy_consumption_signal1,total_energy_consumption_signal2,total_energy_consumption_signal3,total_energy_consumption_signal4,avg_speed_signal1,avg_speed_signal2,avg_speed_signal3,avg_speed_signal4
15.0,-0.8725000000000023,2,0.12,0.0048,9.534949169978182,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,0,1,0,0.09,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,12.065449531782091,0.0001249525823926,14.714326107983728
20.0,-0.045,3,0.25,0.01,6.396746839008359,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,0,1,1,0.14,0.0,0.08,0.03,0.0,0.0,0.0,0.0,0.0,0.2171634791109818,0.0,6.953150165915575
25.0,-0.025,4,0.45,0.018,8.917301802508062,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,1,1,1,0.19,0.05,0.13,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.568010480053802
30.0,-0.0374999999999999,6,0.68,0.0272,6.157249661597258,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,1,1,1,0.24,0.1,0.18,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.505615221771025
35.0,-0.0374999999999999,10,1.13,0.0452,4.044717212813077,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,1,1,2,0.29,0.15,0.23,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028029267388918
40.0,-0.0374999999999999,9,1.3600000000000003,0.0544,7.017488977403263,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,0,1,2,0.34,0.0,0.28,0.31,0.0,0.0,0.0,0.0,6.3197300644242205,10.73114126222208,6.3197300644242205,3.234186567231081
45.0,0.0124999999999999,9,1.5,0.06,7.213833159022265,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,1,2,0.0,0.0,0.33,0.41,0.0,0.0,0.0,0.0,13.402776643550382,14.488306416599652,6.892519651848249,3.261590150166303
50.0,0.17,7,1.75,0.07,7.156076824396507,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,1,2,0.0,0.0,0.38,0.51,0.0,0.0,0.0,0.0,0.0,0.0,6.299918342084982,5.504379633547355
55.0,-0.0075,14,2.19,0.0876,6.2583850010343,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,1,2,0.0,0.0,0.43,0.61,0.0,0.0,0.0,0.0,0.0,0.0,4.993237742367947,6.6065238057497
60.0,0.0,12,2.7299999999999995,0.1092,7.327384231924558,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,2,3,0.0,0.0,0.52,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0008608806798299,4.4826890470515774
65.0,0.0,11,3.04,0.1216,7.567090110432613,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,2,3,0.0,0.0,0.62,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.503791966519415
70.0,0.0,12,3.57,0.1428,7.419391467198587,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,2,3,0.0,0.0,0.72,1.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.572962021615453
75.0,0.0075,13,4.18,0.1672,6.556568168062117,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,2,4,0.0,0.0,0.82,1.19,0.0,0.0,0.0,0.0,7.474915913771838,6.783756903023459,2.6621622372961915,3.2832708005987583
80.0,0.0,19,5.0,0.2,5.704383696531562,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,2,4,0.0,0.0,0.92,1.39,0.0,0.0,0.0,0.0,1.8525968857001425,10.80931186816203,4.338531420046116,2.46006867874635
85.0,0.0,21,6.03,0.2412,5.905174829593117,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,2,5,0.0,0.0,1.02,1.62,0.0,0.0,0.0,0.0,0.0,0.0,4.12628303055936,1.763693828334737
90.0,0.0,22,7.010000000000001,0.2804,4.728366705436877,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,3,5,0.0,0.0,1.14,1.87,0.0,0.0,0.0,0.0,0.0,12.385130351282038,0.0001139055273128,1.883741395342576
95.0,0.0,25,8.26,0.3303999999999999,4.387828009327196,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,3,5,0.0,0.0,1.29,2.12,0.0,0.0,0.0,0.0,0.0,12.955419535388552,0.0,0.4039709245772656
100.0,0.0,30,9.63,0.3852,3.574478324044116,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,3,6,0.0,0.0,1.44,2.4,0.0,0.0,0.0,0.0,0.0,11.764036531782091,0.0,6.473229208284705e-05
105.0,0.0,30,11.12,0.4448,3.6292433364370136,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,3,6,0.0,0.0,1.59,2.7,0.0,0.0,0.0,0.0,0.0,12.378700469376833,0.0,0.0
110.0,0.0,31,12.679999999999998,0.5072,3.05487001923412,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,3,6,0.0,0.0,1.74,3.0,0.0,0.0,0.0,0.0,4.793078232905828,1.5648544678751326,0.6976882184972055,0.6143141288443336
115.0,0.0,34,14.349999999999998,0.574,4.030527526217801,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,1,3,6,0.0,0.05,1.89,3.3,0.0,0.0,0.0,0.0,14.947466961928836,6.431113293856026,3.452606210279618,1.880627686332412
120.0,-0.0125,41,16.269999999999996,0.6507999999999999,2.925509455298383,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,2,3,7,0.0,0.11,2.04,3.63,0.0,0.0,0.0,0.0,0.0,0.0020280022302278,3.611277965477776,0.0002011101500053
125.0,-0.015,40,18.140000000000004,0.7256,2.81434227925562,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,1,3,7,0.0,0.06,2.19,3.98,0.0,0.0,0.0,0.0,0.0,6.984970975262676,3.312789820397505,0.0
130.0,0.0125,42,20.24000000000001,0.8096000000000001,2.851088647370569,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,1,3,7,0.0,0.11,2.37,4.33,0.0,0.0,0.0,0.0,0.0,7.528705719104599,2.499890679849247,0.0
