step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,correlation_obs,correlation_wait,diff_reward,total_stop_signal1,total_stop_signal2,total_stop_signal3,total_stop_signal4,total_wait_time_signal1,total_wait_time_signal2,total_wait_time_signal3,total_wait_time_signal4,total_energy_consumption_signal1,total_energy_consumption_signal2,total_energy_consumption_signal3,total_energy_consumption_signal4,avg_speed_signal1,avg_speed_signal2,avg_speed_signal3,avg_speed_signal4
15.0,-0.5249999999999773,0,0.0,0.0,15.653117111824384,0.9885189204368682,1.0,0.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.353651909726129,18.583269230196,15.472545249749643,0.375
20.0,0.0,3,0.0,0.0,16.302254391999533,0.9853035660650038,1.0,0.75,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7729357382691906,9.427792880272456,8.905257683243029,0.0
25.0,0.0,2,0.0,0.0,17.219307309518435,0.9869747004295686,1.0,0.75,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.985103805508448,2.6504458557840427,18.141660713209586,12.262626252916942
30.0,0.0,2,0.0,0.0,18.1812240202588,0.9892403484750756,0.9999999999999998,0.5,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.162096228737627,11.746660276875408,20.38426892763144,12.815575568180943
35.0,0.0,2,0.0,0.0,17.775942146608916,0.9834140567680878,1.0,0.5,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.298299636945329,10.042732298554778,12.220313921039567,0.0
40.0,0.0,4,0.0,0.0,17.49041378207682,0.9773092443435504,1.0,0.75,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.536895108015524,2.274842411710164,8.831645459094517,10.931445571976036
45.0,0.0,3,0.0,0.0,16.880486588278412,0.9758951231106808,1.0,1.0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.065152431187582,13.795464896320764,14.01639661364628,0.4543127495552421
50.0,0.0,5,0.0,0.0,16.232557531907997,0.9703209366684196,0.9999999999999996,0.75,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.979720110524712,2.446245534444959,22.02427339804984,0.1077428209645073
55.0,0.0,10,0.0,0.0,15.294133090940644,0.958295323505718,1.0,1.0,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.235194037241575,0.4703901274879241,15.240337568534189,7.543393515759335
60.0,0.0,12,0.0,0.0,14.231499684508131,0.9525968358495678,1.0,1.25,0,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.632756418587325,3.6292880195982895,14.77422503844759,7.696002157978569
65.0,0.0,15,0.0,0.0,12.82337662367664,0.9485136161449454,1.0,1.25,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.40495396183515,1.1014218023523503,14.258800110477663,0.0
70.0,0.0,18,0.0,0.0,11.99128140723308,0.9442646931867568,1.0,1.0,0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.271980771896256,4.058180031676769,12.383234581686942,0.0
75.0,0.0,23,0.0,0.0,10.702704744667406,0.9314314920278636,1.0,1.0,0,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.90095630040714,1.9912034917635013,6.849981221358959,6.674213527754873
80.0,0.0,29,0.02,0.0025,10.21393946741139,0.9255777104146587,0.8051994377677013,1.2391304347826086,1,3,0,2,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5452697049490791,0.5033554279195636,12.750630708090483,2.301601600070675
85.0,-0.005,32,0.87,0.10875,9.61732097910625,0.9276480097188768,0.9116897692231812,0.9314814814814816,0,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.812236475954167,2.658905678359368,10.640830768315968,6.804968267126353
90.0,0.005,37,1.67,0.20875,9.156567482705238,0.9233165858754028,0.919331748006318,0.7037037037037037,0,3,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.182924885380872,1.3038650777994811,11.285933838375444,4.724600395878325
95.0,0.0,44,2.06,0.2575,9.04125888788322,0.9244731885836096,0.8711824166508416,0.801047619047619,0,4,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.117279540930564,0.219755062890196,5.559307922693299,4.39989744742035
100.0,0.0,45,5.08,0.635,8.951221180355937,0.9461953525501164,0.94478219838964,0.3736764840811083,0,4,0,4,0.0,0.0,0.0,1.53,0.0,0.0,0.0,0.0,4.561462761987381,1.5177312947881365,10.403944103177102,4.431063677051899
105.0,0.0,47,5.03,0.62875,7.961525690518663,0.9365228591199308,0.954378259092741,0.370584801504463,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.643148582755911,0.9891724125847242,8.59566371648444,3.324638922559858
110.0,0.0,44,6.199999999999999,0.7749999999999999,7.38726702691384,0.9410888664963536,0.9551163782618136,0.5087267845155515,0,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7090495503440133,7.213759064917904,5.8435211544869405
115.0,0.0,33,7.220000000000001,0.9025,7.473562293461411,0.934511288892715,0.9812934190220124,0.6054961577013032,0,6,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.50414809945578,0.9164482936344526,14.022735855315362,1.776893718390149
120.0,0.0,27,6.47,0.80875,8.110050895518347,0.9375976347434578,0.9858902496098532,0.684108527131783,0,7,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42663153194726,0.4866452869305584,6.519456700845959,0.4050181068847709
125.0,0.0,28,6.11,0.7637499999999999,8.903392489295156,0.9432446100194096,0.9747080434331662,0.65061115355233,0,7,0,3,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,9.609314877014176,1.470387733074026,11.494947153144254,1.6794872188410896
