step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,correlation_obs,correlation_wait,diff_reward,total_stop_signal1,total_stop_signal2,total_stop_signal3,total_stop_signal4,total_wait_time_signal1,total_wait_time_signal2,total_wait_time_signal3,total_wait_time_signal4,total_energy_consumption_signal1,total_energy_consumption_signal2,total_energy_consumption_signal3,total_energy_consumption_signal4,avg_speed_signal1,avg_speed_signal2,avg_speed_signal3,avg_speed_signal4
15.0,-0.525000000000091,0,0.02,0.0025,16.299160922057382,0.9978111793175252,1.0,0.0,0,0,0,0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,2.368882440529327,18.92560395011953,15.535705924751054,0.375
20.0,-0.005,3,0.0699999999999999,0.0087499999999999,17.03906383944608,0.995191271745234,1.0,0.15,1,0,0,1,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7832284897726267,9.389072274603432,9.797449187890315,0.0
25.0,-0.0249999999999999,1,0.0,0.0,16.79161863541545,0.9944667394678977,1.0,0.375,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.71189422107782,2.618239975665768,8.815357690954354,0.0
30.0,0.03,1,0.0,0.0,16.615125866044067,0.9952612577634866,0.9999999999999998,0.25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.151146400189737,11.528074612882696,7.224082194089577,4.431630900969561
35.0,0.0,1,0.0,0.0,16.01303997576699,0.9937661201039538,1.0,0.25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.20998523153714,19.82125728434209,6.569896204837571,4.387726034897298
40.0,0.0,1,0.0,0.0,15.265248296491231,0.9884241587318996,1.0,0.25,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.737540976512554,2.267951551524253,9.332958820806097,6.505676009951921
45.0,0.0,2,0.01,0.00125,15.726562153166707,0.9908623461807688,1.0,0.5,1,0,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,7.180372290040304,6.541521580104615,6.757069831594179,6.252789537017013
50.0,0.0,3,0.01,0.00125,15.613186645166207,0.9841516313827928,0.9999999999999998,0.65,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.596731725077725,2.507803404529793,7.176528200131054,4.701269335946104
55.0,0.0,7,0.13,0.01625,15.06016065169285,0.9805064629345268,1.0,1.0,1,1,1,1,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.4874408050047533,2.528909993525728,1.6980729967905694
60.0,0.0,8,0.73,0.09125,14.060016375897298,0.9785262384165644,0.9516478819195888,0.4265536723163842,1,1,1,0,0.0,0.0,0.03,0.02,0.0,0.0,0.0,0.0,6.715632364701192,4.911741363473634,11.888313860927926,1.549317914649768
65.0,0.0,9,0.5,0.0625,13.246643616447036,0.9793630614930666,0.8634999165641426,0.008695652173913,1,2,1,0,0.18,0.0,0.01,0.0,0.0,0.0,0.0,0.0,7.324891793031774,5.985266601944886,4.926053690919199,4.407030045512445
70.0,-0.09,11,1.12,0.14,12.169938876529647,0.9683646334389268,0.9987388589811156,0.1490570979570456,1,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.812793018860872,4.325197969103058,4.727733425871385,2.383976722475896
75.0,0.09,15,1.47,0.18375,11.272276308385084,0.9709107011098824,0.9995767361864736,0.7222222222222222,0,3,2,2,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,5.805990556073648,7.107610251139275,7.262816701052371,1.333947110767503
80.0,0.0,12,1.39,0.17375,10.609343048932592,0.9729421729518792,0.9991300537464276,0.55,0,3,2,1,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,6.033561417049519,0.4655081073012453,1.1961967944596603,1.3093032897243322
85.0,0.0,11,1.21,0.15125,11.058083232029444,0.972697309375344,0.998513891399615,0.543103448275862,0,3,3,0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,11.286052282811053,2.664581323710474,2.0994391149571947,1.5735241524164445
90.0,0.0,12,1.42,0.1775,11.051065036143807,0.973296546092252,0.99789218979761,0.5555555555555556,0,3,3,0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,9.947213970403933,1.280717920618195,2.992379297307369,3.301207786963615
95.0,0.0,14,2.47,0.30875,11.412504709410056,0.9806002886744234,0.9975689668792226,0.1559579439252335,0,4,4,0,0.0,0.0,0.87,0.01,0.0,0.0,0.0,0.0,7.201926642379518,0.2149167172977283,3.9926059553951263,4.437812021814434
100.0,0.0,16,2.23,0.27875,11.748871591689348,0.9764664081450036,1.0,-0.0002730449978155,0,4,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.596786126047837,1.4903031805534088,2.220877792426285,2.868940196039908
105.0,0.0,18,2.38,0.2975,11.793171154468258,0.9715300140040812,1.0,0.5,0,5,5,0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,7.715031709516791,0.992913965594245,3.821929005734493,2.208481063838024
110.0,-0.005,21,2.95,0.36875,11.522318893576251,0.9717923461389382,1.0,0.5,1,5,6,0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9707802245468884,1.6900799804320332,0.8400976585259954
115.0,-0.0249999999999999,23,3.65,0.45625,10.960843874942425,0.9738805144452344,0.9692782869151796,0.3125,0,5,6,0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,9.131655643818917,0.94089462436209,4.427193652622481,3.120207909700069
120.0,0.03,21,5.65,0.70625,10.834333221970915,0.983789756500704,1.0,0.0588235294117646,0,6,6,0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,3.5980000261392826,0.6283743412299757,5.506675920554634,5.209607092047693
125.0,0.0,20,6.08,0.76,12.14177066283264,0.9752184533908796,1.0,0.25,0,6,6,0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,9.521635327205658,6.1377129385743405,2.6194018168226787,7.482328960283891
130.0,0.0,23,6.949999999999999,0.8687499999999999,12.697189488360925,0.9689064496832924,1.0,0.5,0,7,6,0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,8.482373279415771,3.1263154817350216,0.875087048119684,3.2692158398947577
135.0,0.0,26,7.77,0.97125,12.436195098123743,0.9645664013239824,0.9996257889624564,0.5625,1,7,7,0,0.01,3.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0219618271109627,0.2626649357935806,3.404849339098208,1.7028019385332227
140.0,-0.005,30,12.27,1.53375,11.251706508983307,0.9946937810222336,0.9918813902137288,0.1978525411596278,0,7,7,2,0.0,3.71,3.48,0.01,0.0,0.0,0.0,0.0,9.275050152464,1.2204443664177962,5.671348632289512,0.8752140641732666
