step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,correlation_obs,correlation_wait,diff_reward,total_stop_signal1,total_stop_signal2,total_stop_signal3,total_stop_signal4,total_wait_time_signal1,total_wait_time_signal2,total_wait_time_signal3,total_wait_time_signal4,total_energy_consumption_signal1,total_energy_consumption_signal2,total_energy_consumption_signal3,total_energy_consumption_signal4,avg_speed_signal1,avg_speed_signal2,avg_speed_signal3,avg_speed_signal4
15.0,,0,0.02,0.0025,16.311857438934613,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,0,0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,2.3656284760708983,15.701762486732155,14.502647638661276,0.375
20.0,-0.005,2,0.12,0.015,16.815310303906593,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,0,0,1,0.06,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2.786773668187364,9.732040425608746,6.46197250562833,0.0
25.0,-0.0249999999999999,1,0.1,0.0125,17.472467136206973,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,0,1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,7.023034222383977,0.0,7.632361600449011,0.0
30.0,0.03,1,0.15,0.01875,18.29199501495325,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,0,1,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,7.151298897956318,11.846138334126753,11.9613849351172,0.0
35.0,0.0,1,0.21,0.02625,17.681372279272907,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,0,1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,6.164377250315131,15.133715272608711,16.038011615935897,12.353650346399958
40.0,0.0,3,0.3,0.0375,16.678715412513675,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,0,0,1,0.01,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.742504727703993,6.727252225726772,13.46174697613331,11.961494042208436
45.0,-0.005,3,0.4,0.05,15.490202158103063,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,0,0,1,0.01,0.0,0.0,0.3,0.0,0.0,0.0,0.0,3.5491779501442124,6.743797098419623,0.0,0.4812348138200287
50.0,0.0,5,0.61,0.07625,14.868397386582911,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,1,0,1,0.04,0.02,0.0,0.36,0.0,0.0,0.0,0.0,6.588326884391758,3.549827356169559,13.225287632415494,0.0736193345934126
55.0,-0.015,6,0.8300000000000001,0.10375,14.776374542771338,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,1,0,2,0.0,0.07,0.0,0.45,0.0,0.0,0.0,0.0,4.181003852446122,0.707544181701739,16.334036555030906,8.031890797398535
60.0,0.02,7,1.2000000000000002,0.15,14.98150371965891,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,1,0,2,0.0,0.14,0.03,0.55,0.0,0.0,0.0,0.0,3.840089162510421,3.096107223682885,15.031866716040495,0.0
65.0,0.0,5,1.1,0.1375,14.355704831353096,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,2,0,2,0.0,0.21,0.03,0.65,0.0,0.0,0.0,0.0,7.425543046324236,0.0,13.066378667873153,0.0
70.0,0.0,7,1.14,0.1425,14.637669085122845,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,2,0,2,0.0,0.31,0.0,0.75,0.0,0.0,0.0,0.0,4.227576065963383,6.441431469918186,6.785030569705862,7.355509821810901
75.0,0.0,3,0.96,0.12,14.372825827721496,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,0,2,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,5.778310414714287,11.0382406554694,6.8194253123313215,11.377191219475256
80.0,0.0,4,0.26,0.0325,14.517850959578883,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,0,1,0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,1.605354241571863,8.166729684307082,8.911347418390708,9.157628333654126
85.0,-0.005,4,0.22,0.0275,14.435051767845126,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,1,0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,7.07214288425637,17.113245200440993,5.250125239510701,6.08994755680846
90.0,0.005,6,0.38,0.0475,13.81465608220497,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,1,0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,10.860608390518538,0.0,8.384344376089588,3.2217783210096216
95.0,0.0,1,0.28,0.035,13.56423873843815,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,1,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,5.348780543201428,0.0,6.160415802528439,4.662317624963211
100.0,0.0,1,0.32,0.04,14.106692283220257,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,1,0,0.0,0.06,0.24,0.0,0.0,0.0,0.0,0.0,2.7477938059887985,11.185297138006788,8.69205535058095,8.505915354373627
105.0,0.0,4,0.55,0.06875,13.905852019604287,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,2,0,0.01,0.06,0.33,0.0,0.0,0.0,0.0,0.0,6.7109676423063815,7.873316942552715,8.568160704384988,11.791118086896144
110.0,-0.005,8,0.8400000000000001,0.1049999999999999,13.961892830754383,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,0,3,0,0.06,0.03,0.47,0.0,0.0,0.0,0.0,0.0,0.0,7.249480169432616,3.802519217308142,8.200690220384658
115.0,-0.0249999999999999,8,0.98,0.1225,13.278435880608166,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,4,0,0.0,0.0,0.65,0.0,0.0,0.0,0.0,0.0,9.440461036953945,5.757171185942654,2.9483329156318208,4.225966483704674
120.0,0.03,4,0.63,0.07875,12.977548191899508,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,1,0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,2.568062593870782,3.976203937913582,3.797773397687558,5.357455332496353
125.0,0.0,1,0.38,0.0475,13.062593275789538,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,0,0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,9.651659261961186,9.864240191414144,8.085555780128669,2.440310840617034
130.0,0.0,1,0.18,0.0225,12.98889005408714,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,1,0,0,0.0,0.07,0.01,0.0,0.0,0.0,0.0,0.0,5.617919572018621,7.697951237184545,10.778057216501958,8.707196626809868
135.0,0.0,3,0.36,0.045,12.44428964092815,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,1,0,0,0.0,0.15,0.01,0.0,0.0,0.0,0.0,0.0,5.037041505215083,4.65959729289384,6.024496728935301,8.481505773522143
140.0,0.0,3,0.32,0.04,12.663757239816029,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,1,0,0.0,0.07,0.05,0.0,0.0,0.0,0.0,0.0,5.143360753326685,2.816312444388223,9.133855002417448,6.991794049648928
145.0,0.0,4,0.24,0.03,13.212994559672346,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,1,1,0,0.0,0.03,0.1,0.01,0.0,0.0,0.0,0.0,11.6311843325662,1.4782837525581725,10.130059456338126,5.594924405424007
150.0,0.0,4,0.37,0.04625,13.092993048034517,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,1,0,0,0.0,0.07,0.03,0.0,0.0,0.0,0.0,0.0,6.5044655835970175,8.136981025078981,8.469700762056329,1.9578840859574835
155.0,0.0,7,0.69,0.08625,12.131191378868392,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,1,0,0.0,0.1,0.05,0.01,0.0,0.0,0.0,0.0,9.052774975176863,5.812554004607209,2.7017059032523627,1.4245699820535995
160.0,0.0,5,0.6000000000000001,0.075,11.192456405691484,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,2,0,0.0,0.01,0.12,0.0,0.0,0.0,0.0,0.0,2.368389411968494,1.916615091456452,3.771094098815172,5.054108357677101
165.0,0.0,7,0.91,0.11375,11.442256512010292,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,0,3,0,0.01,0.06,0.27,0.01,0.0,0.0,0.0,0.0,4.626771114593658,7.816589662738501,3.8078626501292407,11.553176003163776
170.0,-0.005,6,1.0499999999999998,0.13125,11.839555214113629,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,0,1,0,0.04,0.02,0.2,0.0,0.0,0.0,0.0,0.0,7.570076954132278,6.765955751237127,4.986839721253473,5.438899552890407
175.0,-0.015,9,1.22,0.1525,12.212392881732953,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,1,0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,4.176735707018021,3.7288510962893366,5.962723361106704,7.206669049413221
180.0,0.02,7,1.02,0.1275,12.52487034149518,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,1,0,0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,4.350217869954058,4.880340849872272,5.222234512371233,9.442012126584306
185.0,0.0,5,1.0,0.125,12.20759597071476,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,1,1,0.0,0.02,0.03,0.01,0.0,0.0,0.0,0.0,8.04311518326457,3.4651515365758487,6.6387881017302846,5.044998937753766
190.0,0.0,7,1.38,0.1725,11.387693169516467,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,1,0,1,0.0,0.07,0.03,0.06,0.0,0.0,0.0,0.0,4.144097987682967,2.1898309559404305,8.737122673856204,2.575371700093115
195.0,0.0,6,1.58,0.1975,10.392964027572631,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,1,0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,9.036400036661911,7.332263751046025,4.704794734832957,4.346366426288918
200.0,0.0,8,1.39,0.17375,10.367063032984976,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,1,0,0,0.0,0.08,0.01,0.0,0.0,0.0,0.0,0.0,3.649993646497964,4.733729833641628,4.966714529865245,6.986063231152955
205.0,0.0,8,1.46,0.1825,11.17146499341584,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,4,0,0.02,0.0,0.05,0.0,0.0,0.0,0.0,0.0,5.373973897676494,7.861142618832695,4.543369257819598,13.556888708259516
210.0,-0.01,8,1.83,0.2287499999999999,11.572971967573254,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,3,0,0.02,0.0,0.12,0.0,0.0,0.0,0.0,0.0,5.513109912992866,7.304093376701025,7.68005498235995,10.753974113409493
215.0,0.0,14,2.39,0.29875,11.254078233285451,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,1,3,0,0.05,0.01,0.24,0.0,0.0,0.0,0.0,0.0,3.907481867904565,1.9724363654893176,5.890067667601469,6.949676147068102
220.0,-0.015,14,2.6,0.325,10.873587776576706,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,2,0,0,0.1,0.09,0.04,0.0,0.0,0.0,0.0,0.0,2.647110039154639,4.876828810740316,6.829345111958759,4.13127120968008
225.0,-0.025,9,2.64,0.3299999999999999,10.40336630913945,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,0,0,0,0.01,0.02,0.01,0.0,0.0,0.0,0.0,0.0,4.816213554347951,8.661588482841964,4.822386954910057,5.774475272659413
230.0,0.045,5,2.72,0.3399999999999999,10.186003017842676,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,0,0,0,0.03,0.01,0.04,0.0,0.0,0.0,0.0,0.0,0.0,6.988536711058089,6.866704990961426,6.223454380056194
235.0,-0.0099999999999999,11,3.04,0.38,10.16544408785052,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,3,0,0.0,0.01,0.19,0.0,0.0,0.0,0.0,0.0,7.650099589520193,4.603223806488487,7.826888038265092,6.93984236312032
240.0,0.015,7,3.06,0.3825,9.974321266221883,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,1,0,0.0,0.03,0.16,0.0,0.0,0.0,0.0,0.0,1.6890266337220483,8.348270500988436,6.928630955232997,4.17023861953498
245.0,0.0,8,3.3399999999999994,0.4175,10.15230776469842,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,1,1,0,0.0,0.07,0.24,0.02,0.0,0.0,0.0,0.0,4.4654141345071325,6.493768583353727,5.934401479288896,1.4259977352002613
