step_time,reward,total_stopped,total_wait_time,avg_wait_time,avg_speed,correlation_obs,correlation_wait,diff_reward,total_stop_signal1,total_stop_signal2,total_stop_signal3,total_stop_signal4,total_wait_time_signal1,total_wait_time_signal2,total_wait_time_signal3,total_wait_time_signal4,total_energy_consumption_signal1,total_energy_consumption_signal2,total_energy_consumption_signal3,total_energy_consumption_signal4,avg_speed_signal1,avg_speed_signal2,avg_speed_signal3,avg_speed_signal4
15.0,-0.75,0,0.02,0.0025,15.579899044480731,COMPARE OFF,COMPARE OFF,COMPARE OFF,0,0,0,0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,2.318390937670449,15.82336664742384,15.53387965114104,0.375
20.0,-0.005,2,0.12,0.015,16.299827111953423,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,0,0,1,0.06,0.0,0.0,0.05,0.0,0.0,0.0,0.0,2.745321594651099,9.719007239362528,9.909552751110084,0.0
25.0,-0.0249999999999999,3,0.27,0.03375,16.87337798702153,COMPARE OFF,COMPARE OFF,COMPARE OFF,1,0,0,1,0.12,0.0,0.0,0.1,0.0,0.0,0.0,0.0,3.0846226934429875,2.939219894235509,12.58543060983917,13.189833906262692
30.0,-0.03,4,0.4599999999999999,0.0574999999999999,16.833192426587853,COMPARE OFF,COMPARE OFF,COMPARE OFF,2,0,0,1,0.21,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.976658177955157,11.874497647083928,17.732321044749686,0.0
35.0,-0.045,5,0.7000000000000001,0.0875,15.994623705584267,COMPARE OFF,COMPARE OFF,COMPARE OFF,3,0,0,1,0.35,0.0,0.0,0.2,0.0,0.0,0.0,0.0,2.965439799635471,10.025354318880323,5.2752441639657714,14.600125413446094
40.0,-0.0699999999999999,8,1.02,0.1275,15.668151926552664,COMPARE OFF,COMPARE OFF,COMPARE OFF,4,0,0,1,0.51,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.6944766293298588,7.895415131211777,7.455363773876829,0.0
45.0,-0.08,11,1.4900000000000002,0.1862499999999999,15.388919261681195,COMPARE OFF,COMPARE OFF,COMPARE OFF,6,0,1,1,0.73,0.01,0.03,0.3,0.0,0.0,0.0,0.0,0.456443584832246,13.515707450367968,3.154390641783797,7.817132786236489
50.0,-0.1099999999999999,13,2.1,0.2625,15.099007033191924,COMPARE OFF,COMPARE OFF,COMPARE OFF,6,1,1,1,1.0,0.05,0.08,0.36,0.0,0.0,0.0,0.0,1.2266413613189386,2.544239895131979,5.206395105834429,0.0773722113961509
55.0,-0.135,19,2.9000000000000004,0.3625,14.28916926149939,COMPARE OFF,COMPARE OFF,COMPARE OFF,8,1,2,2,1.33,0.1,0.14,0.45,0.0,0.0,0.0,0.0,0.0063955479685213,0.4977832419458804,2.9713042394206486,11.47804558816085
60.0,-0.165,20,3.85,0.48125,13.58589656990122,COMPARE OFF,COMPARE OFF,COMPARE OFF,8,1,2,2,1.73,0.16,0.22,0.55,0.0,0.0,0.0,0.0,0.2244534101049292,3.578594466288043,5.844504225507753,7.439261120602595
