step_time,total_stopped,avg_wait_time,avg_speed
15,0,0.0,17.00944968098784
20,0,0.0,17.164639672658204
25,0,0.0,16.80574754826581
30,0,0.00125,15.63753559010977
35,0,0.0,15.989107531106688
40,0,0.00125,16.396846841606262
45,0,0.005,15.762859354570812
50,0,0.01625,14.821543945989276
55,0,0.01375,14.446204840456655
60,0,0.02875,13.685999636607953
65,0,0.04375,12.360920009990195
70,1,0.07125,12.15164071667835
75,2,0.0625,11.591195644250009
80,0,0.05875,12.258536461623388
85,0,0.00625,12.45579955815538
90,0,0.01875,12.4638989671946
95,0,0.01625,12.715893122475808
100,1,0.025,12.700337367726105
105,2,0.06375,12.057439458512194
110,2,0.0849999999999999,12.844636710805254
115,1,0.0825,13.994443563465447
120,1,0.1125,14.26174350411141
125,1,0.1575,13.504035552774315
130,2,0.18375,12.288378099984508
135,4,0.25,11.391738727047487
140,6,0.33875,10.328437928539852
145,8,0.48875,9.692294587664785
150,11,0.665,9.108173487480622
155,5,0.595,9.492678025020714
160,6,0.6637500000000001,9.31091833945774
165,7,0.735,8.941715761369313
170,7,0.6425,8.807683803431445
175,3,0.71875,8.910929507499207
180,6,0.775,8.79588807602729
185,5,0.6675,9.50526648662096
190,5,0.515,10.073795429972067
195,5,0.5349999999999999,9.872293220735358
200,5,0.5287499999999999,9.64437384044446
205,10,0.5562499999999999,9.336966508110477
210,7,0.4975,8.953570362004195
215,4,0.5449999999999999,8.85395034063361
220,4,0.49,8.827925860741392
225,4,0.4337499999999999,9.12441184784966
230,3,0.44375,9.353481914629514
235,3,0.415,9.44361397231789
240,5,0.49375,9.117849615093691
245,5,0.41,8.965574347595101
250,5,0.36,8.745293739911936
255,7,0.3175,8.714350815416367
260,6,0.47,9.021338566184154
265,5,0.46375,9.18525773553815
270,8,0.49375,9.141307929545643
275,4,0.40875,9.355694798120762
280,5,0.4237499999999999,9.3977725036865
285,8,0.4999999999999999,8.569630771748287
290,9,0.545,8.253446003299409
295,11,0.6675,8.049712027316815
300,15,0.84625,7.834351498974913
305,11,0.7949999999999999,7.833458819587308
310,11,0.79875,7.427293552938663
315,11,0.82125,7.32578988435047
320,8,0.8300000000000001,7.412251873653297
325,9,0.6375,7.587483386397634
330,7,0.59125,7.195686367569359
335,9,0.8187500000000001,6.6971232296861976
340,14,1.0325,6.65440001593351
345,19,1.38375,6.643360331236005
350,22,1.495,6.272759605818201
355,26,1.94375,5.772879386801488
360,28,2.285,5.352387050054364
365,31,2.73625,4.970415832189162
