step_time,total_stopped,avg_wait_time,avg_speed
15,0,0.00125,15.724597740039131
20,0,0.01125,15.564464137115264
25,0,0.03,14.824319287869637
30,1,0.0562499999999999,14.067070223334598
35,1,0.09125,13.18570238411241
40,2,0.14,11.669803939599914
45,4,0.21375,10.426885284555595
50,4,0.27625,10.646456825983812
55,5,0.3725,10.705982205862224
60,5,0.48875,10.811697116207556
65,6,0.6174999999999999,10.93629195671006
70,7,0.7562500000000001,11.154252946090208
75,8,0.8875,10.739629782346393
80,8,1.05625,10.27773520830499
85,10,1.255,9.518820671666749
90,13,1.5,7.516974812067918
95,5,1.03125,7.9391626936146995
100,6,0.655,9.02879816682472
105,6,0.6487500000000002,9.794409962656292
110,6,0.71625,10.495012675283602
115,6,0.79625,10.998635106937067
120,8,0.91125,11.19132326080971
125,10,1.06875,11.08574597926474
130,14,1.2725,10.638502860666248
135,17,1.5499999999999998,8.944880846169948
140,11,1.2600000000000002,8.616214477072191
145,11,1.225,9.087655037438358
150,10,1.3125,9.396322805875988
155,12,1.46875,9.536550693307314
160,15,1.55875,9.266943573805566
165,17,1.78625,8.851107011951207
170,19,2.0375,8.67681250593833
175,22,2.3225,8.371857581185902
180,26,2.68625,7.300080209881609
185,21,1.87375,6.762519130930677
190,23,1.9275,6.234264281484795
195,28,2.2325,5.482723430825164
200,33,2.79375,4.72226547820212
205,39,3.355,4.20974054188381
210,46,4.092499999999999,3.82277599688144
215,50,4.89375,3.6431992398328807
220,52,5.735,3.475805997153189
225,53,6.356249999999999,3.0374802799783183
230,44,5.682499999999999,3.488537322441279
235,45,5.7725,4.169575188918022
240,44,6.26375,4.727513426805993
245,44,6.84625,4.932625712322005
250,45,7.36,5.030214391896612
255,46,8.08125,4.757275734957936
260,48,8.75375,4.416447678636028
265,52,9.42875,3.985252219187143
270,55,10.13875,3.202324034367644
275,34,8.48375,3.722592481287656
280,26,6.67625,4.564078384741687
285,28,5.57625,5.663294089085562
290,29,4.55,6.936912448017586
295,32,4.4325,7.7500552328727395
300,29,4.1825,8.2431675821088
305,29,3.66625,8.265924110093405
310,31,3.4125,7.885579460907978
315,37,3.4312500000000004,6.708808444229821
320,28,2.2225,6.215817869977454
325,27,1.43625,6.3756455046955445
330,30,0.96,6.702090015223777
335,30,0.9362500000000002,7.076680477931274
340,31,0.89875,7.362312107047693
345,35,0.6437499999999999,7.040174361411757
350,41,1.0237500000000002,6.689781528952541
355,45,1.03625,6.417225738568138
360,49,0.8325000000000002,5.529551690528715
365,41,-0.2225,5.076412114863583
370,46,-0.3325000000000002,4.816128931404133
375,51,-0.1387500000000001,4.454302047128581
380,58,0.2449999999999998,3.82524895329689
385,66,0.87,3.15360265153913
390,73,1.5637499999999998,2.688866717564815
395,78,2.50625,2.64174038729476
400,84,3.42125,2.3959188616131994
405,91,4.21625,2.125450316134578
410,79,4.09,2.44385897575513
415,74,4.4725,2.954904185257243
