step_time,total_stopped,avg_wait_time,avg_speed
15,0,0.00375,15.981911890272212
20,0,0.02,14.921041217560026
25,0,0.0212499999999999,14.927777414636612
30,0,0.035,13.465535679458007
35,1,0.0525,13.83648076912242
40,1,0.08,12.78718051684541
45,2,0.05875,13.008635007742711
50,3,0.11375,12.20065704483974
55,3,0.14875,11.64319550476846
60,4,0.23,10.145553248908788
65,4,0.1975,10.4233656884373
70,5,0.2799999999999999,10.196600789172178
75,2,0.1875,10.33857984883126
80,3,0.2575,10.058881995507148
85,5,0.315,10.239764977354447
90,6,0.4399999999999999,9.751645008727635
95,6,0.43125,10.066585115244749
100,8,0.5750000000000001,9.788720799962052
105,5,0.51125,9.9825031917252
110,8,0.6425,9.118886447041874
115,9,0.6300000000000001,8.581989153479652
120,10,0.8062499999999999,7.663989880286365
125,8,0.7849999999999999,7.464488727933087
130,11,0.99625,6.607723715524752
135,12,1.1175000000000002,6.603363412564164
140,14,1.3975,5.997884192944536
145,7,1.0275,7.097416734389679
150,10,1.16,7.6475162337058675
155,8,1.03375,8.028743986940924
160,9,1.18875,7.136151517381451
165,11,1.3675,6.545043271590125
170,17,1.63125,5.91366992968638
175,17,1.55875,6.126482939281447
180,17,1.83875,5.792103949710168
185,10,1.57,6.633999338734692
190,10,1.6862499999999998,6.893115695341136
195,13,1.67,6.858272931649791
200,17,1.89875,6.217180695099224
205,18,2.0825,5.80330077776379
210,21,2.32375,5.042278973931909
215,23,2.52125,4.901765449393896
220,24,2.81875,4.714293783394718
225,14,2.33625,5.610397766975495
230,11,2.38375,5.433763201382213
235,12,2.1025,5.706327773977871
240,16,2.31,5.474134190304934
245,19,2.48375,5.278669151519114
250,24,2.78875,5.019796311194204
255,23,3.02,4.856159759985427
260,24,3.2775,4.445982394896887
265,16,2.78625,4.984924790659245
270,17,2.9137500000000003,4.780865147124884
275,13,2.3925,5.171002396435171
280,15,2.46625,4.791538031740081
285,20,2.6925,4.592297929558328
290,25,2.90625,4.259664008393777
295,27,3.0962500000000004,4.090619931915055
300,30,3.3775,3.7592503866423135
