net,arch,path,avg_wait_time,total_stopped,avg_speed,method,pr,category
4x4,ppo,1.0,1.7829899497487434,4.73178391959799,5.464014465294073,MAPO-PPO,100%,MAPO-PPO/100%
4x4,ppo,1.0,1.7290672110552765,4.277324120603015,5.76650040979125,MAPO-PPO,100%,MAPO-PPO/100%
4x4,ppo,1.0,1.542372801507538,4.281564070351759,5.7136593759151175,MAPO-PPO,100%,MAPO-PPO/100%
4x4,ppo,1.0,2.8410097361809044,4.895257537688442,5.337193482199912,MAPO-PPO,100%,MAPO-PPO/100%
4x4,ppo,1.0,1.3022393216080401,4.170697236180905,5.822574123517211,MAPO-PPO,100%,MAPO-PPO/100%
4x4,ppo,1.0,1.9138316582914574,4.869346733668341,5.525475129788476,MAPO-PPO,100%,MAPO-PPO/100%
4x4,ppo,1.0,1.4698335427135678,4.2272298994974875,5.8480723438522615,MAPO-PPO,100%,MAPO-PPO/100%
4x4,ppo,1.0,1.6584265075376885,4.37233040201005,5.736128476835398,MAPO-PPO,100%,MAPO-PPO/100%
4x4,ppo,1.0,1.6761871859296484,4.262405778894473,5.639411103989842,MAPO-PPO,100%,MAPO-PPO/100%
4x4,ppo,1.0,1.212446608040201,4.019786432160804,5.989394385545838,MAPO-PPO,100%,MAPO-PPO/100%
4x4,ppo,0.2,1.7569849246231155,4.992619346733668,5.206677248780024,MAPO-PPO,20%,MAPO-PPO/20%
4x4,ppo,0.2,2.8447016331658292,6.162845477386934,4.772983954224035,MAPO-PPO,20%,MAPO-PPO/20%
4x4,ppo,0.2,2.561136934673367,6.4045226130653266,4.693999214531982,MAPO-PPO,20%,MAPO-PPO/20%
4x4,ppo,0.2,1.7377308417085426,5.300094221105527,4.859145964977484,MAPO-PPO,20%,MAPO-PPO/20%
4x4,ppo,0.2,1.6091001884422111,5.395571608040201,4.945817352653478,MAPO-PPO,20%,MAPO-PPO/20%
4x4,ppo,0.2,6.183084170854269,7.062185929648241,4.465032882794394,MAPO-PPO,20%,MAPO-PPO/20%
4x4,ppo,0.2,2.1988787688442213,5.894315326633166,4.742895715278462,MAPO-PPO,20%,MAPO-PPO/20%
4x4,ppo,0.2,2.9003988693467337,6.551036432160804,4.571692280060648,MAPO-PPO,20%,MAPO-PPO/20%
4x4,ppo,0.2,1.797072864321608,5.191582914572864,5.082550767894428,MAPO-PPO,20%,MAPO-PPO/20%
4x4,ppo,0.2,2.3465012562814067,5.615891959798995,4.934410149013879,MAPO-PPO,20%,MAPO-PPO/20%
4x4,ppo,0.1,1.9831045854271356,7.053077889447236,4.261181952621764,MAPO-PPO,10%,MAPO-PPO/10%
4x4,ppo,0.1,5.471111809045225,9.698178391959798,3.6147970790046458,MAPO-PPO,10%,MAPO-PPO/10%
4x4,ppo,0.1,3.8311683417085423,8.849560301507537,3.868039005597323,MAPO-PPO,10%,MAPO-PPO/10%
4x4,ppo,0.1,2.586025439698492,7.517116834170854,4.093600765969426,MAPO-PPO,10%,MAPO-PPO/10%
4x4,ppo,0.1,5.2009579145728635,9.861337939698492,3.6390832206335815,MAPO-PPO,10%,MAPO-PPO/10%
4x4,ppo,0.1,3.1175800879396984,7.8209798994974875,3.9857290987849523,MAPO-PPO,10%,MAPO-PPO/10%
4x4,ppo,0.1,7.6282726130653264,10.561557788944723,3.432187308532344,MAPO-PPO,10%,MAPO-PPO/10%
4x4,ppo,0.1,2.590146042713568,8.873743718592964,3.626548795594258,MAPO-PPO,10%,MAPO-PPO/10%
4x4,ppo,0.1,4.669437814070352,9.392116834170855,3.599776118309617,MAPO-PPO,10%,MAPO-PPO/10%
4x4,ppo,0.1,3.122765389447237,9.274654522613066,3.651674299229421,MAPO-PPO,10%,MAPO-PPO/10%
4x4,ppo,0.05,10.048379396984926,13.771356783919598,2.903500625364277,MAPO-PPO,5%,MAPO-PPO/5%
4x4,ppo,0.05,2.3015028266331656,9.65907663316583,3.5885374306384614,MAPO-PPO,5%,MAPO-PPO/5%
4x4,ppo,0.05,2.9227591080402013,11.063442211055277,3.2375246436623706,MAPO-PPO,5%,MAPO-PPO/5%
4x4,ppo,0.05,3.717766959798995,10.992776381909549,3.461328352913042,MAPO-PPO,5%,MAPO-PPO/5%
4x4,ppo,0.05,2.175373743718593,10.623272613065327,3.4571993736055386,MAPO-PPO,5%,MAPO-PPO/5%
4x4,ppo,0.05,2.630822864321608,11.580873115577889,3.2056110700381235,MAPO-PPO,5%,MAPO-PPO/5%
4x4,ppo,0.05,3.3780307788944723,12.800251256281408,3.1213890521089698,MAPO-PPO,5%,MAPO-PPO/5%
4x4,ppo,0.05,3.394649811557789,11.895414572864322,3.2246579953134584,MAPO-PPO,5%,MAPO-PPO/5%
4x4,ppo,0.05,2.633842650753769,9.701947236180905,3.5966201781799434,MAPO-PPO,5%,MAPO-PPO/5%
4x4,ppo,0.05,10.696179334170855,13.447550251256281,2.9617694183257943,MAPO-PPO,5%,MAPO-PPO/5%
4x4,uniform,uniform,4.071703831658292,20.339824120603016,2.2174329165149507,Fixed time,FO,Fixed time
4x4,uniform,uniform,3.575383165829146,19.414729899497488,2.2667456988261727,Fixed time,FO,Fixed time
4x4,uniform,uniform,3.886568781407035,20.551036432160803,2.1775242567333515,Fixed time,FO,Fixed time
4x4,uniform,uniform,3.6491080402010043,19.393844221105528,2.2742265662265373,Fixed time,FO,Fixed time
4x4,uniform,uniform,3.228877198492462,19.123429648241206,2.302746552810877,Fixed time,FO,Fixed time
4x4,uniform,uniform,3.541264133165829,20.038473618090453,2.20789422779966,Fixed time,FO,Fixed time
4x4,uniform,uniform,3.744919912060301,18.571293969849247,2.3248514460773464,Fixed time,FO,Fixed time
4x4,uniform,uniform,3.805213567839196,19.129239949748744,2.280257779825337,Fixed time,FO,Fixed time
4x4,uniform,uniform,2.8281359924623115,19.52606783919598,2.335814910981284,Fixed time,FO,Fixed time
4x4,uniform,uniform,2.6818922738693467,18.12264447236181,2.3962073272105857,Fixed time,FO,Fixed time
4x4,maxpressure,maxpressure,2.622763819095477,12.916143216080402,3.3157125028747534,MaxPressure,FO,MaxPressure
4x4,maxpressure,maxpressure,2.0983621231155776,10.942054020100503,3.6548984228199006,MaxPressure,FO,MaxPressure
4x4,maxpressure,maxpressure,2.3397550251256285,12.103015075376884,3.4555198906717055,MaxPressure,FO,MaxPressure
4x4,maxpressure,maxpressure,2.451526381909548,12.926821608040202,3.305675281065539,MaxPressure,FO,MaxPressure
4x4,maxpressure,maxpressure,4.562441896984925,16.099874371859297,3.068417717255614,MaxPressure,FO,MaxPressure
4x4,maxpressure,maxpressure,1.5083134422110556,11.309202261306533,3.4521140417500327,MaxPressure,FO,MaxPressure
4x4,maxpressure,maxpressure,2.8972094849246233,13.92697864321608,3.1905475408049884,MaxPressure,FO,MaxPressure
4x4,maxpressure,maxpressure,3.215114635678391,14.165672110552764,3.228635507755157,MaxPressure,FO,MaxPressure
4x4,maxpressure,maxpressure,4.126846733668342,17.96309673366834,2.7579941319242924,MaxPressure,FO,MaxPressure
4x4,maxpressure,maxpressure,4.598055904522614,17.334641959798994,2.84712447641085,MaxPressure,FO,MaxPressure
4x4,websters,websters,1.8805606155778893,15.835113065326633,2.649883828734469,Websters,FO,Websters
4x4,websters,websters,3.3678203517587937,16.059673366834172,2.6437490901810694,Websters,FO,Websters
4x4,websters,websters,2.2561180904522615,14.912217336683417,2.805029134828022,Websters,FO,Websters
4x4,websters,websters,1.8293278894472362,15.25015703517588,2.797875987928683,Websters,FO,Websters
4x4,websters,websters,2.0130496231155774,17.08809673366834,2.5593430248296385,Websters,FO,Websters
4x4,websters,websters,3.685609296482412,16.85678391959799,2.5768798244703155,Websters,FO,Websters
4x4,websters,websters,2.41486966080402,16.324277638190956,2.7160892300098007,Websters,FO,Websters
4x4,websters,websters,2.754751884422111,15.513819095477388,2.7709521413950995,Websters,FO,Websters
4x4,websters,websters,3.320946922110553,16.543184673366834,2.645867226447069,Websters,FO,Websters
4x4,websters,websters,3.60942682160804,18.07537688442211,2.4823046015234373,Websters,FO,Websters
5x5,ppo,1.0,53.95601673640167,12.844239888423989,2.629710016896772,MAPO-PPO,100%,MAPO-PPO/100%
5x5,ppo,1.0,8.900367642956764,7.231854951185495,4.040439595166509,MAPO-PPO,100%,MAPO-PPO/100%
5x5,ppo,1.0,12.609169874476986,8.692217573221757,4.055722360280841,MAPO-PPO,100%,MAPO-PPO/100%
5x5,ppo,1.0,67.65858298465831,14.939079497907949,2.694552104617612,MAPO-PPO,100%,MAPO-PPO/100%
5x5,ppo,1.0,77.67054839609484,16.361171548117156,2.4242143603857422,MAPO-PPO,100%,MAPO-PPO/100%
5x5,ppo,1.0,21.959000278940024,9.545662482566248,3.1670856279056916,MAPO-PPO,100%,MAPO-PPO/100%
5x5,ppo,1.0,48.004957880055784,13.89634588563459,2.679206452695005,MAPO-PPO,100%,MAPO-PPO/100%
5x5,ppo,1.0,18.205015341701532,9.071966527196652,4.091854408385926,MAPO-PPO,100%,MAPO-PPO/100%
5x5,ppo,1.0,10.24239051603905,7.485020920502092,4.014418892895405,MAPO-PPO,100%,MAPO-PPO/100%
5x5,ppo,1.0,23.187030962343098,9.981757322175731,3.9016381269554574,MAPO-PPO,100%,MAPO-PPO/100%
