Wall time,Step,Value
1695092588.600473,25472,-3920.782470703125
1695092801.2283936,33920,-3920.782470703125
1695092853.7336707,36608,-3920.782470703125
1695092947.262763,42752,-3859.163330078125
1695093215.418436,57472,-3859.163330078125
1695093234.127012,59648,-3556.564697265625
1695093252.1898797,61824,-3556.564697265625
1695093263.8751373,62976,-3059.605712890625
1695093289.606978,65280,-3059.605712890625
1695093397.7228258,70784,-3059.605712890625
1695093414.4204817,71808,-3059.605712890625
1695093428.5160978,72704,-3059.605712890625
1695093447.5094867,73472,-3059.605712890625
1695093553.8083162,83328,-2531.909423828125
1695093647.8546112,89088,-2531.909423828125
1695093667.490222,89984,-2531.909423828125
1695093686.380533,90880,-2531.909423828125
1695093707.1514466,91648,-2531.909423828125
1695093780.4757977,96256,-2531.909423828125
1695093859.9449606,105344,-2328.36328125
1695093971.1963274,111872,-2328.36328125
1695094067.619534,120448,-2328.36328125
1695094093.8539243,124288,-1947.212890625
1695094105.1420512,125440,-1947.212890625
1695094216.4604425,131968,-1947.212890625
1695094288.862888,136576,-1947.212890625
1695094360.9696171,145920,-1705.528564453125
1695094400.877016,148864,-1705.528564453125
1695094419.0196226,149632,-1705.528564453125
1695094565.7292402,157696,-1705.528564453125
1695094584.4688156,160128,-1705.528564453125
1695094593.4067807,161408,-1705.528564453125
1695094684.604895,170240,-1492.3375244140625
1695094761.808104,174720,-1492.3375244140625
1695094788.0101547,176640,-1492.3375244140625
1695094799.994317,177792,-1492.3375244140625
1695094833.1361525,182912,-1410.392578125
1695094885.4293501,188672,-1333.7574462890625
1695094899.9915988,189568,-1333.7574462890625
1695094948.9009867,192256,-1333.7574462890625
1695095033.1557312,197760,-1333.7574462890625
1695095041.9857507,198912,-1333.7574462890625
1695095083.5361156,205056,-1200.544677734375
1695095103.6179323,207488,-1200.544677734375
1695095116.1359406,208384,-1200.544677734375
1695095171.752587,212096,-1200.544677734375
1695095184.8650122,212992,-1200.544677734375
1695095279.218945,220160,-1200.544677734375
1695095359.323467,229248,-1092.49609375
1695095372.6232548,230144,-1092.49609375
1695095385.8556793,231040,-1092.49609375
1695095441.6837223,234752,-1092.49609375
1695095555.59064,247040,-1002.4564819335938
1695095638.4268568,252928,-1002.4564819335938
1695095709.8749013,257920,-1002.4564819335938
1695095736.4073024,261632,-1002.4564819335938
1695095869.7930343,275200,-929.1322021484375
1695095936.1880445,282240,-929.1322021484375
1695095980.3627527,288512,-862.765625
1695095991.9309194,289664,-862.765625
1695096019.4452026,291584,-862.765625
1695096086.1520658,295424,-862.765625
1695096151.190904,299392,-862.765625
1695096174.2674363,301824,-862.765625
1695096222.1813457,307712,-839.0078125
1695096407.1870897,322944,-785.0388793945312
1695096457.352228,329344,-760.5064086914062
1695096469.6148667,330624,-760.5064086914062
1695096531.4398892,334464,-760.5064086914062
1695096545.9245586,335488,-760.5064086914062
1695096595.4560926,339968,-760.5064086914062
1695096607.0965166,341120,-760.5064086914062
1695096627.0329795,343552,-737.4607543945312
1695096709.7551572,353024,-715.770751953125
1695096722.988757,353920,-715.770751953125
1695096794.9352984,360704,-715.770751953125
1695096808.1160867,361984,-715.770751953125
1695096818.6740644,363264,-695.3201293945312
1695096847.304761,366720,-695.3201293945312
1695096950.7400305,376576,-676.0056762695312
