Wall time,Step,Value
1694085472.850224,20352,-871.239990234375
1694085583.1063201,28800,-871.239990234375
1694085614.8994465,32000,-766.1425170898438
1694085681.6310866,37760,-766.1425170898438
1694085859.5762703,52864,-611.5
1694085882.1478486,54656,-611.5
1694085904.705046,56448,-611.5
1694085915.9325233,57472,-611.5
1694085937.422104,59264,-611.5
1694085998.3752985,65024,-774.8612670898438
1694086032.1971636,67840,-774.8612670898438
1694086131.047266,76288,-737.9844360351562
1694086195.2364953,82432,-678.0960083007812
1694086205.2714553,83328,-678.0960083007812
1694086216.7627118,84224,-678.0960083007812
1694086228.8424873,85248,-678.0960083007812
1694086282.2269533,89984,-678.0960083007812
1694086365.7708983,97920,-607.1866455078125
1694086445.874144,104704,-607.1866455078125
1694086528.9928534,112640,-597.9400024414062
1694086561.720651,115328,-597.9400024414062
1694086573.4656274,116352,-597.9400024414062
1694086647.9998517,123136,-533.63623046875
1694086700.4628885,128128,-533.63623046875
1694086787.724242,135552,-533.63623046875
1694086827.094047,139648,-475.5199890136719
1694086926.5003726,148224,-475.5199890136719
1694087043.0690877,159232,-433.3794860839844
1694087096.930707,163968,-433.3794860839844
1694087128.1529045,167040,-433.3794860839844
1694087224.293739,176128,-402.4386291503906
1694087235.3490434,177152,-402.4386291503906
1694087339.1671815,187136,-378.2108459472656
1694087394.273684,192000,-378.2108459472656
1694087415.3415446,193920,-378.2108459472656
1694087426.4941785,194816,-378.2108459472656
1694087466.415331,198912,-365.0755920410156
1694087552.7281258,207360,-351.9534606933594
1694087634.5611217,215424,-340.338134765625
1694087644.515042,216448,-329.7435607910156
1694087654.4481208,217472,-329.7435607910156
1694087698.3858433,221568,-329.7435607910156
1694087811.611258,233088,-307.7869873046875
1694087878.134409,239232,-307.7869873046875
1694087929.108764,244352,-298.5357971191406
1694087958.7833312,247424,-289.3734436035156
1694088086.407154,259840,-280.6878662109375
1694088149.3403544,266240,-272.4323425292969
1694088202.4546542,271104,-272.4323425292969
1694088234.8271055,274560,-264.6485595703125
1694088276.4336975,278912,-257.2986145019531
1694088318.67924,283008,-257.2986145019531
1694088339.896887,284928,-257.2986145019531
1694088540.0664039,305024,-237.5143585205078
1694088589.8030725,310272,-231.57650756835938
1694088600.5077937,311424,-231.57650756835938
1694088654.2087715,316160,-231.57650756835938
1694088704.940887,321280,-225.9282989501953
1694088726.2450757,323584,-225.9282989501953
1694088811.842594,331648,-220.54904174804688
1694088823.60704,332800,-220.54904174804688
1694088883.1129177,339200,-215.4199981689453
1694088893.7425892,340352,-210.5240936279297
1694088904.7509875,341376,-210.5240936279297
1694088935.817131,344448,-210.5240936279297
1694089030.5038345,354176,-205.8457794189453
1694089115.4496684,362368,-201.37086486816406
1694089286.7394974,379264,-192.9804229736328
1694089327.9532156,383488,-189.0420379638672
1694089391.3154905,389888,-185.2642059326172
1694089433.4049935,394112,-185.2642059326172
1694089454.329675,396288,-181.63156127929688
1694089580.862152,409088,-178.13865661621094
1694089591.4592426,410240,-174.7775421142578
1694089757.9579585,427392,-168.4219970703125
1694089894.9226487,441088,-162.512451171875
1694089904.6808808,441984,-162.512451171875
1694089925.8909898,444160,-162.512451171875
1694089990.2149057,450560,-159.71051025390625
1694090085.2864337,460288,-157.00355529785156
1694090107.121998,462464,-157.00355529785156
1694090118.0142832,463616,-154.3868408203125
1694090149.8732166,466816,-154.3868408203125
1694090212.5772812,473216,-151.85589599609375
1694090306.3139176,482688,-149.4066162109375
1694090339.7049894,486016,-149.4066162109375
1694090350.9036129,487168,-147.0350799560547
1694090446.9380128,496896,-144.73765563964844
1694090457.7776542,497920,-144.73765563964844
1694090620.1478379,514432,-140.35166931152344
1694090640.65731,516736,-140.35166931152344
1694090661.4673939,518656,-138.25686645507812
1694090808.3260562,533632,-134.24942016601562
1694090861.0601623,538880,-134.24942016601562
1694090882.758456,541184,-132.33157348632812
1694090913.6975033,544384,-132.33157348632812
1694091001.9148932,553344,-130.46774291992188
1694091066.2209415,559872,-128.65570068359375
1694091087.18034,562048,-128.65570068359375
1694091118.4500802,565120,-126.8932876586914
1694091181.2237527,571136,-125.17851257324219
1694091234.4408867,576640,-125.17851257324219
1694091340.2569718,587136,-121.88433837890625
1694091361.806756,589312,-121.88433837890625
1694091403.19095,593536,-120.30142974853516
1694091466.3838835,599680,-120.30142974853516
1694091510.1548133,604288,-118.75910186767578
1694091520.3875558,605312,-118.75910186767578
1694091573.6270094,610560,-117.25582122802734
1694091595.3854618,612736,-117.25582122802734
1694091606.2882571,613760,-117.25582122802734
1694091628.7676606,615808,-117.25582122802734
1694091650.71412,617984,-115.79087829589844
1694091661.1745436,619136,-115.79087829589844
1694091715.3243642,624768,-114.36135864257812
1694091726.6386342,625792,-114.36135864257812
1694091822.0279217,635520,-112.96670532226562
1694091884.6025941,641920,-111.60565948486328
1694091906.1650648,644096,-111.60565948486328
1694091959.694109,649600,-110.27702331542969
1694092012.537344,654976,-108.97964477539062
1694092033.0419,657024,-108.97964477539062
1694092157.2216496,669696,-106.474365234375
1694092231.5816662,677120,-106.474365234375
1694092241.8655055,678016,-106.474365234375
1694092262.4971976,680192,-105.26443481445312
1694092272.289726,681216,-105.26443481445312
1694092282.0244935,682240,-105.26443481445312
1694092292.4630013,683392,-105.26443481445312
1694092315.41465,685568,-104.0816879272461
1694092346.9752314,688768,-104.0816879272461
1694092389.8096933,692608,-104.0816879272461
1694092438.877506,697984,-102.92522430419922
1694092469.3294976,701184,-101.79417419433594
1694092512.1917324,705280,-101.79417419433594
1694092543.4666395,708480,-101.79417419433594
1694092574.6720393,711808,-100.68771362304688
1694092614.4519553,716160,-99.60505676269531
1694092625.3498416,717056,-99.60505676269531
1694092668.865122,721280,-99.60505676269531
1694092720.6268833,726656,-98.54542541503906
1694092730.1807024,727808,-98.54542541503906
1694092804.1815634,734976,-97.50810241699219
1694092836.3956802,737920,-97.50810241699219
1694092877.2627106,742272,-96.49239349365234
