Wall time,Step,Value
1694163537.457415,26880,-151.05332946777344
1694163636.7048717,31488,-151.05332946777344
1694163705.0959995,34560,-151.05332946777344
1694163758.289907,36864,-151.05332946777344
1694163861.9354527,41472,-151.05332946777344
1694164046.7371364,50688,-122.53666687011719
1694164111.7311835,53760,-122.53666687011719
1694164142.7488897,55296,-122.53666687011719
1694164175.516442,56832,-122.53666687011719
1694164193.0643094,57600,-122.53666687011719
1694164226.623907,59136,-122.53666687011719
1694164334.3288605,63744,-122.53666687011719
1694164353.6790864,64512,-122.53666687011719
1694164369.2220266,65280,-122.53666687011719
1694164387.7460566,66048,-122.53666687011719
1694164531.8034499,72960,-199.95889282226562
1694164579.4998631,75264,-199.95889282226562
1694164627.7553618,77568,-199.95889282226562
1694164645.2873454,78336,-199.95889282226562
1694164660.3956904,79104,-199.95889282226562
1694164678.1336079,79872,-199.95889282226562
1694164761.8028173,83712,-199.95889282226562
1694164890.5811758,89856,-199.95889282226562
1694164998.2487218,95232,-187.4308319091797
1694165123.000973,101376,-187.4308319091797
1694165173.7742407,103680,-187.4308319091797
1694165189.1267128,104448,-187.4308319091797
1694165302.0229964,109824,-187.4308319091797
1694165386.4872503,113664,-187.4308319091797
1694165503.3142695,119808,-170.50799560546875
1694165553.0446846,122112,-170.50799560546875
1694165567.604077,122880,-170.50799560546875
1694165715.1929867,129792,-170.50799560546875
1694165744.7778373,131328,-170.50799560546875
1694165763.2591772,132096,-170.50799560546875
1694165777.9185233,132864,-170.50799560546875
1694165889.8269558,138240,-151.50999450683594
1694165963.2277582,142080,-151.50999450683594
1694165994.4250486,143616,-151.50999450683594
1694166008.4391603,144384,-151.50999450683594
1694166074.0253034,147456,-151.50999450683594
1694166156.5421963,151296,-151.50999450683594
1694166173.0495007,152064,-151.50999450683594
1694166226.4958518,154368,-151.50999450683594
1694166328.0078201,158976,-151.50999450683594
1694166343.0330708,159744,-151.50999450683594
1694166378.4726503,161280,-134.91714477539062
1694166426.9042706,163584,-134.91714477539062
1694166460.740623,165120,-134.91714477539062
1694166476.4168336,165888,-134.91714477539062
1694166512.413661,167424,-134.91714477539062
1694166545.022162,168960,-134.91714477539062
1694166561.712373,169728,-134.91714477539062
1694166687.3089359,175104,-134.91714477539062
1694166829.5622292,181248,-134.91714477539062
1694166844.8426142,182016,-134.91714477539062
1694166859.4516962,182784,-134.91714477539062
1694166923.6425512,185856,-128.9566650390625
1694167091.7962608,193536,-128.9566650390625
1694167108.0007882,194304,-128.9566650390625
1694167145.1997676,195840,-128.9566650390625
1694167214.4118104,198912,-128.9566650390625
1694167266.3731897,201216,-128.9566650390625
1694167281.6710312,201984,-128.9566650390625
1694167297.490544,202752,-128.9566650390625
1694167347.0256848,205056,-128.9566650390625
1694167541.6697922,214272,-117.96444702148438
1694167648.9106464,218880,-117.96444702148438
1694167703.2068717,221184,-117.96444702148438
1694167740.3711574,222720,-117.96444702148438
1694167756.761644,223488,-117.96444702148438
1694167787.7651181,225024,-117.96444702148438
1694167852.5651276,228096,-117.96444702148438
1694167915.4698093,231168,-107.4703369140625
1694167948.512934,232704,-107.4703369140625
1694168028.623762,236544,-107.4703369140625
1694168267.994407,247296,-107.4703369140625
1694168347.534904,251136,-107.4703369140625
1694168361.4264452,251904,-107.4703369140625
1694168419.9493265,254976,-98.86515045166016
1694168433.4658308,255744,-98.86515045166016
1694168494.986846,258816,-98.86515045166016
1694168513.8868492,259584,-98.86515045166016
1694168544.2887595,261120,-98.86515045166016
1694168595.6275163,263424,-98.86515045166016
1694168680.0500803,267264,-98.86515045166016
1694168695.9888222,268032,-98.86515045166016
1694168716.2396436,268800,-98.86515045166016
1694168798.7107067,272640,-98.86515045166016
1694168813.4679449,273408,-98.86515045166016
1694168827.9779618,274176,-98.86515045166016
1694168876.4619124,276480,-91.75527954101562
1694169020.4050364,283392,-91.75527954101562
1694169051.022026,284928,-91.75527954101562
1694169149.4037256,289536,-91.75527954101562
1694169357.1014302,299520,-85.78666687011719
1694169404.053283,301824,-85.78666687011719
1694169462.4722295,304896,-85.78666687011719
1694169529.7745893,307968,-85.78666687011719
1694169565.5754862,309504,-85.78666687011719
1694169632.811551,312576,-85.78666687011719
1694169648.4547043,313344,-85.78666687011719
1694169663.8766692,314112,-85.78666687011719
1694169694.292075,315648,-85.78666687011719
1694169772.2537644,319488,-85.78666687011719
1694169847.1783288,323328,-79.95143127441406
1694169866.6138968,324096,-79.95143127441406
1694170123.033782,336384,-79.95143127441406
1694170234.7119362,341760,-79.95143127441406
1694170323.4000971,346368,-75.0257797241211
1694170337.0635378,347136,-75.0257797241211
1694170365.204618,348672,-75.0257797241211
1694170463.4861295,353280,-75.0257797241211
1694170607.7709687,360192,-75.0257797241211
1694170644.0709796,361728,-75.0257797241211
1694170659.340139,362496,-75.0257797241211
1694170703.8059711,364800,-75.0257797241211
1694170799.3229196,369408,-70.80937194824219
1694170923.3346434,375552,-70.80937194824219
1694170938.3983827,376320,-70.80937194824219
1694170985.0221105,378624,-70.80937194824219
1694171000.5398903,379392,-70.80937194824219
1694171151.320064,386304,-70.80937194824219
1694171165.6739705,387072,-70.80937194824219
1694171337.7022567,395520,-66.96941375732422
1694171381.888248,397824,-66.96941375732422
1694171396.9082007,398592,-66.96941375732422
1694171427.5847557,400128,-66.96941375732422
1694171462.899367,401664,-66.96941375732422
1694171682.8375108,412416,-66.96941375732422
1694171758.5869782,416256,-63.28129577636719
1694171786.9294233,417792,-63.28129577636719
1694171831.1232471,420096,-63.28129577636719
1694171946.5307403,425472,-63.28129577636719
1694171961.531907,426240,-63.28129577636719
1694172058.2788727,430848,-63.28129577636719
1694172087.7967544,432384,-63.28129577636719
1694172102.4917698,433152,-63.28129577636719
1694172135.881532,434688,-63.28129577636719
1694172149.7371616,435456,-63.28129577636719
1694172191.8549118,437760,-60.06578826904297
1694172225.620594,439296,-60.06578826904297
1694172297.2426178,443136,-60.06578826904297
1694172317.638985,443904,-60.06578826904297
1694172459.2047892,450816,-60.06578826904297
1694172489.2078195,452352,-60.06578826904297
1694172559.9978244,455424,-60.06578826904297
1694172574.312983,456192,-60.06578826904297
1694172648.7560732,460032,-57.0625
1694172702.6780539,463104,-57.0625
1694172716.696186,463872,-57.0625
1694172765.6767497,466176,-57.0625
1694172794.588071,467712,-57.0625
1694172824.6826773,469248,-57.0625
1694172844.95515,470016,-57.0625
1694172859.6882396,470784,-57.0625
1694172874.463699,471552,-57.0625
1694172904.790126,473088,-57.0625
1694172919.5182722,473856,-57.0625
1694172998.1089742,477696,-57.0625
1694173012.5065436,478464,-57.0625
1694173116.014952,483840,-54.60238265991211
1694173154.2869165,485376,-54.60238265991211
1694173241.1067264,489984,-54.60238265991211
1694173280.1815479,491520,-54.60238265991211
1694173363.840702,495360,-54.60238265991211
1694173440.6361444,499200,-54.60238265991211
1694173477.7050927,500736,-54.60238265991211
1694173650.3809648,509952,-52.13106155395508
1694173766.1098511,515328,-52.13106155395508
1694173780.845516,516096,-52.13106155395508
1694173811.10026,517632,-52.13106155395508
1694173826.1091816,518400,-52.13106155395508
1694173847.22638,519168,-52.13106155395508
1694173861.7449675,519936,-52.13106155395508
1694173891.6297073,521472,-52.13106155395508
1694173935.588144,523776,-52.13106155395508
1694173997.7676556,526848,-52.13106155395508
1694174066.3309193,530688,-49.935943603515625
1694174113.7215285,532992,-49.935943603515625
1694174171.7432299,536064,-49.935943603515625
1694174223.7769296,538368,-49.935943603515625
1694174239.0286083,539136,-49.935943603515625
1694174269.6411307,540672,-49.935943603515625
1694174284.5658746,541440,-49.935943603515625
1694174321.407645,542976,-49.935943603515625
1694174342.7929976,543744,-49.935943603515625
1694174357.9679568,544512,-49.935943603515625
