Wall time,Step,Value
1695368387.8432016,11008,-447.8500061035156
1695368483.4179833,17152,-407.2049865722656
1695368496.8415291,17920,-407.2049865722656
1695368540.0664132,20736,-471.4666748046875
1695368600.9813035,24576,-471.4666748046875
1695368689.7159684,30464,-618.7000122070312
1695368934.243439,46080,-544.8543090820312
1695368945.6927497,46848,-544.8543090820312
1695368982.8376546,49152,-544.8543090820312
1695369227.0145776,65024,-549.2760009765625
1695369246.601261,66304,-549.2760009765625
1695369330.072867,71680,-549.3209228515625
1695369377.8388667,74752,-549.3209228515625
1695369404.9755912,76288,-549.3209228515625
1695369546.2569542,85248,-575.219970703125
1695369553.807177,85760,-575.219970703125
1695369587.1639469,87808,-575.219970703125
1695369704.1192737,95232,-589.6649780273438
1695369782.0330768,100352,-577.1166381835938
1695369992.1239495,114176,-587.055908203125
1695370073.9064286,119552,-572.5194702148438
1695370143.609125,124160,-557.1768188476562
1695370201.8267014,127744,-547.1090087890625
1695370440.0927887,143616,-535.7931518554688
1695370543.534015,150528,-535.4199829101562
1695370608.9037833,154624,-525.9908447265625
1695370635.8745973,156416,-525.9908447265625
1695370640.0668964,156672,-525.9908447265625
1695370771.5524783,165120,-519.2131958007812
1695370825.575594,168704,-511.0611572265625
1695370859.2999222,170752,-511.0611572265625
1695370881.1116922,172032,-511.0611572265625
1695370935.9353774,175616,-505.6503601074219
1695370976.4330463,178176,-505.6503601074219
1695371137.9726524,189184,-499.32000732421875
1695371171.4226115,191232,-499.32000732421875
1695371200.6014333,193280,-509.63665771484375
1695371302.4029741,199936,-521.9345092773438
1695371339.0581846,202240,-521.9345092773438
1695371355.3618085,203264,-521.9345092773438
1695371363.5414622,203776,-521.9345092773438
1695371416.2938502,207360,-520.2806396484375
1695371424.532543,207872,-520.2806396484375
1695371454.4806724,209664,-520.2806396484375
1695371485.2356088,211712,-533.9242553710938
1695371507.8883286,213248,-533.9242553710938
1695371611.5838788,220416,-526.9361572265625
1695372045.479321,248320,-541.8916015625
1695372111.481061,252672,-554.5887451171875
1695372148.3140905,254976,-554.5887451171875
1695372151.8996036,255232,-554.5887451171875
1695372171.2524269,256768,-552.0442504882812
1695372191.7685187,258304,-552.0442504882812
1695372263.7643209,262912,-550.9390258789062
1695372274.4316962,263680,-550.9390258789062
1695372298.3127818,265984,-550.9390258789062
1695372415.7159176,278528,-561.1846313476562
1695372423.573259,279296,-561.1846313476562
1695372439.3319726,280832,-561.1846313476562
1695372452.9098456,282368,-575.8104248046875
1695372486.9782867,286208,-575.8104248046875
1695372499.508631,287744,-572.9371337890625
1695372509.158224,289024,-572.9371337890625
1695372612.5945818,302336,-576.29296875
1695372622.836207,303616,-576.29296875
1695372624.9886923,303872,-576.29296875
1695372659.638612,308480,-572.95751953125
1695372687.2754645,311808,-572.95751953125
1695372860.179478,324864,-581.455810546875
1695372921.1678846,329216,-592.0535278320312
1695372994.8210723,334336,-594.9940185546875
1695373087.7586973,343296,-593.1875610351562
1695373094.6851325,344064,-593.1875610351562
1695373121.1633346,347648,-602.3092651367188
1695373129.8771892,348672,-602.3092651367188
1695373230.6153708,360960,-596.8042602539062
1695373246.4906003,362752,-596.8042602539062
1695373292.5056877,368384,-597.748046875
1695373317.789458,371456,-599.702392578125
1695373339.1874888,374016,-599.702392578125
1695373399.4791975,381696,-596.0757446289062
1695373422.2615871,384512,-596.2315063476562
1695373438.54622,386560,-596.2315063476562
1695373450.1753225,388096,-596.2315063476562
1695373519.19589,396288,-589.2716064453125
1695373579.2450109,403712,-592.880615234375
1695373613.8092802,407808,-592.880615234375
1695373656.443038,411904,-587.0617065429688
1695373672.719345,412928,-587.0617065429688
1695373733.8748581,417280,-583.3709106445312
1695373866.618565,426240,-584.4325561523438
1695374024.0580199,436992,-583.8363037109375
1695374060.6093419,439296,-583.8363037109375
1695374074.3846178,440832,-581.349853515625
1695374084.1106775,442112,-581.349853515625
1695374098.5233755,443904,-581.349853515625
1695374118.1527407,446208,-581.349853515625
1695374145.958957,449792,-576.2075805664062
1695374150.2913246,450304,-576.2075805664062
1695374156.9546974,451072,-576.2075805664062
1695374176.5291789,453376,-581.1159057617188
1695374243.9588306,462336,-577.2923583984375
1695374360.1650999,473856,-573.5609741210938
1695374430.668166,478464,-573.5609741210938
