Wall time,Step,Value
1702611074.1101353,44032,-1.8984813721090177e-14
1702612483.7040036,76288,-137.0124969482422
1702612793.2468872,79360,-137.0124969482422
1702614719.1609085,110208,-680.8666381835938
1702616678.8775427,135936,-612.780029296875
1702621660.3536217,203136,-2180.855224609375
1702622055.2345383,215552,-1942.8211669921875
1702626562.3611183,292736,-1704.494384765625
1702626936.1942677,298752,-1708.315185546875
1702628412.3877568,322048,-1653.46484375
1702629697.3133059,343808,-1550.0943603515625
1702632753.6726625,381056,-1684.3594970703125
1702632813.4727097,383616,-1818.00341796875
1702633448.5704544,392832,-1829.823974609375
1702635523.0765035,425216,-1822.7650146484375
1702637152.314043,446080,-2033.650146484375
1702641410.7001643,503552,-2214.995849609375
1702644171.5888052,552064,-2154.984130859375
1702645248.7842603,570240,-2066.950439453125
1702649708.0520833,645248,-1979.9300537109375
1702651957.7752411,679680,-1998.408447265625
1702653230.8204536,697088,-2047.2056884765625
1702653636.7462885,705280,-2023.7783203125
1702653675.2905836,706304,-2023.7783203125
1702657337.421378,764800,-1967.767822265625
1702658128.0712006,779776,-1937.953125
1702659122.236908,797568,-1916.0408935546875
1702659821.185029,810112,-1916.0408935546875
1702662908.81288,865920,-1819.79345703125
1702663343.0973258,873472,-1819.79345703125
1702666687.0062747,921344,-1883.108154296875
1702666999.3331106,928000,-1883.108154296875
1702667028.2510326,931328,-1859.2713623046875
1702668027.6300828,947712,-1849.3988037109375
1702668056.8941505,950912,-1849.3988037109375
1702669084.6570203,968192,-1821.90234375
1702669632.2846448,976640,-1821.90234375
1702671365.6072493,1010688,-1763.672607421875
1702679086.9378145,1144960,-1627.9869384765625
1702680987.3512337,1173632,-1639.9486083984375
1702681052.9167871,1174528,-1639.9486083984375
1702681723.0379567,1180160,-1639.9486083984375
1702683348.8243597,1206528,-1714.3675537109375
1702683656.9438858,1211136,-1714.3675537109375
1702684341.307513,1220608,-1754.5347900390625
1702687967.112572,1280384,-1714.2156982421875
1702688067.8195705,1284096,-1714.2156982421875
1702690145.9081328,1316224,-1660.6663818359375
1702690538.2180521,1325824,-1606.3905029296875
1702690860.6701477,1333504,-1523.928955078125
1702694646.713646,1394176,-1540.0772705078125
1702694988.296166,1399424,-1581.424560546875
1702695017.9561439,1400448,-1581.424560546875
1702696354.8399785,1421952,-1616.9771728515625
1702697369.2985625,1434624,-1591.6512451171875
1702700824.3218133,1500416,-1608.1263427734375
1702701953.6478283,1524224,-1606.5086669921875
1702705953.530212,1586688,-1473.4569091796875
1702706291.820504,1589504,-1473.4569091796875
1702707434.3901737,1605120,-1426.138671875
1702707526.287794,1610112,-1426.138671875
1702711097.066497,1663360,-1337.7615966796875
1702711549.7099326,1670144,-1337.7615966796875
1702713254.4028833,1693824,-1349.6844482421875
1702714229.7907228,1705216,-1393.3165283203125
1702714954.42121,1715840,-1428.44775390625
1702717128.0279362,1750144,-1493.3909912109375
1702717962.191249,1761536,-1541.91796875
1702719010.1502557,1777152,-1532.69921875
1702721621.955233,1814016,-1542.423095703125
1702723730.3269157,1847040,-1535.611328125
1702725016.0706143,1868416,-1510.23876953125
1702726070.8627093,1890944,-1491.3284912109375
1702726423.4044805,1896320,-1491.3284912109375
1702727592.226583,1917056,-1472.7471923828125
1702730262.6348548,1956736,-1490.7265625
1702733666.1379635,2003328,-1553.585693359375
1702734559.3843114,2013568,-1618.3709716796875
1702736109.9492447,2033536,-1635.42333984375
1702736887.2318828,2044160,-1635.42333984375
1702737758.136552,2062976,-1602.5238037109375
1702738036.3187342,2065408,-1602.5238037109375
1702738156.9015386,2069888,-1602.5238037109375
1702741872.5358262,2124032,-1571.5208740234375
1702745581.9526732,2177280,-1715.3592529296875
1702747392.986908,2195200,-1839.458984375
1702748227.4098604,2204288,-1839.458984375
1702749376.259449,2219008,-1839.466552734375
1702749725.6482873,2221824,-1922.849853515625
1702750276.0460758,2231808,-1922.849853515625
1702753815.266773,2280320,-1962.13330078125
1702755498.774486,2299648,-1985.435546875
1702756378.2429595,2312960,-2023.928955078125
1702756469.6186128,2316416,-2023.928955078125
1702760543.982002,2389632,-1957.8072509765625
1702761566.9457912,2406784,-1957.8072509765625
1702763042.2341392,2443776,-1980.2591552734375
1702766213.55484,2505728,-1942.3525390625
1702767074.8587756,2512768,-1942.3525390625
1702767509.4154341,2516352,-1942.3525390625
1702767957.9775438,2524544,-2060.898193359375
1702776060.2686663,2628352,-2078.37744140625
1702776479.2063951,2634240,-2078.37744140625
1702777326.0028746,2642560,-2115.91162109375
1702778444.181754,2655744,-2160.8671875
1702780332.7814813,2677120,-2216.376953125
1702780679.957007,2686592,-2263.121337890625
1702780709.3271995,2687744,-2263.121337890625
1702782223.293368,2716800,-2236.93115234375
1702782616.8960032,2722432,-2236.93115234375
1702786614.8772252,2775808,-2287.793212890625
1702787899.8527148,2788352,-2323.6201171875
1702790211.2861693,2819456,-2351.6103515625
1702791066.9182994,2829440,-2362.1552734375
1702794333.794483,2871040,-2321.843505859375
1702794388.1318665,2871936,-2321.843505859375
1702794466.736759,2874240,-2329.30615234375
1702798313.57833,2926976,-2299.371337890625
1702799938.4279878,2946816,-2352.19091796875
1702800026.2917988,2948864,-2352.19091796875
1702800426.7035036,2954240,-2352.19091796875
1702802161.9836266,2991744,-2304.296875
1702802195.3502803,2992768,-2304.296875
1702802939.5072553,3006080,-2304.296875
1702803202.1800683,3009920,-2304.296875
1702803559.3777833,3016192,-2278.982177734375
