Wall time,Step,Value
1701145753.197098,54144,1.8174350913113813e-13
1701146408.2972083,96896,-742.2312622070312
1701146463.1981702,101632,-742.2312622070312
1701147133.7739449,147328,-1183.1395263671875
1701147968.3011067,190976,-1310.145263671875
1701149740.3752406,302720,-1536.735595703125
1701149859.3988352,308096,-1536.735595703125
1701150262.3080845,324096,-1479.8194580078125
1701152174.2159033,441856,-1603.9835205078125
1701152399.7314177,451328,-1561.7734375
1701153052.2729,487424,-1787.331298828125
1701153707.6257608,518656,-1824.98583984375
1701154753.0079708,589056,-1779.227294921875
1701154784.0240571,592768,-1779.227294921875
1701155116.7851698,609408,-1744.3404541015625
1701155950.6221173,661376,-1805.3304443359375
1701156535.578178,695040,-1869.34619140625
1701158372.549151,789760,-1922.1392822265625
1701159511.6422172,854528,-1988.40185546875
1701160014.9455395,875520,-2122.7900390625
1701161649.0063682,987264,-2138.599853515625
1701162550.346826,1031936,-2157.43701171875
1701163153.2362285,1058944,-2135.6533203125
1701163301.283517,1072384,-2112.1845703125
1701163461.445599,1074304,-2112.1845703125
1701164385.9601045,1132416,-2087.301025390625
1701164739.067951,1158016,-2044.703125
1701165220.501059,1180544,-2005.841552734375
1701165595.573859,1205248,-2022.25341796875
1701165829.101277,1223424,-2022.25341796875
1701167203.1642354,1306368,-1968.6431884765625
1701167413.7891054,1319296,-2016.4942626953125
1701168683.0950415,1396864,-2027.10205078125
1701168780.1986117,1404160,-2078.841796875
1701168814.1629348,1407360,-2078.841796875
1701169226.9521782,1432192,-2146.490966796875
1701169285.5441742,1436032,-2146.490966796875
1701169435.0506315,1448576,-2096.306884765625
1701169661.682035,1460992,-2144.8583984375
1701169865.7569969,1472768,-2201.74951171875
1701170699.494214,1524608,-2114.9228515625
1701173852.39425,1723904,-2143.208984375
1701174787.296024,1769856,-2318.802978515625
1701174829.4183173,1772416,-2318.802978515625
1701174956.4297068,1783040,-2318.802978515625
1701175075.2037225,1796096,-2248.34716796875
1701175790.121425,1827840,-2320.847900390625
1701175849.5587912,1832576,-2320.847900390625
1701176073.786301,1849728,-2325.656982421875
1701177503.6826408,1937408,-2344.142333984375
1701177553.3232949,1942912,-2369.075927734375
1701178467.0760229,1992576,-2355.182861328125
1701178702.508892,2003072,-2350.126708984375
1701178894.9570665,2011520,-2350.126708984375
1701180423.7278883,2108672,-2313.0234375
1701180577.2155037,2118016,-2322.73876953125
1701180695.8783946,2119680,-2322.73876953125
1701181106.579779,2157440,-2194.543212890625
1701181424.1120896,2182656,-2184.875732421875
1701182782.0605197,2274944,-2280.901123046875
1701183175.4186962,2304512,-2236.567138671875
1701184696.9432201,2407424,-2368.859130859375
1701184763.374669,2414976,-2368.859130859375
1701185191.4931536,2441216,-2383.109130859375
1701185300.5225604,2447872,-2375.757080078125
1701186848.738918,2529920,-2397.919189453125
1701187067.5887306,2541568,-2432.422607421875
1701187749.4395785,2580224,-2463.954833984375
1701188041.2493594,2603520,-2440.235107421875
1701188297.3871155,2623104,-2349.59716796875
1701189370.1059341,2677504,-2375.560546875
1701189763.6202953,2696704,-2380.592529296875
1701190155.74805,2724864,-2293.3310546875
1701191066.9575968,2778368,-2377.702392578125
1701191943.346654,2837248,-2361.688720703125
1701192412.4876351,2868736,-2260.110595703125
1701192863.774498,2899712,-2231.0947265625
