Wall time,Step,Value
1700704629.041306,84224,-497.3074951171875
1700704935.3413322,96256,-937.2306518554688
1700706260.4583035,144384,-1032.0450439453125
1700706415.7011304,156416,-1032.0450439453125
1700706982.6522677,180480,-884.6099853515625
1700707342.485746,192512,-969.1112670898438
1700707569.9769378,204544,-969.1112670898438
1700708073.3088086,240640,-775.2890014648438
1700708266.0668633,252672,-775.2890014648438
1700708474.4247627,264704,-704.8081665039062
1700710164.7352731,312832,-779.8707885742188
1700713975.857867,421120,-791.11181640625
1700715793.97644,457216,-932.072265625
1700718522.9365249,505344,-1116.0836181640625
1700719621.6883821,529408,-1065.3525390625
1700721126.1755607,553472,-1140.1737060546875
1700721616.00106,565504,-1205.2672119140625
1700723176.3405538,589568,-1319.897216796875
1700724748.2952304,613632,-1324.581787109375
1700725504.8319027,625664,-1324.581787109375
1700727095.2727447,661760,-1334.71630859375
1700727693.8252974,673792,-1334.71630859375
1700728201.0628912,685824,-1352.6419677734375
1700729075.747223,697856,-1352.6419677734375
1700729581.1006408,709888,-1411.8109130859375
1700731924.9114442,758016,-1428.379638671875
1700733025.895278,782080,-1435.650634765625
1700734173.37804,806144,-1464.9500732421875
1700734873.8142428,818176,-1472.4730224609375
1700735487.5517993,830208,-1472.4730224609375
1700736311.442785,842240,-1496.79345703125
1700737913.3994465,878336,-1509.712890625
1700738185.3050168,890368,-1476.5103759765625
1700739050.391876,902400,-1476.5103759765625
1700739762.1455803,914432,-1511.1072998046875
1700741986.3628273,974592,-1481.3861083984375
1700744246.8086624,1034752,-1454.093505859375
1700744933.491047,1046784,-1454.093505859375
1700745999.8057795,1070848,-1488.9293212890625
1700746406.502549,1082880,-1513.7598876953125
1700747122.1290967,1094912,-1513.7598876953125
1700750654.3570206,1167104,-56.03125
1700755273.8507943,1263360,-827.8970947265625
1700757594.872929,1299456,-830.85498046875
1700758178.3802202,1311488,-857.4646606445312
1700763497.1387916,1395712,-1314.766357421875
1700765546.3601007,1431808,-1570.6988525390625
1700766890.8664002,1455872,-1587.1580810546875
1700770335.5925262,1528064,-1698.4879150390625
1700770927.8171947,1540096,-1712.980224609375
1700771593.0521715,1552128,-1712.980224609375
1700774459.3596768,1588224,-1878.80517578125
1700775148.6448,1600256,-1878.80517578125
1700779814.4614398,1684480,-1917.017333984375
1700781539.3531492,1708544,-1930.4249267578125
1700782975.0374985,1732608,-1991.2294921875
1700784148.3084671,1744640,-1991.2294921875
1700784773.3489897,1756672,-2055.704345703125
1700785636.0850904,1768704,-2055.704345703125
1700789017.3261235,1840896,-2040.7745361328125
1700791104.5888617,1876992,-2144.68017578125
1700792533.45117,1901056,-2206.114501953125
1700793303.4275892,1925120,-2148.167236328125
1700793733.02671,1937152,-2151.43994140625
1700794171.5577042,1949184,-2151.43994140625
1700795820.0866597,1985280,-2222.816650390625
1700797262.0025268,2021376,-2206.268310546875
1700798277.5519695,2045440,-2187.08740234375
1700798835.981721,2057472,-2219.406005859375
1700800639.8904212,2093568,-2275.572021484375
1700802967.257613,2153728,-2284.128173828125
1700803223.7965882,2165760,-2284.128173828125
1700803440.445699,2177792,-2233.617919921875
1700803982.5653086,2201856,-2202.78271484375
1700805277.837517,2237952,-2263.992919921875
1700805769.2453303,2262016,-2217.53369140625
