Wall time,Step,Value
1700703459.2461898,84224,3.7370568472432433e-14
1700703661.1381972,96256,-631.1787719726562
1700704345.5775118,144384,-420.78582763671875
1700704541.1756647,156416,-420.78582763671875
1700705000.4539537,180480,-660.70751953125
1700705219.796997,192512,-1134.3609619140625
1700705392.5726843,204544,-1134.3609619140625
1700705654.9296627,228608,-1117.6903076171875
1700705829.9301007,240640,-1005.9212646484375
1700705977.3731055,252672,-1005.9212646484375
1700706129.2393572,264704,-914.473876953125
1700706678.2411082,312832,-773.7855834960938
1700708001.5094604,421120,-750.5740356445312
1700708185.9893777,433152,-750.5740356445312
1700708425.6399333,457216,-711.0701293945312
1700709007.0771897,493312,-722.8305053710938
1700709128.3164916,505344,-722.8305053710938
1700709399.851594,529408,-689.9745483398438
1700709786.831778,553472,-659.9756469726562
1700709894.49523,565504,-632.4766845703125
1700710182.5370626,589568,-607.1776123046875
1700710538.187489,613632,-583.8245849609375
1700710678.279886,625664,-583.8245849609375
1700711145.1283846,661760,-542.1228637695312
1700711361.3009217,673792,-542.1228637695312
1700711556.1382532,685824,-701.96533203125
1700711683.4067166,697856,-701.96533203125
1700711843.1897252,709888,-678.5665283203125
1700712365.0037386,745984,-656.67724609375
1700712531.3115819,758016,-636.1560668945312
1700712830.24689,782080,-616.878662109375
1700713238.8568835,806144,-767.5711059570312
1700713404.2589264,818176,-864.3819580078125
1700713566.9834802,830208,-864.3819580078125
1700713774.0549855,842240,-840.371337890625
1700714407.3221564,878336,-992.423095703125
1700714539.7729626,890368,-966.3067016601562
1700714838.6540134,902400,-966.3067016601562
1700715045.1342947,914432,-1043.503662109375
1700715327.2512128,938496,-1017.4161376953125
1700715797.3594596,974592,-992.60107421875
1700716531.190762,1034752,-1008.9890747070312
1700716679.658454,1046784,-1008.9890747070312
1700716844.5858507,1058816,-986.567138671875
1700716953.019995,1070848,-986.567138671875
1700717119.3752897,1082880,-965.1199951171875
1700717309.4348788,1094912,-965.1199951171875
1700718088.152765,1155072,-974.189208984375
1700719312.4657507,1251328,-954.7053833007812
1700719791.4692245,1287424,-938.9798583984375
1700720005.603475,1299456,-938.9798583984375
1700721411.9923089,1383680,-1107.83056640625
1700722019.8417268,1419776,-1162.5079345703125
1700722419.9265425,1443840,-1250.73046875
1700722568.0246794,1455872,-1294.2916259765625
1700722676.6383274,1467904,-1294.2916259765625
1700723385.324934,1516032,-1259.967041015625
1700723567.1429594,1528064,-1297.6527099609375
1700723702.642381,1540096,-1297.6527099609375
1700724214.4057474,1576192,-1333.4097900390625
1700724367.3930345,1588224,-1357.0526123046875
1700724975.654821,1624320,-1357.0526123046875
1700725652.4114282,1672448,-1416.181396484375
1700726001.2638907,1696512,-1437.2364501953125
1700726272.4328973,1720576,-1437.2364501953125
1700726433.4518883,1732608,-1509.123779296875
1700726621.2953472,1744640,-1509.123779296875
1700726775.7070816,1756672,-1531.3575439453125
1700727024.6418989,1780736,-1531.3575439453125
1700727380.0232108,1804800,-1531.3575439453125
1700727692.3523483,1828864,-1594.9049072265625
1700728262.0158486,1864960,-1534.419189453125
1700728399.8069692,1876992,-1534.419189453125
1700728512.0215874,1889024,-1534.419189453125
1700728891.6771452,1913088,-1539.3133544921875
1700729076.196622,1925120,-1595.35546875
1700729234.774159,1937152,-1595.35546875
1700729717.8824182,1973248,-1522.7886962890625
1700730055.2910464,1997312,-1481.9405517578125
1700730259.0479712,2009344,-1529.6234130859375
1700730561.1880589,2033408,-1401.292724609375
1700730781.0213666,2045440,-1401.292724609375
1700731310.4701111,2081536,-1390.834716796875
1700732243.6558964,2141696,-1495.873291015625
1700732424.420084,2153728,-1464.9915771484375
1700732616.9844658,2165760,-1464.9915771484375
1700732927.9562006,2189824,-1465.3267822265625
1700733126.5469317,2201856,-1529.28759765625
1700733459.3066552,2225920,-1529.28759765625
1700733850.76889,2249984,-1595.9119873046875
1700733985.105613,2262016,-1595.9119873046875
1700734136.6497045,2274048,-1563.20458984375
1700734377.6686704,2286080,-1563.20458984375
1700734762.3634224,2310144,-1585.255126953125
1700734843.3532212,2322176,-1600.8199462890625
1700736118.1121502,2406400,-1761.13427734375
1700736710.0804808,2454528,-1726.365478515625
1700737566.3568077,2502656,-1578.57421875
1700737689.7648191,2514688,-1578.57421875
1700737895.8389182,2526720,-1562.4239501953125
1700738490.9725788,2574848,-1501.3172607421875
1700738697.3894548,2586880,-1501.3172607421875
1700738990.7062294,2610944,-1413.0947265625
1700739435.517975,2647040,-1369.5335693359375
1700739568.3165176,2659072,-1369.5335693359375
1700740058.8751128,2695168,-1317.633544921875
1700740224.5071402,2707200,-1317.633544921875
1700740488.9326968,2731264,-1281.8765869140625
1700740648.3176165,2743296,-1281.8765869140625
1700740849.1664968,2755328,-1307.2242431640625
1700741267.280276,2779392,-1307.2242431640625
1700741457.3374863,2791424,-1307.2242431640625
1700741578.71531,2803456,-1307.2242431640625
1700741754.910387,2815488,-1307.2242431640625
1700741942.7348104,2827520,-1214.71337890625
1700742151.533213,2839552,-1214.71337890625
1700742631.490328,2875648,-1328.39453125
1700743238.0290725,2911744,-1256.5072021484375
1700743798.322769,2959872,-1234.2734375
1700743947.2792017,2971904,-1234.2734375
1700744180.1817381,2995968,-1170.72607421875
1700744502.7902274,3020032,-1127.66064453125
1700744637.0086193,3032064,-1127.66064453125
1700745486.9723268,3092224,-1066.880126953125
1700746183.0269916,3128320,-1066.8734130859375
1700746340.8284094,3140352,-1066.8734130859375
1700746466.0994635,3152384,-1024.76513671875
1700746668.7062795,3164416,-1024.76513671875
1700747210.2239397,3188480,-977.082275390625
1700747861.397483,3236608,-1052.318115234375
1700748268.4332094,3260672,-1046.2218017578125
1700748597.5615952,3284736,-1060.8330078125
1700748955.382618,3308800,-1032.58642578125
1700749768.8035207,3368960,-925.1946411132812
1700750080.0440562,3393024,-925.1946411132812
1700750875.8874183,3441152,-976.416015625
1700751636.9104888,3501312,-925.9623413085938
1700752069.4351974,3525376,-888.6903076171875
